Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
00 Media Estatal,Ambos sexos,2022,"22.383,11","3,44"
00 Media Estatal,Ambos sexos,2021,"21.638,69","3,43"
00 Media Estatal,Ambos sexos,2020,"20.920,12","2,8"
00 Media Estatal,Ambos sexos,2019,"20.351,02","1,36"
00 Media Estatal,Ambos sexos,2018,"20.078,44","1,25"
00 Media Estatal,Ambos sexos,2017,"19.830,12","2,05"
00 Media Estatal,Ambos sexos,2016,"19.432,62","-0,17"
00 Media Estatal,Ambos sexos,2015,"19.466,49","1,05"
00 Media Estatal,Ambos sexos,2014,"19.263,78","1,23"
00 Media Estatal,Ambos sexos,2013,"19.029,66","-0,06"
00 Media Estatal,Ambos sexos,2012,"19.040,98","-1,36"
00 Media Estatal,Ambos sexos,2011,"19.303,51","1,51"
00 Media Estatal,Ambos sexos,2010,"19.017,09","1,14"
00 Media Estatal,Ambos sexos,2009,"18.803,28","3,06"
00 Media Estatal,Ambos sexos,2008,"18.244,40",
00 Media Estatal,Mujeres,2022,"20.045,68","4,61"
00 Media Estatal,Mujeres,2021,"19.162,47","3,26"
00 Media Estatal,Mujeres,2020,"18.556,68","3,31"
00 Media Estatal,Mujeres,2019,"17.961,93","2,83"
00 Media Estatal,Mujeres,2018,"17.467,43","1,47"
00 Media Estatal,Mujeres,2017,"17.214,60","2,28"
00 Media Estatal,Mujeres,2016,"16.831,58","0,04"
00 Media Estatal,Mujeres,2015,"16.825,11","0,32"
00 Media Estatal,Mujeres,2014,"16.771,32","1,94"
00 Media Estatal,Mujeres,2013,"16.452,43","-0,44"
00 Media Estatal,Mujeres,2012,"16.524,51","-1,62"
00 Media Estatal,Mujeres,2011,"16.796,41","1,57"
00 Media Estatal,Mujeres,2010,"16.536,10","0,63"
00 Media Estatal,Mujeres,2009,"16.433,14","3,44"
00 Media Estatal,Mujeres,2008,"15.886,02",
00 Media Estatal,Hombres,2022,"24.238,23","3,18"
00 Media Estatal,Hombres,2021,"23.490,62","3,15"
00 Media Estatal,Hombres,2020,"22.774,10","1,82"
00 Media Estatal,Hombres,2019,"22.368,07","0,57"
00 Media Estatal,Hombres,2018,"22.241,88","1,24"
00 Media Estatal,Hombres,2017,"21.970,34","1,59"
00 Media Estatal,Hombres,2016,"21.626,00","-0,53"
00 Media Estatal,Hombres,2015,"21.740,88","0,99"
00 Media Estatal,Hombres,2014,"21.528,50","0,74"
00 Media Estatal,Hombres,2013,"21.371,13","-0,25"
00 Media Estatal,Hombres,2012,"21.425,14","-0,29"
00 Media Estatal,Hombres,2011,"21.487,99","1,33"
00 Media Estatal,Hombres,2010,"21.206,99","2,3"
00 Media Estatal,Hombres,2009,"20.730,71","3,36"
00 Media Estatal,Hombres,2008,"20.057,56",
01 Andalucía,Ambos sexos,2022,"19.883,60","1,85"
01 Andalucía,Ambos sexos,2021,"19.522,21","4,03"
01 Andalucía,Ambos sexos,2020,"18.766,66","0,51"
01 Andalucía,Ambos sexos,2019,"18.671,83","1,94"
01 Andalucía,Ambos sexos,2018,"18.317,19","0,36"
01 Andalucía,Ambos sexos,2017,"18.251,94","1,11"
01 Andalucía,Ambos sexos,2016,"18.051,91","-0,28"
01 Andalucía,Ambos sexos,2015,"18.101,70","0,38"
01 Andalucía,Ambos sexos,2014,"18.034,03","1,76"
01 Andalucía,Ambos sexos,2013,"17.722,42","-1,05"
01 Andalucía,Ambos sexos,2012,"17.910,11","-1,56"
01 Andalucía,Ambos sexos,2011,"18.193,56","3,57"
01 Andalucía,Ambos sexos,2010,"17.565,81","-1,68"
01 Andalucía,Ambos sexos,2009,"17.866,08","2,84"
01 Andalucía,Ambos sexos,2008,"17.371,95",
01 Andalucía,Mujeres,2022,"17.692,39","7,12"
01 Andalucía,Mujeres,2021,"16.516,76","4,91"
01 Andalucía,Mujeres,2020,"15.743,42","-1,46"
01 Andalucía,Mujeres,2019,"15.977,45","3,8"
01 Andalucía,Mujeres,2018,"15.392,05","0,16"
01 Andalucía,Mujeres,2017,"15.368,02","1,08"
01 Andalucía,Mujeres,2016,"15.203,96","-0,6"
01 Andalucía,Mujeres,2015,"15.295,34","1,67"
01 Andalucía,Mujeres,2014,"15.044,26","0,1"
01 Andalucía,Mujeres,2013,"15.029,15","-2,91"
01 Andalucía,Mujeres,2012,"15.480,07","-0,63"
01 Andalucía,Mujeres,2011,"15.578,41","4,94"
01 Andalucía,Mujeres,2010,"14.845,01","-7,01"
01 Andalucía,Mujeres,2009,"15.963,82","5,46"
01 Andalucía,Mujeres,2008,"15.137,40",
01 Andalucía,Hombres,2022,"21.378,14","1,81"
01 Andalucía,Hombres,2021,"20.997,73","2,46"
01 Andalucía,Hombres,2020,"20.492,93","0,29"
01 Andalucía,Hombres,2019,"20.433,90","-0,29"
01 Andalucía,Hombres,2018,"20.492,37","0,4"
01 Andalucía,Hombres,2017,"20.410,32","1,2"
01 Andalucía,Hombres,2016,"20.168,27","0,29"
01 Andalucía,Hombres,2015,"20.109,36","1,69"
01 Andalucía,Hombres,2014,"19.774,52","0,12"
01 Andalucía,Hombres,2013,"19.750,02","0,08"
01 Andalucía,Hombres,2012,"19.733,29","-0,2"
01 Andalucía,Hombres,2011,"19.772,01","2,29"
01 Andalucía,Hombres,2010,"19.328,83","1,06"
01 Andalucía,Hombres,2009,"19.125,41","3,3"
01 Andalucía,Hombres,2008,"18.513,57",
02 Aragón,Ambos sexos,2022,"22.734,18","2,31"
02 Aragón,Ambos sexos,2021,"22.220,28","4,78"
02 Aragón,Ambos sexos,2020,"21.207,60","2,93"
02 Aragón,Ambos sexos,2019,"20.604,72","-1,22"
02 Aragón,Ambos sexos,2018,"20.859,78","3,27"
02 Aragón,Ambos sexos,2017,"20.198,39","4,02"
02 Aragón,Ambos sexos,2016,"19.417,81","-0,88"
02 Aragón,Ambos sexos,2015,"19.589,29","0,25"
02 Aragón,Ambos sexos,2014,"19.539,86","2,33"
02 Aragón,Ambos sexos,2013,"19.094,86",0
02 Aragón,Ambos sexos,2012,"19.094,81","-2,81"
02 Aragón,Ambos sexos,2011,"19.646,75","0,48"
02 Aragón,Ambos sexos,2010,"19.552,41","0,72"
02 Aragón,Ambos sexos,2009,"19.413,22","1,72"
02 Aragón,Ambos sexos,2008,"19.084,91",
02 Aragón,Mujeres,2022,"19.654,84","2,6"
02 Aragón,Mujeres,2021,"19.156,20","1,92"
02 Aragón,Mujeres,2020,"18.795,58","6,79"
02 Aragón,Mujeres,2019,"17.600,08","1,46"
02 Aragón,Mujeres,2018,"17.347,52","3,18"
02 Aragón,Mujeres,2017,"16.812,83","2,44"
02 Aragón,Mujeres,2016,"16.411,68","0,54"
02 Aragón,Mujeres,2015,"16.324,07","-2,2"
02 Aragón,Mujeres,2014,"16.691,51","3,29"
02 Aragón,Mujeres,2013,"16.160,06","2,71"
02 Aragón,Mujeres,2012,"15.734,04","-2,91"
02 Aragón,Mujeres,2011,"16.206,05","-1,26"
02 Aragón,Mujeres,2010,"16.412,07","3,36"
02 Aragón,Mujeres,2009,"15.878,02","1,73"
02 Aragón,Mujeres,2008,"15.608,17",
02 Aragón,Hombres,2022,"25.401,80","4,35"
02 Aragón,Hombres,2021,"24.341,89","5,57"
02 Aragón,Hombres,2020,"23.057,14","-0,53"
02 Aragón,Hombres,2019,"23.180,28","-0,54"
02 Aragón,Hombres,2018,"23.305,59","2,26"
02 Aragón,Hombres,2017,"22.790,36","1,83"
02 Aragón,Hombres,2016,"22.380,02","-0,32"
02 Aragón,Hombres,2015,"22.452,41","0,39"
02 Aragón,Hombres,2014,"22.364,62","0,4"
02 Aragón,Hombres,2013,"22.275,40","0,2"
02 Aragón,Hombres,2012,"22.231,84","-1,38"
02 Aragón,Hombres,2011,"22.542,61","1,87"
02 Aragón,Hombres,2010,"22.129,41","0,64"
02 Aragón,Hombres,2009,"21.989,38","2,03"
02 Aragón,Hombres,2008,"21.551,60",
03 Principado de Asturias,Ambos sexos,2022,"23.001,52","4,67"
03 Principado de Asturias,Ambos sexos,2021,"21.975,31","3,02"
03 Principado de Asturias,Ambos sexos,2020,"21.331,73","-1,05"
03 Principado de Asturias,Ambos sexos,2019,"21.559,07","3,2"
03 Principado de Asturias,Ambos sexos,2018,"20.890,13","3,55"
03 Principado de Asturias,Ambos sexos,2017,"20.174,85","0,47"
03 Principado de Asturias,Ambos sexos,2016,"20.081,25","0,61"
03 Principado de Asturias,Ambos sexos,2015,"19.959,74","3,89"
03 Principado de Asturias,Ambos sexos,2014,"19.212,77","0,82"
03 Principado de Asturias,Ambos sexos,2013,"19.057,38","1,45"
03 Principado de Asturias,Ambos sexos,2012,"18.784,70","-2,55"
03 Principado de Asturias,Ambos sexos,2011,"19.276,74","1,16"
03 Principado de Asturias,Ambos sexos,2010,"19.055,80","-0,76"
03 Principado de Asturias,Ambos sexos,2009,"19.202,33","2,7"
03 Principado de Asturias,Ambos sexos,2008,"18.697,53",
03 Principado de Asturias,Mujeres,2022,"19.071,38","6,67"
03 Principado de Asturias,Mujeres,2021,"17.878,32","2,81"
03 Principado de Asturias,Mujeres,2020,"17.389,89","0,66"
03 Principado de Asturias,Mujeres,2019,"17.275,56","3,24"
03 Principado de Asturias,Mujeres,2018,"16.734,00","5,94"
03 Principado de Asturias,Mujeres,2017,"15.795,60","-0,74"
03 Principado de Asturias,Mujeres,2016,"15.912,63","2,04"
03 Principado de Asturias,Mujeres,2015,"15.594,05","-2,26"
03 Principado de Asturias,Mujeres,2014,"15.954,87","3,39"
03 Principado de Asturias,Mujeres,2013,"15.431,98","-0,28"
03 Principado de Asturias,Mujeres,2012,"15.474,56","-0,03"
03 Principado de Asturias,Mujeres,2011,"15.478,73","0,76"
03 Principado de Asturias,Mujeres,2010,"15.362,12","-3,12"
03 Principado de Asturias,Mujeres,2009,"15.857,50","2,84"
03 Principado de Asturias,Mujeres,2008,"15.419,78",
03 Principado de Asturias,Hombres,2022,"25.922,38","4,35"
03 Principado de Asturias,Hombres,2021,"24.842,33","0,68"
03 Principado de Asturias,Hombres,2020,"24.674,08","0,42"
03 Principado de Asturias,Hombres,2019,"24.572,07",1
03 Principado de Asturias,Hombres,2018,"24.328,16","1,24"
03 Principado de Asturias,Hombres,2017,"24.030,46","2,53"
