comunidades_autónomas;Sexo;periodo;desempleo
00 Media Estatal;Ambos sexos;2023;13,3
00 Media Estatal;Ambos sexos;2022;13,7
00 Media Estatal;Ambos sexos;2021;16
00 Media Estatal;Ambos sexos;2020;14,4
00 Media Estatal;Ambos sexos;2019;14,7
00 Media Estatal;Ambos sexos;2018;16,7
00 Media Estatal;Ambos sexos;2017;18,8
00 Media Estatal;Ambos sexos;2016;21
00 Media Estatal;Ambos sexos;2015;23,8
00 Media Estatal;Ambos sexos;2014;25,9
00 Media Estatal;Ambos sexos;2013;26,9
00 Media Estatal;Ambos sexos;2012;24,2
00 Media Estatal;Ambos sexos;2011;21,1
00 Media Estatal;Ambos sexos;2010;19,8
00 Media Estatal;Hombres;2023;11,6
00 Media Estatal;Hombres;2022;12
00 Media Estatal;Hombres;2021;14,1
00 Media Estatal;Hombres;2020;12,8
00 Media Estatal;Hombres;2019;12,9
00 Media Estatal;Hombres;2018;15,2
00 Media Estatal;Hombres;2017;17,2
00 Media Estatal;Hombres;2016;19,5
00 Media Estatal;Hombres;2015;22,7
00 Media Estatal;Hombres;2014;25,4
00 Media Estatal;Hombres;2013;26,7
00 Media Estatal;Hombres;2012;24
00 Media Estatal;Hombres;2011;20,6
00 Media Estatal;Hombres;2010;19,8
00 Media Estatal;Mujeres;2023;15,1
00 Media Estatal;Mujeres;2022;15,4
00 Media Estatal;Mujeres;2021;18,1
00 Media Estatal;Mujeres;2020;16,2
00 Media Estatal;Mujeres;2019;16,7
00 Media Estatal;Mujeres;2018;18,5
00 Media Estatal;Mujeres;2017;20,5
00 Media Estatal;Mujeres;2016;22,8
00 Media Estatal;Mujeres;2015;25
00 Media Estatal;Mujeres;2014;26,6
00 Media Estatal;Mujeres;2013;27,3
00 Media Estatal;Mujeres;2012;24,5
00 Media Estatal;Mujeres;2011;21,7
00 Media Estatal;Mujeres;2010;19,9
01 Andalucía;Ambos sexos;2023;18,3
01 Andalucía;Ambos sexos;2022;19,4
01 Andalucía;Ambos sexos;2021;22,5
01 Andalucía;Ambos sexos;2020;21,2
01 Andalucía;Ambos sexos;2019;21,1
01 Andalucía;Ambos sexos;2018;24,7
01 Andalucía;Ambos sexos;2017;26,9
01 Andalucía;Ambos sexos;2016;29,7
01 Andalucía;Ambos sexos;2015;33,6
01 Andalucía;Ambos sexos;2014;34,9
01 Andalucía;Ambos sexos;2013;36,8
01 Andalucía;Ambos sexos;2012;32,9
01 Andalucía;Ambos sexos;2011;29,4
01 Andalucía;Ambos sexos;2010;27,1
01 Andalucía;Hombres;2023;15,3
01 Andalucía;Hombres;2022;16,2
01 Andalucía;Hombres;2021;19,1
01 Andalucía;Hombres;2020;17,9
01 Andalucía;Hombres;2019;17,5
01 Andalucía;Hombres;2018;21,6
01 Andalucía;Hombres;2017;24,2
01 Andalucía;Hombres;2016;26,9
01 Andalucía;Hombres;2015;30,9
01 Andalucía;Hombres;2014;33,4
01 Andalucía;Hombres;2013;35,7
01 Andalucía;Hombres;2012;31,6
01 Andalucía;Hombres;2011;27,8
01 Andalucía;Hombres;2010;26,6
01 Andalucía;Mujeres;2023;21,8
01 Andalucía;Mujeres;2022;23,2
01 Andalucía;Mujeres;2021;26,7
01 Andalucía;Mujeres;2020;25,2
01 Andalucía;Mujeres;2019;25,4
01 Andalucía;Mujeres;2018;28,6
01 Andalucía;Mujeres;2017;30,3
01 Andalucía;Mujeres;2016;33,1
01 Andalucía;Mujeres;2015;36,9
01 Andalucía;Mujeres;2014;36,8
01 Andalucía;Mujeres;2013;38
01 Andalucía;Mujeres;2012;34,5
01 Andalucía;Mujeres;2011;31,4
01 Andalucía;Mujeres;2010;27,6
02 Aragón;Ambos sexos;2023;8,9
02 Aragón;Ambos sexos;2022;10,1
02 Aragón;Ambos sexos;2021;12,1
02 Aragón;Ambos sexos;2020;10,6
02 Aragón;Ambos sexos;2019;10,5
02 Aragón;Ambos sexos;2018;11,6
02 Aragón;Ambos sexos;2017;13,3
02 Aragón;Ambos sexos;2016;15,3
02 Aragón;Ambos sexos;2015;18,6
02 Aragón;Ambos sexos;2014;22,9
02 Aragón;Ambos sexos;2013;22,5
02 Aragón;Ambos sexos;2012;18,4
02 Aragón;Ambos sexos;2011;18
02 Aragón;Ambos sexos;2010;15,2
02 Aragón;Hombres;2023;6,7
02 Aragón;Hombres;2022;8,6
02 Aragón;Hombres;2021;9,9
02 Aragón;Hombres;2020;9,7
02 Aragón;Hombres;2019;9,2
02 Aragón;Hombres;2018;10,7
02 Aragón;Hombres;2017;10,9
02 Aragón;Hombres;2016;12,1
02 Aragón;Hombres;2015;15,5
02 Aragón;Hombres;2014;21,7
02 Aragón;Hombres;2013;22,1
02 Aragón;Hombres;2012;17,9
02 Aragón;Hombres;2011;17,9
02 Aragón;Hombres;2010;14,2
02 Aragón;Mujeres;2023;11,4
02 Aragón;Mujeres;2022;11,9
02 Aragón;Mujeres;2021;14,6
02 Aragón;Mujeres;2020;11,7
02 Aragón;Mujeres;2019;12,1
02 Aragón;Mujeres;2018;12,7
02 Aragón;Mujeres;2017;16,2
02 Aragón;Mujeres;2016;19
02 Aragón;Mujeres;2015;22,3
02 Aragón;Mujeres;2014;24,3
02 Aragón;Mujeres;2013;23,1
02 Aragón;Mujeres;2012;18,9
02 Aragón;Mujeres;2011;18,2
02 Aragón;Mujeres;2010;16,6
03 Principado de Asturias;Ambos sexos;2023;13,1
03 Principado de Asturias;Ambos sexos;2022;12
03 Principado de Asturias;Ambos sexos;2021;14,1
03 Principado de Asturias;Ambos sexos;2020;14,4
03 Principado de Asturias;Ambos sexos;2019;15
03 Principado de Asturias;Ambos sexos;2018;15
03 Principado de Asturias;Ambos sexos;2017;14,2
03 Principado de Asturias;Ambos sexos;2016;19,5
03 Principado de Asturias;Ambos sexos;2015;19
03 Principado de Asturias;Ambos sexos;2014;22,8
03 Principado de Asturias;Ambos sexos;2013;25,5
03 Principado de Asturias;Ambos sexos;2012;20,5
03 Principado de Asturias;Ambos sexos;2011;18,2
03 Principado de Asturias;Ambos sexos;2010;16,6
03 Principado de Asturias;Hombres;2023;12,5
03 Principado de Asturias;Hombres;2022;9,7
03 Principado de Asturias;Hombres;2021;12,5
03 Principado de Asturias;Hombres;2020;13,8
03 Principado de Asturias;Hombres;2019;14
03 Principado de Asturias;Hombres;2018;14,1
03 Principado de Asturias;Hombres;2017;13,8
03 Principado de Asturias;Hombres;2016;20,1
03 Principado de Asturias;Hombres;2015;18,4
03 Principado de Asturias;Hombres;2014;21,6
03 Principado de Asturias;Hombres;2013;25,4
03 Principado de Asturias;Hombres;2012;20,4
03 Principado de Asturias;Hombres;2011;17,7
03 Principado de Asturias;Hombres;2010;16,2
03 Principado de Asturias;Mujeres;2023;13,7
03 Principado de Asturias;Mujeres;2022;14,5
03 Principado de Asturias;Mujeres;2021;15,8
03 Principado de Asturias;Mujeres;2020;14,9
03 Principado de Asturias;Mujeres;2019;16,2
03 Principado de Asturias;Mujeres;2018;16
03 Principado de Asturias;Mujeres;2017;14,7
03 Principado de Asturias;Mujeres;2016;18,9
03 Principado de Asturias;Mujeres;2015;19,6
03 Principado de Asturias;Mujeres;2014;24,1
03 Principado de Asturias;Mujeres;2013;25,7
03 Principado de Asturias;Mujeres;2012;20,6
03 Principado de Asturias;Mujeres;2011;18,7
03 Principado de Asturias;Mujeres;2010;17,1
04 Islas Baleares;Ambos sexos;2023;18,1
04 Islas Baleares;Ambos sexos;2022;18
04 Islas Baleares;Ambos sexos;2021;18,9
04 Islas Baleares;Ambos sexos;2020;18,2
04 Islas Baleares;Ambos sexos;2019;17,1
04 Islas Baleares;Ambos sexos;2018;17,4
04 Islas Baleares;Ambos sexos;2017;16,8
04 Islas Baleares;Ambos sexos;2016;18,4
04 Islas Baleares;Ambos sexos;2015;22,3
04 Islas Baleares;Ambos sexos;2014;26,7
04 Islas Baleares;Ambos sexos;2013;28,6
04 Islas Baleares;Ambos sexos;2012;27,9
04 Islas Baleares;Ambos sexos;2011;25
04 Islas Baleares;Ambos sexos;2010;22,2
04 Islas Baleares;Hombres;2023;17,2
04 Islas Baleares;Hombres;2022;16,4
04 Islas Baleares;Hombres;2021;16,9
04 Islas Baleares;Hombres;2020;14,6
04 Islas Baleares;Hombres;2019;14,7
04 Islas Baleares;Hombres;2018;18,5
04 Islas Baleares;Hombres;2017;15,8
04 Islas Baleares;Hombres;2016;18,6
04 Islas Baleares;Hombres;2015;21,7
04 Islas Baleares;Hombres;2014;28
04 Islas Baleares;Hombres;2013;28
04 Islas Baleares;Hombres;2012;26,9
04 Islas Baleares;Hombres;2011;23,8
04 Islas Baleares;Hombres;2010;22
04 Islas Baleares;Mujeres;2023;19,2
04 Islas Baleares;Mujeres;2022;19,9
04 Islas Baleares;Mujeres;2021;21,1
04 Islas Baleares;Mujeres;2020;22,4
04 Islas Baleares;Mujeres;2019;19,8
04 Islas Baleares;Mujeres;2018;16,2
04 Islas Baleares;Mujeres;2017;17,9
04 Islas Baleares;Mujeres;2016;18,2
04 Islas Baleares;Mujeres;2015;23
04 Islas Baleares;Mujeres;2014;25,2
04 Islas Baleares;Mujeres;2013;29,2
04 Islas Baleares;Mujeres;2012;29
04 Islas Baleares;Mujeres;2011;26,4
04 Islas Baleares;Mujeres;2010;22,5
05 Canarias;Ambos sexos;2023;17,2
05 Canarias;Ambos sexos;2022;20,3
05 Canarias;Ambos sexos;2021;25,4
05 Canarias;Ambos sexos;2020;18,8
05 Canarias;Ambos sexos;2019;21
05 Canarias;Ambos sexos;2018;20,6
05 Canarias;Ambos sexos;2017;25,7
05 Canarias;Ambos sexos;2016;26
05 Canarias;Ambos sexos;2015;30,8
