comunidades_autónomas,periodo,género,hipno,antidep,trastornos,benzodiacepinas
01 Andalucía,2010,total,"30,29428892","55,0138206",,
01 Andalucía,2011,total,"31,28677036","57,19012032",,
01 Andalucía,2012,total,"31,96396692","58,40987193",,
01 Andalucía,2013,total,"32,60214907","61,15529224",,
01 Andalucía,2014,total,"33,50054111","64,21475682",,
01 Andalucía,2015,hombres,,,"6,464",
01 Andalucía,2015,mujeres,,,"13,493",
01 Andalucía,2015,total,"33,65817548","65,75438875","10,041",
01 Andalucía,2016,hombres,,,"5,556",
01 Andalucía,2016,mujeres,,,"11,853",
01 Andalucía,2016,total,"34,68009521","67,96439453","8,761",
01 Andalucía,2017,hombres,,,"5,948",
01 Andalucía,2017,mujeres,,,"12,434",
01 Andalucía,2017,total,"34,8083235","69,81174513","9,248",
01 Andalucía,2018,hombres,,,"6,06","10,202"
01 Andalucía,2018,mujeres,,,"12,584","18,443"
01 Andalucía,2018,total,"35,66902879","72,90784888","9,38","14,861"
01 Andalucía,2019,hombres,,,"6,127","12,823"
01 Andalucía,2019,mujeres,,,"12,715","22,676"
01 Andalucía,2019,total,"36,56921081","76,45085853","9,478","18,386"
01 Andalucía,2020,hombres,,,"6,084","12,207"
01 Andalucía,2020,mujeres,,,"12,684","21,677"
01 Andalucía,2020,total,"38,8067156","80,43543595","9,441","17,545"
01 Andalucía,2021,hombres,,,"5,233","12,496"
01 Andalucía,2021,mujeres,,,"10,275","22,216"
01 Andalucía,2021,total,"39,91549899","85,99342804","7,796","17,962"
01 Andalucía,2022,hombres,,,"5,379395132","12,52606207"
01 Andalucía,2022,mujeres,,,"10,70327612","21,71491452"
01 Andalucía,2022,total,"40,28460469","92,21779082","8,086952496","17,68878407"
01 Andalucía,2023,hombres,,,"5,615977461","11,95900934"
01 Andalucía,2023,mujeres,,,"11,01175989","20,81635348"
01 Andalucía,2023,total,"39,44696061","95,3764909","8,362374653","16,92802042"
02 Aragón,2010,total,"30,11998916","67,36942716",,
02 Aragón,2011,total,"30,98632223","70,92494653",,
02 Aragón,2012,total,"30,86758887","70,78789635",,
02 Aragón,2013,hombres,,,"6,292",
02 Aragón,2013,mujeres,,,"14,391",
02 Aragón,2013,total,"30,98771902","71,62408042","10,404",
02 Aragón,2014,hombres,,,"6,485","3,472"
02 Aragón,2014,mujeres,,,"14,679","7,505"
02 Aragón,2014,total,"32,74764851","75,55636911","10,645","5,751"
02 Aragón,2015,hombres,,,"6,648","3,347"
02 Aragón,2015,mujeres,,,"14,848","7,36"
02 Aragón,2015,total,"33,35962969","77,40756489","10,811","5,614"
02 Aragón,2016,hombres,,,"6,766","3,504"
02 Aragón,2016,mujeres,,,"15,102","7,359"
02 Aragón,2016,total,"35,64655973","81,90276747","10,999","5,684"
02 Aragón,2017,hombres,,,"7,133","4,921"
02 Aragón,2017,mujeres,,,"15,612","8,814"
02 Aragón,2017,total,"36,09642493","83,10944767","11,44","7,121"
02 Aragón,2018,hombres,,,"7,801","4,772"
02 Aragón,2018,mujeres,,,"16,631","8,769"
02 Aragón,2018,total,"36,92875733","85,88591738","12,284","7,029"
02 Aragón,2019,hombres,,,"8,307","4,897"
02 Aragón,2019,mujeres,,,"17,325","9,001"
02 Aragón,2019,total,"37,55550361","88,73889157","12,883","7,214"
02 Aragón,2020,hombres,,,"8,42","4,565"
02 Aragón,2020,mujeres,,,"17,487","8,953"
02 Aragón,2020,total,"39,59123335","91,2591071","13,019","7,038"
02 Aragón,2021,hombres,,,"8,84","5,451"
02 Aragón,2021,mujeres,,,"18,14","10,463"
02 Aragón,2021,total,"40,10381199","96,15515283","13,548","8,271"
02 Aragón,2022,hombres,,,"8,753322754","5,642392348"
02 Aragón,2022,mujeres,,,"18,00595663","10,38565322"
02 Aragón,2022,total,"40,44848828","101,606399","13,44210534","8,308641628"
02 Aragón,2023,hombres,,,"8,990591126","5,610615953"
02 Aragón,2023,mujeres,,,"18,48100194","10,00819629"
02 Aragón,2023,total,"40,03998131","104,0586202","13,80096087","8,079834577"
03 Principado de Asturias,2010,total,"26,86243473","92,54641317",,
03 Principado de Asturias,2011,total,"27,31666389","97,78930353",,
03 Principado de Asturias,2012,total,"27,55519133","97,1549296",,
03 Principado de Asturias,2013,hombres,,,"9,418",
03 Principado de Asturias,2013,mujeres,,,"19,736",
03 Principado de Asturias,2013,total,"28,12690669","100,5928043","14,802",
03 Principado de Asturias,2014,hombres,,,"9,87","10,745"
