comunidades_autónomas;periodo;género;trastornos
01 Andalucía;2015;hombres;6,464
01 Andalucía;2015;mujeres;13,493
01 Andalucía;2015;total;10,041
01 Andalucía;2016;hombres;5,556
01 Andalucía;2016;mujeres;11,853
01 Andalucía;2016;total;8,761
01 Andalucía;2017;hombres;5,948
01 Andalucía;2017;mujeres;12,434
01 Andalucía;2017;total;9,248
01 Andalucía;2018;hombres;6,06
01 Andalucía;2018;mujeres;12,584
01 Andalucía;2018;total;9,38
01 Andalucía;2019;hombres;6,127
01 Andalucía;2019;mujeres;12,715
01 Andalucía;2019;total;9,478
01 Andalucía;2020;hombres;6,084
01 Andalucía;2020;mujeres;12,684
01 Andalucía;2020;total;9,441
01 Andalucía;2021;hombres;5,233
01 Andalucía;2021;mujeres;10,275
01 Andalucía;2021;total;7,796
01 Andalucía;2022;hombres;5,379395132
01 Andalucía;2022;mujeres;10,70327612
01 Andalucía;2022;total;8,086952496
01 Andalucía;2023;hombres;5,615977461
01 Andalucía;2023;mujeres;11,01175989
01 Andalucía;2023;total;8,362374653
02 Aragón;2013;hombres;6,292
02 Aragón;2013;mujeres;14,391
02 Aragón;2013;total;10,404
02 Aragón;2014;hombres;6,485
02 Aragón;2014;mujeres;14,679
02 Aragón;2014;total;10,645
02 Aragón;2015;hombres;6,648
02 Aragón;2015;mujeres;14,848
02 Aragón;2015;total;10,811
02 Aragón;2016;hombres;6,766
02 Aragón;2016;mujeres;15,102
02 Aragón;2016;total;10,999
02 Aragón;2017;hombres;7,133
02 Aragón;2017;mujeres;15,612
02 Aragón;2017;total;11,44
02 Aragón;2018;hombres;7,801
02 Aragón;2018;mujeres;16,631
02 Aragón;2018;total;12,284
02 Aragón;2019;hombres;8,307
02 Aragón;2019;mujeres;17,325
02 Aragón;2019;total;12,883
02 Aragón;2020;hombres;8,42
02 Aragón;2020;mujeres;17,487
02 Aragón;2020;total;13,019
02 Aragón;2021;hombres;8,84
02 Aragón;2021;mujeres;18,14
02 Aragón;2021;total;13,548
02 Aragón;2022;hombres;8,753322754
02 Aragón;2022;mujeres;18,00595663
02 Aragón;2022;total;13,44210534
02 Aragón;2023;hombres;8,990591126
02 Aragón;2023;mujeres;18,48100194
02 Aragón;2023;total;13,80096087
03 Principado de Asturias;2013;hombres;9,418
03 Principado de Asturias;2013;mujeres;19,736
03 Principado de Asturias;2013;total;14,802
03 Principado de Asturias;2014;hombres;9,87
03 Principado de Asturias;2014;mujeres;20,461
03 Principado de Asturias;2014;total;15,401
03 Principado de Asturias;2015;hombres;10,133
03 Principado de Asturias;2015;mujeres;20,934
03 Principado de Asturias;2015;total;15,771
03 Principado de Asturias;2016;hombres;10,301
03 Principado de Asturias;2016;mujeres;21,068
03 Principado de Asturias;2016;total;15,922
03 Principado de Asturias;2017;hombres;10,663
03 Principado de Asturias;2017;mujeres;21,468
03 Principado de Asturias;2017;total;16,305
03 Principado de Asturias;2018;hombres;10,887
03 Principado de Asturias;2018;mujeres;21,972
03 Principado de Asturias;2018;total;16,675
03 Principado de Asturias;2019;hombres;11,274
03 Principado de Asturias;2019;mujeres;22,325
03 Principado de Asturias;2019;total;17,056
03 Principado de Asturias;2020;hombres;11,393
03 Principado de Asturias;2020;mujeres;22,726
03 Principado de Asturias;2020;total;17,327
03 Principado de Asturias;2021;hombres;11,613
03 Principado de Asturias;2021;mujeres;23,197
