comunidades_autónomas,periodo,hipno,antidep
01 Andalucía,2010,"30,29428892","55,0138206"
01 Andalucía,2011,"31,28677036","57,19012032"
01 Andalucía,2012,"31,96396692","58,40987193"
01 Andalucía,2013,"32,60214907","61,15529224"
01 Andalucía,2014,"33,50054111","64,21475682"
01 Andalucía,2015,"33,65817548","65,75438875"
01 Andalucía,2016,"34,68009521","67,96439453"
01 Andalucía,2017,"34,8083235","69,81174513"
01 Andalucía,2018,"35,66902879","72,90784888"
01 Andalucía,2019,"36,56921081","76,45085853"
01 Andalucía,2020,"38,8067156","80,43543595"
01 Andalucía,2021,"39,91549899","85,99342804"
01 Andalucía,2022,"40,28460469","92,21779082"
01 Andalucía,2023,"39,44696061","95,3764909"
02 Aragón,2010,"30,11998916","67,36942716"
02 Aragón,2011,"30,98632223","70,92494653"
02 Aragón,2012,"30,86758887","70,78789635"
02 Aragón,2013,"30,98771902","71,62408042"
02 Aragón,2014,"32,74764851","75,55636911"
02 Aragón,2015,"33,35962969","77,40756489"
02 Aragón,2016,"35,64655973","81,90276747"
02 Aragón,2017,"36,09642493","83,10944767"
02 Aragón,2018,"36,92875733","85,88591738"
02 Aragón,2019,"37,55550361","88,73889157"
02 Aragón,2020,"39,59123335","91,2591071"
02 Aragón,2021,"40,10381199","96,15515283"
02 Aragón,2022,"40,44848828","101,606399"
02 Aragón,2023,"40,03998131","104,0586202"
03 Principado de Asturias,2010,"26,86243473","92,54641317"
03 Principado de Asturias,2011,"27,31666389","97,78930353"
03 Principado de Asturias,2012,"27,55519133","97,1549296"
03 Principado de Asturias,2013,"28,12690669","100,5928043"
03 Principado de Asturias,2014,"29,07737146","105,5780388"
03 Principado de Asturias,2015,"29,9321989","109,6984268"
03 Principado de Asturias,2016,"31,61395731","113,8081735"
03 Principado de Asturias,2017,"32,65005677","116,556914"
03 Principado de Asturias,2018,"33,56045073","120,0293863"
03 Principado de Asturias,2019,"34,62887502","124,952203"
03 Principado de Asturias,2020,"37,03348791","129,7486042"
03 Principado de Asturias,2021,"38,51491199","136,0814546"
03 Principado de Asturias,2022,"39,69768074","144,5738158"
03 Principado de Asturias,2023,"40,57100165","149,9719147"
04 Islas Baleares,2010,"22,53674644","67,1301478"
04 Islas Baleares,2011,"22,80050558","70,31229849"
04 Islas Baleares,2012,"22,66363464","69,04590304"
