comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
01 Andalucía;2015;hombres;6,464;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20;7;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;hombres;6,464;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;hombres;6,464;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini;35;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;hombres;6,464;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini (con alquiler imputado);31;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;mujeres;13,493;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20;7;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;mujeres;13,493;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;mujeres;13,493;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini;35;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;mujeres;13,493;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini (con alquiler imputado);31;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;total;10,041;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20;7;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;total;10,041;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Distribución de la renta S80/S20 (alquiler imputado);5,2;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;total;10,041;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini;35;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2015;total;10,041;;11,5;6,2;1.373;2.204;43,1;8,8;13,8;5,6;Gini (con alquiler imputado);31;1,36%;0,47%;0,13%;5,81%;4,55%;0,12%;1,79%;0,12%;0,21%;0,09%
01 Andalucía;2016;hombres;5,556;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20;7,2;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;hombres;5,556;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,6;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;hombres;5,556;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini;36,1;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;hombres;5,556;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini (con alquiler imputado);32;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;mujeres;11,853;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20;7,2;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;mujeres;11,853;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,6;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;mujeres;11,853;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini;36,1;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;mujeres;11,853;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini (con alquiler imputado);32;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;total;8,761;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20;7,2;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;total;8,761;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Distribución de la renta S80/S20 (alquiler imputado);5,6;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;total;8,761;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini;36,1;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2016;total;8,761;;11,5;6,5;1.403;2.204;52,2;9,4;13,2;6,9;Gini (con alquiler imputado);32;1,45%;0,66%;0,16%;5,90%;4,59%;0,14%;1,70%;0,19%;0,17%;0,10%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20;6,9;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20 (alquiler imputado);5,4;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini;35,5;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini (con alquiler imputado);31,6;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;mujeres;12,434;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20;6,9;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
