archivo,columna,tipo_dato,valores_nulos,%_nulos,valores_unicos,mínimo,máximo,media,desviación
comunidades.csv,comunidades_autónomas,object,0,0.0,19,,,,
desigualdad.csv,comunidades_autónomas,object,0,0.0,20,,,,
desigualdad.csv,desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini,object,0,0.0,4,,,,
desigualdad.csv,periodo,int64,0,0.0,17,2008.0,2024.0,2016.0,4.9
desigualdad.csv,total,object,0,0.0,223,,,,
empleo.csv,comunidades_autónomas,object,0,0.0,18,,,,
empleo.csv,género,object,0,0.0,3,,,,
empleo.csv,periodo,int64,0,0.0,18,2008.0,2025.0,2016.5,5.19
empleo.csv,salario_mediano,object,0,0.0,972,,,,
empleo.csv,variación_interanual_,object,54,5.56,565,,,,
genero.csv,gãnero,object,0,0.0,3,,,,
mental.csv,comunidades_autónomas,object,0,0.0,20,,,,
mental.csv,periodo,int64,0,0.0,14,2010.0,2023.0,2017.43,3.63
mental.csv,género,object,0,0.0,3,,,,
mental.csv,hipno,object,386,57.96,280,,,,
mental.csv,antidep,object,386,57.96,280,,,,
mental.csv,trastornos,object,87,13.06,575,,,,
mental.csv,benzodiacepinas,object,225,33.78,436,,,,
periodo.csv,periodo,int64,0,0.0,26,2000.0,2025.0,2012.5,7.65
sector.csv,comunidades_autónomas,object,0,0.0,17,,,,
sector.csv,periodo,int64,0,0.0,19,2006.0,2024.0,2015.0,5.49
sector.csv,social_pib,object,34,10.53,139,,,,
sector.csv,empleo_pib,object,34,10.53,83,,,,
sector.csv,vivienda_pib,object,34,10.53,55,,,,
sector.csv,sanidad_pib,object,34,10.53,213,,,,
sector.csv,educacion_pib,object,34,10.53,189,,,,
sector.csv,cultura_pib,object,34,10.53,50,,,,
sector.csv,psector_pib,object,34,10.53,152,,,,
sector.csv,energía_pib,object,34,10.53,53,,,,
sector.csv,turismo_pib,object,34,10.53,65,,,,
sector.csv,altocargo_pib,object,34,10.53,22,,,,
vivienda.csv,comunidades_autónomas,object,0,0.0,21,,,,
vivienda.csv,periodo,int64,0,0.0,20,2006.0,2025.0,2015.52,5.76
vivienda.csv,máximo_histórico_alquiler,object,71,17.79,37,,,,
vivienda.csv,precio_alquiler,object,71,17.79,103,,,,
vivienda.csv,precio_venta,float64,55,13.78,316,1.004,976.0,68.18,237.75
vivienda.csv,máximo_histórico_venta,float64,55,13.78,26,1.217,4.729,2.22,0.8
vivienda.csv,dificultades_medias_altas_para_llegar_a_fin_de_mes,object,79,19.8,214,,,,
vivienda.csv,población_con_gasto_elevado_en_vivienda,object,79,19.8,116,,,,
vivienda.csv,retrasos_en_los_pagos,object,79,19.8,166,,,,
vivienda.csv,población_con_falta_de_espacio_en_la_vivienda,object,79,19.8,132,,,,
