comunidades_autónomas;periodo;social_pib;empleo_pib;vivienda_pib
01 Andalucía;2006;0,94%;0,73%;0,28%
01 Andalucía;2007;1,03%;0,72%;0,27%
01 Andalucía;2008;1,22%;0,75%;0,31%
01 Andalucía;2009;1,30%;0,77%;0,36%
01 Andalucía;2010;1,49%;0,96%;0,29%
01 Andalucía;2011;1,50%;0,79%;0,09%
01 Andalucía;2012;1,63%;0,82%;0,10%
01 Andalucía;2013;1,48%;0,46%;0,09%
01 Andalucía;2014;1,43%;0,46%;0,10%
01 Andalucía;2015;1,36%;0,47%;0,13%
01 Andalucía;2016;1,45%;0,66%;0,16%
01 Andalucía;2017;1,42%;0,64%;0,19%
01 Andalucía;2018;1,45%;0,67%;0,17%
01 Andalucía;2019;1,44%;0,55%;0,19%
01 Andalucía;2020;1,63%;0,61%;0,21%
01 Andalucía;2021;1,59%;0,71%;0,23%
01 Andalucía;2022;1,50%;0,50%;0,18%
01 Andalucía;2023;;;
01 Andalucía;2024;;;
02 Aragón;2023;;;
02 Aragón;2010;1,04%;0,41%;0,24%
02 Aragón;2008;0,72%;0,40%;0,22%
02 Aragón;2007;0,67%;0,40%;0,22%
02 Aragón;2009;1,13%;0,42%;0,23%
02 Aragón;2006;0,61%;0,42%;0,22%
02 Aragón;2011;0,99%;0,43%;0,18%
02 Aragón;2022;1,07%;0,33%;0,13%
02 Aragón;2012;1,10%;0,43%;0,17%
02 Aragón;2024;;;
02 Aragón;2021;1,23%;0,36%;0,11%
02 Aragón;2020;1,22%;0,36%;0,12%
02 Aragón;2018;1,10%;0,33%;0,11%
02 Aragón;2019;1,06%;0,32%;0,10%
02 Aragón;2013;0,94%;0,29%;0,12%
02 Aragón;2017;1,06%;0,31%;0,10%
02 Aragón;2016;1,03%;0,29%;0,10%
02 Aragón;2015;0,97%;0,31%;0,09%
02 Aragón;2014;0,97%;0,29%;0,08%
03 Principado de Asturias;2024;;;
03 Principado de Asturias;2023;;;
03 Principado de Asturias;2007;1,05%;0,70%;0,38%
03 Principado de Asturias;2009;1,45%;0,78%;0,39%
03 Principado de Asturias;2006;0,93%;0,70%;0,34%
03 Principado de Asturias;2012;1,65%;0,68%;0,35%
03 Principado de Asturias;2011;1,57%;0,65%;0,33%
03 Principado de Asturias;2010;1,57%;0,64%;0,31%
03 Principado de Asturias;2008;1,05%;0,66%;0,26%
03 Principado de Asturias;2022;1,97%;0,58%;0,17%
03 Principado de Asturias;2021;2,07%;0,54%;0,17%
03 Principado de Asturias;2020;2,20%;0,53%;0,18%
03 Principado de Asturias;2019;1,95%;0,48%;0,15%
03 Principado de Asturias;2016;1,76%;0,44%;0,15%
03 Principado de Asturias;2018;1,78%;0,41%;0,14%
03 Principado de Asturias;2017;1,83%;0,42%;0,14%
03 Principado de Asturias;2015;1,79%;0,44%;0,15%
03 Principado de Asturias;2014;1,64%;0,41%;0,13%
03 Principado de Asturias;2013;1,63%;0,41%;0,13%
04 Islas Baleares;2023;;;
04 Islas Baleares;2019;0,53%;0,33%;0,18%
04 Islas Baleares;2024;;;
04 Islas Baleares;2020;0,70%;0,38%;0,14%
04 Islas Baleares;2021;0,71%;0,35%;0,11%
04 Islas Baleares;2022;0,79%;0,37%;0,09%
04 Islas Baleares;2010;0,38%;0,35%;0,11%
04 Islas Baleares;2011;0,38%;0,35%;0,11%
04 Islas Baleares;2007;0,28%;0,34%;0,09%
04 Islas Baleares;2006;0,21%;0,36%;0,10%
04 Islas Baleares;2018;0,56%;0,30%;0,08%
04 Islas Baleares;2009;0,40%;0,38%;0,08%
04 Islas Baleares;2008;0,32%;0,35%;0,07%
04 Islas Baleares;2017;0,43%;0,27%;0,06%
04 Islas Baleares;2015;0,34%;0,18%;0,05%
04 Islas Baleares;2016;0,34%;0,20%;0,04%
04 Islas Baleares;2012;0,32%;0,24%;0,04%
04 Islas Baleares;2013;0,37%;0,17%;0,03%
04 Islas Baleares;2014;0,40%;0,16%;0,03%
05 Canarias;2024;;;
05 Canarias;2023;;;
05 Canarias;2008;0,80%;0,62%;0,33%
05 Canarias;2007;0,75%;0,60%;0,32%
05 Canarias;2006;0,68%;0,62%;0,31%
05 Canarias;2009;0,73%;0,67%;0,32%
05 Canarias;2022;1,23%;0,68%;0,29%
05 Canarias;2010;0,74%;0,84%;0,31%
05 Canarias;2021;1,26%;0,65%;0,30%
05 Canarias;2020;1,37%;0,71%;0,26%
05 Canarias;2019;1,02%;0,51%;0,19%
05 Canarias;2018;0,88%;0,51%;0,18%
05 Canarias;2011;0,66%;0,80%;0,19%
05 Canarias;2017;0,75%;0,49%;0,16%
05 Canarias;2016;0,73%;0,44%;0,17%
05 Canarias;2012;0,69%;0,74%;0,18%
05 Canarias;2015;0,68%;0,45%;0,16%
05 Canarias;2014;0,68%;0,42%;0,13%
05 Canarias;2013;0,64%;0,40%;0,13%
06 Cantabria;2023;;;
06 Cantabria;2009;1,43%;0,55%;0,31%
06 Cantabria;2008;1,21%;0,52%;0,29%
06 Cantabria;2007;1,07%;0,48%;0,26%
