Comunidades autónomas;Periodo;precio
01 Andalucía;2025;12,1
01 Andalucía;2024;11,4
01 Andalucía;2023;10,7
01 Andalucía;2022;9,4
01 Andalucía;2021;8,7
01 Andalucía;2020;8,6
01 Andalucía;2019;8,4
01 Andalucía;2018;7,8
01 Andalucía;2017;7,2
01 Andalucía;2016;6,5
01 Andalucía;2015;6,2
01 Andalucía;2014;6
01 Andalucía;2013;6
01 Andalucía;2012;6,3
01 Andalucía;2011;6,6
01 Andalucía;2010;6,7
01 Andalucía;2009;7
01 Andalucía;2008;7,4
01 Andalucía;2007;8
01 Andalucía;2006;8,9
02 Aragón;2025;9,5
02 Aragón;2024;9,3
02 Aragón;2023;8,7
02 Aragón;2022;8,2
02 Aragón;2021;7,9
02 Aragón;2020;7,8
02 Aragón;2019;7,7
02 Aragón;2018;7,2
02 Aragón;2017;6,8
02 Aragón;2016;6,4
02 Aragón;2015;6,1
02 Aragón;2014;5,8
02 Aragón;2013;6
02 Aragón;2012;6,3
02 Aragón;2011;7
02 Aragón;2010;6,7
02 Aragón;2009;6,9
02 Aragón;2008;7,6
02 Aragón;2007;
02 Aragón;2006;
03 Principado de Asturias;2025;9,5
03 Principado de Asturias;2024;9
03 Principado de Asturias;2023;8,4
03 Principado de Asturias;2022;7,8
03 Principado de Asturias;2021;7,5
03 Principado de Asturias;2020;7,3
03 Principado de Asturias;2019;7,2
03 Principado de Asturias;2018;6,9
03 Principado de Asturias;2017;6,6
03 Principado de Asturias;2016;6,3
03 Principado de Asturias;2015;6
03 Principado de Asturias;2014;6
03 Principado de Asturias;2013;6
03 Principado de Asturias;2012;6,4
03 Principado de Asturias;2011;6,8
03 Principado de Asturias;2010;7,3
03 Principado de Asturias;2009;8
03 Principado de Asturias;2008;9,3
03 Principado de Asturias;2007;
03 Principado de Asturias;2006;
04 Islas Baleares;2025;17,9
04 Islas Baleares;2024;18,9
04 Islas Baleares;2023;16,1
04 Islas Baleares;2022;13,6
04 Islas Baleares;2021;12
04 Islas Baleares;2020;11,5
04 Islas Baleares;2019;12,4
04 Islas Baleares;2018;12,2
04 Islas Baleares;2017;11,8
04 Islas Baleares;2016;10,2
04 Islas Baleares;2015;8,2
04 Islas Baleares;2014;7,9
04 Islas Baleares;2013;7,6
04 Islas Baleares;2012;7,8
04 Islas Baleares;2011;8,2
04 Islas Baleares;2010;9,3
04 Islas Baleares;2009;10,2
04 Islas Baleares;2008;11,1
04 Islas Baleares;2007;13
04 Islas Baleares;2006;
05 Canarias;2025;14,2
05 Canarias;2024;13,9
05 Canarias;2023;12,8
05 Canarias;2022;11,5
