Comunidades autónomas,Periodo,social_pib,empleo_pib,vivienda_pib,sanidad_pib,educacion_pib,cultura_pib,psector_pib,energía_pib,turismo_pib,altocargo_pib
01 Andalucía,2006,"0,94%","0,73%","0,28%","5,85%","4,16%","0,30%","1,72%","0,07%","0,45%","0,07%"
01 Andalucía,2007,"1,03%","0,72%","0,27%","5,84%","4,16%","0,29%","1,64%","0,07%","0,44%","0,07%"
01 Andalucía,2008,"1,22%","0,75%","0,31%","6,27%","4,47%","0,31%","1,65%","0,07%","0,48%","0,08%"
01 Andalucía,2009,"1,30%","0,77%","0,36%","6,72%","5,02%","0,36%","1,81%","0,08%","0,73%","0,07%"
01 Andalucía,2010,"1,49%","0,96%","0,29%","6,73%","5,07%","0,29%","1,70%","0,09%","0,64%","0,07%"
01 Andalucía,2011,"1,50%","0,79%","0,09%","6,51%","4,91%","0,21%","1,65%","0,09%","0,34%","0,07%"
01 Andalucía,2012,"1,63%","0,82%","0,10%","6,76%","5,21%","0,20%","1,70%","0,08%","0,32%","0,07%"
01 Andalucía,2013,"1,48%","0,46%","0,09%","6,16%","4,83%","0,16%","1,98%","0,16%","0,18%","0,09%"
01 Andalucía,2014,"1,43%","0,46%","0,10%","5,95%","4,67%","0,12%","1,81%","0,20%","0,21%","0,09%"
01 Andalucía,2015,"1,36%","0,47%","0,13%","5,81%","4,55%","0,12%","1,79%","0,12%","0,21%","0,09%"
01 Andalucía,2016,"1,45%","0,66%","0,16%","5,90%","4,59%","0,14%","1,70%","0,19%","0,17%","0,10%"
01 Andalucía,2017,"1,42%","0,64%","0,19%","5,94%","4,52%","0,15%","1,49%","0,19%","0,17%","0,09%"
01 Andalucía,2018,"1,45%","0,67%","0,17%","6,06%","4,57%","0,15%","1,47%","0,20%","0,16%","0,09%"
01 Andalucía,2019,"1,44%","0,55%","0,19%","6,30%","4,55%","0,14%","1,61%","0,27%","0,12%","0,12%"
01 Andalucía,2020,"1,63%","0,61%","0,21%","7,28%","5,24%","0,16%","1,79%","0,13%","0,30%","0,15%"
01 Andalucía,2021,"1,59%","0,71%","0,23%","7,09%","5,15%","0,16%","1,61%","0,18%","0,16%","0,13%"
01 Andalucía,2022,"1,50%","0,50%","0,18%","6,85%","4,82%","0,16%","1,46%","0,11%","0,13%","0,12%"
01 Andalucía,2023,,,,,,,,,,
01 Andalucía,2024,,,,,,,,,,
02 Aragón,2023,,,,,,,,,,
02 Aragón,2010,"1,04%","0,41%","0,24%","5,59%","3,12%","0,20%","2,09%","0,14%","0,11%","0,09%"
02 Aragón,2008,"0,72%","0,40%","0,22%","4,97%","2,92%","0,35%","2,19%","0,14%","0,17%","0,09%"
02 Aragón,2007,"0,67%","0,40%","0,22%","4,83%","2,83%","0,37%","2,24%","0,14%","0,18%","0,10%"
02 Aragón,2009,"1,13%","0,42%","0,23%","5,59%","3,16%","0,25%","2,30%","0,15%","0,17%","0,10%"
02 Aragón,2006,"0,61%","0,42%","0,22%","4,90%","2,83%","0,26%","2,39%","0,14%","0,17%","0,09%"
02 Aragón,2011,"0,99%","0,43%","0,18%","5,50%","3,01%","0,14%","2,13%","0,14%","0,09%","0,09%"
02 Aragón,2022,"1,07%","0,33%","0,13%","5,34%","3,14%","0,08%","1,65%","0,14%","0,09%","0,07%"
02 Aragón,2012,"1,10%","0,43%","0,17%","5,77%","3,09%","0,10%","2,27%","0,11%","0,06%","0,08%"
02 Aragón,2024,,,,,,,,,,
02 Aragón,2021,"1,23%","0,36%","0,11%","6,15%","3,40%","0,09%","1,77%","0,09%","0,06%","0,08%"
02 Aragón,2020,"1,22%","0,36%","0,12%","5,80%","3,33%","0,10%","1,84%","0,07%","0,05%","0,08%"
02 Aragón,2018,"1,10%","0,33%","0,11%","5,40%","3,00%","0,10%","1,74%","0,06%","0,06%","0,07%"
02 Aragón,2019,"1,06%","0,32%","0,10%","5,23%","2,91%","0,09%","1,69%","0,05%","0,06%","0,07%"
02 Aragón,2013,"0,94%","0,29%","0,12%","5,00%","2,76%","0,08%","1,98%","0,09%","0,08%","0,08%"
02 Aragón,2017,"1,06%","0,31%","0,10%","5,30%","2,96%","0,09%","1,78%","0,05%","0,06%","0,07%"
02 Aragón,2016,"1,03%","0,29%","0,10%","5,23%","2,84%","0,07%","1,85%","0,05%","0,09%","0,07%"
02 Aragón,2015,"0,97%","0,31%","0,09%","4,83%","2,70%","0,07%","1,97%","0,07%","0,07%","0,08%"
02 Aragón,2014,"0,97%","0,29%","0,08%","4,93%","2,75%","0,07%","2,03%","0,07%","0,08%","0,08%"
03 Principado de Asturias,2024,,,,,,,,,,
03 Principado de Asturias,2023,,,,,,,,,,
03 Principado de Asturias,2007,"1,05%","0,70%","0,38%","5,74%","3,38%","0,51%","0,82%","0,35%","0,14%","0,11%"
03 Principado de Asturias,2009,"1,45%","0,78%","0,39%","6,87%","3,74%","0,53%","0,90%","0,39%","0,15%","0,14%"
03 Principado de Asturias,2006,"0,93%","0,70%","0,34%","5,81%","3,29%","0,54%","0,84%","0,35%","0,15%","0,10%"
03 Principado de Asturias,2012,"1,65%","0,68%","0,35%","7,22%","3,67%","0,39%","0,89%","0,26%","0,10%","0,12%"
