ccaa;fecha;genero;origen_genero;origen;cobertura_pct_ppd;solicitudes_pct_ppd;limbo_grado_pct_ppd;limbo_pia_pct_ppd;limbo_prestaciones_pct_ppd;pct_mujeres_benef
Andalucía;2023-01-01;hombre;estimado;real;4,4240;6,9192;0,7702;0,6100;0,0092;82,7271
Andalucía;2023-01-01;mujer;estimado;real;21,1884;33,1387;3,6889;2,9214;0,0442;82,7271
Andalucía;2023-02-01;hombre;estimado;real;4,4446;6,9742;0,7928;0,6232;0,0088;82,6796
Andalucía;2023-02-01;mujer;estimado;real;21,2166;33,2917;3,7845;2,9747;0,0422;82,6796
Andalucía;2023-03-01;hombre;estimado;real;4,4417;7,0023;0,8009;0,6443;0,0099;82,6702
Andalucía;2023-03-01;mujer;estimado;real;21,1885;33,4039;3,8206;3,0734;0,0474;82,6702
Andalucía;2023-04-01;hombre;estimado;real;4,4599;7,0245;0,8084;0,6410;0,0098;82,6885
Andalucía;2023-04-01;mujer;estimado;real;21,3025;33,5523;3,8614;3,0619;0,0470;82,6885
Andalucía;2023-05-01;hombre;estimado;real;4,4751;7,0758;0,8043;0,6742;0,0097;82,6777
Andalucía;2023-05-01;mujer;estimado;real;21,3594;33,7722;3,8390;3,2180;0,0465;82,6777
Andalucía;2023-06-01;hombre;estimado;real;4,5122;7,1678;0,8143;0,7042;0,0103;82,5862
Andalucía;2023-06-01;mujer;estimado;real;21,3993;33,9937;3,8618;3,3397;0,0486;82,5862
Andalucía;2023-07-01;hombre;estimado;real;4,5757;7,1636;0,7376;0,7016;0,0108;82,5089
Andalucía;2023-07-01;mujer;estimado;real;21,5844;33,7920;3,4793;3,3095;0,0511;82,5089
Andalucía;2023-08-01;hombre;estimado;real;4,5831;7,1194;0,6747;0,7103;0,0108;82,5198
Andalucía;2023-08-01;mujer;estimado;real;21,6357;33,6087;3,1852;3,3529;0,0510;82,5198
Andalucía;2023-09-01;hombre;estimado;real;4,6566;7,1183;0,6252;0,6773;0,0109;82,4271
Andalucía;2023-09-01;mujer;estimado;real;21,8423;33,3888;2,9327;3,1769;0,0510;82,4271
Andalucía;2023-10-01;hombre;estimado;real;4,7092;7,1520;0,5687;0,6994;0,0119;82,2968
Andalucía;2023-10-01;mujer;estimado;real;21,8916;33,2476;2,6437;3,2511;0,0552;82,2968
Andalucía;2023-11-01;hombre;estimado;real;4,7674;7,1541;0,4735;0,7201;0,0107;82,1876
Andalucía;2023-11-01;mujer;estimado;real;21,9968;33,0094;2,1848;3,3225;0,0495;82,1876
Andalucía;2023-12-01;hombre;estimado;real;4,8822;7,1712;0,4843;0,6057;0,0105;82,0601
Andalucía;2023-12-01;mujer;estimado;real;22,3318;32,8023;2,2153;2,7707;0,0481;82,0601
Andalucía;2024-01-01;hombre;estimado;real;5,0618;7,3896;0,5152;0,5715;0,0111;82,0607
Andalucía;2024-01-01;mujer;estimado;real;23,1547;33,8024;2,3568;2,6144;0,0509;82,0607
Andalucía;2024-02-01;hombre;estimado;real;5,0927;7,3634;0,5060;0,5208;0,0110;81,9607
Andalucía;2024-02-01;mujer;estimado;real;23,1387;33,4554;2,2989;2,3662;0,0501;81,9607
Andalucía;2024-03-01;hombre;estimado;real;5,0958;7,3979;0,5887;0,4755;0,0102;81,9932
Andalucía;2024-03-01;mujer;estimado;real;23,2037;33,6860;2,6805;2,1653;0,0465;81,9932
Andalucía;2024-04-01;hombre;estimado;real;5,1056;7,3590;0,5776;0,4390;0,0104;81,9441
Andalucía;2024-04-01;mujer;estimado;real;23,1709;33,3979;2,6213;1,9921;0,0473;81,9441
Andalucía;2024-05-01;hombre;estimado;real;5,1133;7,3079;0,5589;0,4026;0,0105;81,9150
Andalucía;2024-05-01;mujer;estimado;real;23,1606;33,1005;2,5317;1,8236;0,0476;81,9150
Andalucía;2024-06-01;hombre;estimado;real;5,1274;7,2779;0,5442;0,3746;0,0107;81,8703
Andalucía;2024-06-01;mujer;estimado;real;23,1543;32,8654;2,4576;1,6918;0,0485;81,8703
Andalucía;2024-07-01;hombre;estimado;real;5,1392;7,3614;0,6535;0,3401;0,0106;81,8510
Andalucía;2024-07-01;mujer;estimado;real;23,1776;33,1995;2,9472;1,5339;0,0476;81,8510
Andalucía;2024-08-01;hombre;estimado;real;5,1733;7,4571;0,5317;0,4499;0,0106;81,8028
Andalucía;2024-08-01;mujer;estimado;real;23,2559;33,5221;2,3902;2,0226;0,0477;81,8028
Andalucía;2024-09-01;hombre;estimado;real;5,1684;7,4189;0,5287;0,4227;0,0105;81,7700
Andalucía;2024-09-01;mujer;estimado;real;23,1827;33,2771;2,3713;1,8961;0,0472;81,7700
Andalucía;2024-10-01;hombre;estimado;real;5,1967;7,4500;0,5718;0,3843;0,0106;81,6983
Andalucía;2024-10-01;mujer;estimado;real;23,1980;33,2566;2,5525;1,7154;0,0474;81,6983
Andalucía;2024-11-01;hombre;estimado;real;5,2776;7,6211;0,6507;0,3422;0,0623;81,6486
Andalucía;2024-11-01;mujer;estimado;real;23,4808;33,9074;2,8953;1,5224;0,2772;81,6486
Andalucía;2024-12-01;hombre;estimado;real;5,3834;7,6828;0,5825;0,3120;0,0283;81,5937
Andalucía;2024-12-01;mujer;estimado;real;23,8641;34,0572;2,5821;1,3830;0,1252;81,5937
Andalucía;2025-01-01;hombre;estimado;real;5,1777;7,3944;0,5645;0,2919;0,0269;81,6195
Andalucía;2025-01-01;mujer;estimado;real;22,9920;32,8354;2,5066;1,2963;0,1193;81,6195
Andalucía;2025-02-01;hombre;estimado;real;5,1897;7,3666;0,5360;0,2872;0,0357;81,6260
Andalucía;2025-02-01;mujer;estimado;real;23,0549;32,7257;2,3810;1,2759;0,1588;81,6260
Andalucía;2025-03-01;hombre;estimado;real;5,2033;7,3764;0,5072;0,2758;0,0567;81,6304
Andalucía;2025-03-01;mujer;estimado;real;23,1225;32,7792;2,2538;1,2256;0,2517;81,6304
Andalucía;2025-04-01;hombre;estimado;real;5,2170;7,3774;0,4999;0,2766;0,0676;81,6282
Andalucía;2025-04-01;mujer;estimado;real;23,1795;32,7785;2,2211;1,2290;0,3005;81,6282
Andalucía;2025-05-01;hombre;estimado;real;5,2444;7,3988;0,4977;0,2778;0,1000;81,6256
Andalucía;2025-05-01;mujer;estimado;real;23,2974;32,8682;2,2111;1,2342;0,4443;81,6256
Andalucía;2025-06-01;hombre;estimado;real;5,2774;7,4232;0,5071;0,2628;0,1066;81,5979
Andalucía;2025-06-01;mujer;estimado;real;23,4009;32,9157;2,2487;1,1652;0,4727;81,5979
Andalucía;2025-07-01;hombre;estimado;real;5,3142;7,4583;0,5227;0,2472;0,1311;81,5600
Andalucía;2025-07-01;mujer;estimado;real;23,5048;32,9879;2,3117;1,0932;0,5798;81,5600
Andalucía;2025-08-01;hombre;estimado;real;5,3582;7,5324;0,5579;0,2413;0,1291;81,4872
Andalucía;2025-08-01;mujer;estimado;real;23,5851;33,1551;2,4559;1,0622;0,5681;81,4872
Andalucía;2025-09-01;hombre;estimado;real;5,4989;7,5955;0,5251;0,2357;0,1487;81,3671
Andalucía;2025-09-01;mujer;estimado;real;24,0128;33,1685;2,2930;1,0291;0,6493;81,3671
Andalucía;2025-10-01;hombre;estimado;real;5,6875;7,7322;0,3581;0,2326;0,1922;81,3272
Andalucía;2025-10-01;mujer;estimado;real;24,7710;33,6768;1,5599;1,0132;0,8371;81,3272
Andalucía;2025-11-01;hombre;estimado;real;5,9062;7,9229;0,2771;0,2410;0,2156;81,2591
Andalucía;2025-11-01;mujer;estimado;real;25,6088;34,3533;1,2016;1,0448;0,9347;81,2591
Andalucía;2025-12-01;hombre;estimado;real;6,0414;8,1305;0,2615;0,2371;0,2161;81,1753
Andalucía;2025-12-01;mujer;estimado;real;26,0515;35,0600;1,1277;1,0223;0,9317;81,1753
Andalucía;2026-01-01;hombre;estimado;real;5,9191;8,0024;0,3058;0,2304;0,2395;81,1300
Andalucía;2026-01-01;mujer;estimado;real;25,4487;34,4056;1,3146;0,9906;1,0295;81,1300
Andalucía;2026-02-01;hombre;estimado;real;5,9145;8,0982;0,4158;0,3027;0,2698;81,0701
Andalucía;2026-02-01;mujer;estimado;real;25,3298;34,6818;1,7806;1,2964;1,1556;81,0701
Andalucía;2026-03-01;hombre;estimado;real;6,0793;8,2286;0,4353;0,2095;0,2294;81,0036
Andalucía;2026-03-01;mujer;estimado;real;25,9231;35,0880;1,8561;0,8934;0,9782;81,0036
Andalucía;2026-04-01;hombre;estimado;proyeccion;6,1108;8,2286;0,4353;0,2095;0,2168;80,9419
Andalucía;2026-04-01;mujer;estimado;proyeccion;26,0573;35,0879;1,8561;0,8934;0,9243;80,9419
Andalucía;2026-05-01;hombre;estimado;proyeccion;6,1422;8,2286;0,4353;0,2095;0,2294;80,8802
Andalucía;2026-05-01;mujer;estimado;proyeccion;26,1915;35,0879;1,8561;0,8934;0,9781;80,8802
Andalucía;2026-06-01;hombre;estimado;proyeccion;6,1737;8,2286;0,4353;0,2095;0,2069;80,8186
Andalucía;2026-06-01;mujer;estimado;proyeccion;26,3257;35,0879;1,8561;0,8934;0,8821;80,8186
Andalucía;2026-07-01;hombre;estimado;proyeccion;6,2052;8,2286;0,4353;0,2095;0,1934;80,7569
Andalucía;2026-07-01;mujer;estimado;proyeccion;26,4599;35,0879;1,8561;0,8934;0,8248;80,7569
Andalucía;2026-08-01;hombre;estimado;proyeccion;6,2367;8,2286;0,4353;0,2095;0,1567;80,6952
