ccaa;fecha;cobertura_pct_ppd;solicitudes_pct_ppd;pct_mujeres_benef;limbo_grado_pct_ppd;limbo_pia_pct_ppd;limbo_prestaciones_pct_ppd;tiempo_espera_total_dias;pct_pecef;pct_atencion_residencial;ratio_prest_x_benef;pct_grado3;origen;solicitudes;pers_benef_prest;atencion_residencial;pe_cuidados_fam;pe_vinc_serv;ayuda_domicilio;centros_dia_noche;teleasistencia;total;resoluciones_grado;grado1;grado2;grado3;total_der_prest;solicitudes_dict;pendientes_grado_total;pendientes_grado_6m_o_mas;pendientes_pia_total;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva;tiempo_solicitud_grado;tiempo_grado_prestacion
Andalucía;2023-01-01;25,6124;40,0579;82,7271;4,4591;3,5314;0,0535;538,0800;19,8321;6,8703;1,4446;26,9960;real;421864;269733;26770;77276;4177;145587;14106;120937;389651;374904;86252;137814;82857;306923;421864;46960;32642;37190;269733;269170;563;334,66;187,86
Andalucía;2023-02-01;25,6612;40,2659;82,6796;4,5773;3,5979;0,0511;533,8700;19,7874;6,8916;1,4461;27,0398;real;424055;270247;26933;77331;4284;145945;14128;121406;390810;375850;86506;138312;83320;308138;424055;48205;32416;37891;270247;269709;538;337,09;187,55
Andalucía;2023-03-01;25,6301;40,4062;82,6702;4,6215;3,7177;0,0574;533,3100;19,8038;6,8986;1,4485;27,0455;real;425532;269920;26972;77428;4256;145775;14179;121595;390976;376861;86661;138821;83590;309072;425532;48671;32363;39152;269920;269316;604;340,08;190,36
Andalucía;2023-04-01;25,7624;40,5767;82,6885;4,6698;3,7029;0,0568;530,2800;19,7155;6,8435;1,4519;27,0146;real;427328;271313;26957;77661;4343;147009;14201;122978;393909;378149;87255;139226;83829;310310;427328;49179;33251;38997;271313;270715;598;343,22;189,40
Andalucía;2023-05-01;25,8346;40,8480;82,6777;4,6433;3,8922;0,0562;529,0500;19,6872;6,8573;1,4539;27,0303;real;430185;272073;27125;77875;4370;147538;14261;123640;395562;381285;88220;140221;84622;313063;430185;48900;33062;40990;272073;271481;592;344,64;190,23
Andalucía;2023-06-01;25,9115;41,1615;82,5862;4,6760;4,0439;0,0589;529,1100;19,6540;6,8852;1,4555;26,9454;real;433486;272883;27347;78063;4498;147945;14282;124306;397187;384241;89229;141237;85005;315471;433486;49245;31602;42588;272883;272263;620;345,59;189,40
Andalucía;2023-07-01;26,1601;40,9556;82,5089;4,2168;4,0111;0,0619;532,1300;19,5947;6,8336;1,4566;26,8950;real;431318;275501;27423;78633;4664;149207;14306;126328;401297;386909;90241;142045;85457;317743;431318;44409;29673;42242;275501;274849;652;347,73;191,80
Andalucía;2023-08-01;26,2187;40,7281;82,5198;3,8599;4,0632;0,0618;538,1300;19,3947;6,8249;1,4601;26,8232;real;428922;276119;27515;78191;4578;150399;14387;127361;403157;388272;90741;142627;85542;318910;428922;40650;29825;42791;276119;275468;651;347,53;194,90
Andalucía;2023-09-01;26,4990;40,5071;82,4271;3,5579;3,8542;0,0618;541,5700;19,4407;6,7363;1,4636;26,7131;real;426595;279070;27514;79404;4690;152273;14474;129373;408443;389125;91330;142939;85391;319660;426595;37470;30520;40590;279070;278419;651;348,98;199,77
Andalucía;2023-10-01;26,6008;40,3996;82,2968;3,2124;3,9505;0,0670;542,2200;19,5543;6,8108;1,4643;26,6797;real;425463;280143;27938;80212;4724;152250;14536;129841;410202;391632;92215;143691;85841;321747;425463;33831;29211;41604;280143;279437;706;351,55;203,20
