df_origen;ccaa;periodo;variable;yhat
benpresaad_all;Castilla-La Mancha;2019-01;atencion_residencial;12748,274778158272966
benpresaad_all;Castilla-La Mancha;2019-02;atencion_residencial;12809,209784674338152
benpresaad_all;Castilla-La Mancha;2019-03;atencion_residencial;12870,144791190405158
benpresaad_all;Castilla-La Mancha;2019-04;atencion_residencial;12931,079797706472164
benpresaad_all;Castilla-La Mancha;2019-05;atencion_residencial;12992,014804222537350
benpresaad_all;Castilla-La Mancha;2019-06;atencion_residencial;13052,949810738604356
benpresaad_all;Castilla-La Mancha;2019-07;atencion_residencial;13113,884817254669542
benpresaad_all;Castilla-La Mancha;2019-08;atencion_residencial;13174,819823770736548
benpresaad_all;Castilla-La Mancha;2019-09;atencion_residencial;13235,754830286801734
benpresaad_all;Castilla-La Mancha;2019-10;atencion_residencial;13296,689836802868740
benpresaad_all;Castilla-La Mancha;2019-11;atencion_residencial;13357,624843318935746
benpresaad_all;Castilla-La Mancha;2019-12;atencion_residencial;13418,559849835000932
benpresaad_all;Castilla-La Mancha;2020-01;atencion_residencial;13479,494856351067938
benpresaad_all;Castilla-La Mancha;2020-02;atencion_residencial;13540,429862867133124
benpresaad_all;Castilla-La Mancha;2020-03;atencion_residencial;13601,364869383200130
benpresaad_all;Castilla-La Mancha;2020-04;atencion_residencial;13662,299875899265317
benpresaad_all;Castilla-La Mancha;2020-05;atencion_residencial;13723,234882415332322
benpresaad_all;Castilla-La Mancha;2020-06;atencion_residencial;13784,169888931397509
benpresaad_all;Castilla-La Mancha;2020-07;atencion_residencial;13845,104895447464514
benpresaad_all;Castilla-La Mancha;2020-08;atencion_residencial;13906,039901963531520
benpresaad_all;Castilla-La Mancha;2020-09;atencion_residencial;13966,974908479596706
benpresaad_all;Castilla-La Mancha;2020-10;atencion_residencial;14027,909914995663712
benpresaad_all;Castilla-La Mancha;2020-11;atencion_residencial;14088,844921511728899
benpresaad_all;Castilla-La Mancha;2020-12;atencion_residencial;14149,779928027795904
benpresaad_all;Castilla-La Mancha;2021-01;atencion_residencial;14210,714934543861091
benpresaad_all;Castilla-La Mancha;2021-02;atencion_residencial;14271,649941059928096
benpresaad_all;Castilla-La Mancha;2021-03;atencion_residencial;14332,584947575993283
benpresaad_all;Castilla-La Mancha;2021-04;atencion_residencial;14393,519954092060289
benpresaad_all;Castilla-La Mancha;2021-05;atencion_residencial;14454,454960608127294
benpresaad_all;Castilla-La Mancha;2021-06;atencion_residencial;14515,389967124192481
benpresaad_all;Castilla-La Mancha;2021-07;atencion_residencial;14576,324973640259486
benpresaad_all;Castilla-La Mancha;2021-08;atencion_residencial;14637,259980156324673
benpresaad_all;Castilla-La Mancha;2021-09;atencion_residencial;14698,194986672391678
benpresaad_all;Castilla-La Mancha;2021-10;atencion_residencial;14759,129993188456865
benpresaad_all;Castilla-La Mancha;2021-11;atencion_residencial;14820,064999704523871
benpresaad_all;Castilla-La Mancha;2021-12;atencion_residencial;14881,000006220589057
benpresaad_all;Castilla-La Mancha;2022-01;atencion_residencial;14941,935012736656063
benpresaad_all;Castilla-La Mancha;2022-02;atencion_residencial;15002,870019252723068
benpresaad_all;Castilla-La Mancha;2022-03;atencion_residencial;15063,805025768788255
benpresaad_all;Castilla-La Mancha;2022-04;atencion_residencial;15124,740032284855261
benpresaad_all;Castilla-La Mancha;2022-05;atencion_residencial;15185,675038800920447
benpresaad_all;Castilla-La Mancha;2022-06;atencion_residencial;15246,610045316987453
benpresaad_all;Castilla-La Mancha;2022-07;atencion_residencial;15307,545051833052639
benpresaad_all;Castilla-La Mancha;2022-08;atencion_residencial;15368,480058349119645
benpresaad_all;Castilla-La Mancha;2022-09;atencion_residencial;15429,415064865184831
benpresaad_all;Castilla-La Mancha;2022-10;atencion_residencial;15490,350071381251837
benpresaad_all;Castilla-La Mancha;2022-11;atencion_residencial;15551,285077897318843
benpresaad_all;Castilla-La Mancha;2022-12;atencion_residencial;15612,220084413384029
benpresaad_all;Castilla-La Mancha;2023-01;atencion_residencial;15673,155090929451035
benpresaad_all;Castilla-La Mancha;2023-02;atencion_residencial;15734,090097445516221
benpresaad_all;Castilla-La Mancha;2023-03;atencion_residencial;15795,025103961583227
benpresaad_all;Castilla-La Mancha;2023-04;atencion_residencial;15855,960110477648414
benpresaad_all;Castilla-La Mancha;2023-05;atencion_residencial;15916,895116993715419
benpresaad_all;Castilla-La Mancha;2023-06;atencion_residencial;15977,830123509782425
benpresaad_all;Castilla-La Mancha;2023-07;atencion_residencial;16038,765130025847611
benpresaad_all;Castilla-La Mancha;2023-08;atencion_residencial;16099,700136541914617
benpresaad_all;Castilla-La Mancha;2023-09;atencion_residencial;16160,635143057979803
benpresaad_all;Castilla-La Mancha;2023-10;atencion_residencial;16221,570149574046809
