ccaa;fecha;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva
Andalucía;2023-01-01;269733;269170;563
Aragón;2023-01-01;37223;36654;569
Principado de Asturias;2023-01-01;28712;27905;807
Islas Baleares;2023-01-01;26547;26547;0
Canarias;2023-01-01;35138;28056;7082
Cantabria;2023-01-01;17682;17682;0
Castilla y León;2023-01-01;114750;108962;5788
Castilla-La Mancha;2023-01-01;67152;64690;2462
Cataluña;2023-01-01;188719;188719;0
Comunidad Valenciana;2023-01-01;135053;132686;2367
Extremadura;2023-01-01;32536;32342;194
Galicia;2023-01-01;68745;66204;2541
Comunidad de Madrid;2023-01-01;162396;162396;0
Región de Murcia;2023-01-01;37921;37587;334
Comunidad Foral de Navarra;2023-01-01;15293;15293;0
País Vasco;2023-01-01;65174;65174;0
La Rioja;2023-01-01;8562;8562;0
Ceuta y Melilla;2023-01-01;3193;3048;145
Andalucía;2023-02-01;270247;269709;538
Aragón;2023-02-01;37626;37063;563
Principado de Asturias;2023-02-01;28697;27916;781
Islas Baleares;2023-02-01;26794;26794;0
Canarias;2023-02-01;35766;28746;7020
Cantabria;2023-02-01;17830;17830;0
Castilla y León;2023-02-01;115546;108902;6644
Castilla-La Mancha;2023-02-01;67423;64977;2446
Cataluña;2023-02-01;187648;187648;0
Comunidad Valenciana;2023-02-01;136992;134504;2488
Extremadura;2023-02-01;32637;32406;231
Galicia;2023-02-01;69070;65374;3696
Comunidad de Madrid;2023-02-01;162755;162755;0
Región de Murcia;2023-02-01;37872;37642;230
Comunidad Foral de Navarra;2023-02-01;15327;15327;0
País Vasco;2023-02-01;65350;65350;0
La Rioja;2023-02-01;8637;8637;0
Ceuta y Melilla;2023-02-01;3183;3053;130
Andalucía;2023-03-01;269920;269316;604
Aragón;2023-03-01;37918;37337;581
Principado de Asturias;2023-03-01;28870;28086;784
Islas Baleares;2023-03-01;26768;26768;0
Canarias;2023-03-01;36628;30022;6606
Cantabria;2023-03-01;17818;17818;0
Castilla y León;2023-03-01;116227;109229;6998
Castilla-La Mancha;2023-03-01;67575;65163;2412
Cataluña;2023-03-01;191389;191389;0
Comunidad Valenciana;2023-03-01;138962;136494;2468
Extremadura;2023-03-01;32777;32528;249
Galicia;2023-03-01;70190;67726;2464
Comunidad de Madrid;2023-03-01;164657;164657;0
Región de Murcia;2023-03-01;38104;37844;260
Comunidad Foral de Navarra;2023-03-01;15346;15346;0
País Vasco;2023-03-01;65268;65268;0
La Rioja;2023-03-01;8666;8666;0
Ceuta y Melilla;2023-03-01;3215;3103;112
Andalucía;2023-04-01;271313;270715;598
Aragón;2023-04-01;38208;37608;600
Principado de Asturias;2023-04-01;29209;28388;821
Islas Baleares;2023-04-01;26991;26991;0
Canarias;2023-04-01;37361;31302;6059
Cantabria;2023-04-01;17908;17908;0
Castilla y León;2023-04-01;116770;109245;7525
Castilla-La Mancha;2023-04-01;68043;65861;2182
Cataluña;2023-04-01;192301;192301;0
Comunidad Valenciana;2023-04-01;140764;138237;2527
