ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Andalucía;2023-01-01;269733;786;120937;145587;14106;26770;4177;77276;12;389651;1,44458038134007
Aragón;2023-01-01;37223;3449;3330;5203;1659;3974;6743;18993;0;43351;1,16462939580367
Principado de Asturias;2023-01-01;28712;7344;2458;6798;2255;3541;3509;10774;13;36692;1,27793257174700
Islas Baleares;2023-01-01;26547;4016;11366;2020;1980;2882;835;20059;0;43158;1,62572042038648
Canarias;2023-01-01;35138;1091;1817;474;5139;4384;12138;14024;0;39067;1,11181626728897
Cantabria;2023-01-01;17682;6935;3127;1458;2029;5139;104;9043;0;27835;1,57419975115937
Castilla y León;2023-01-01;114750;13139;21571;21539;7863;8489;48569;31105;2054;154329;1,34491503267974
Castilla-La Mancha;2023-01-01;67152;8409;25592;16082;3390;12100;9037;15353;21;89984;1,34000476530855
Cataluña;2023-01-01;188719;285;24217;32712;12821;38554;21695;97708;85;228077;1,20855345778644
Comunidad Valenciana;2023-01-01;135053;1215;33979;4094;7886;13309;20870;91686;273;173312;1,28328878292226
Extremadura;2023-01-01;32536;1194;3461;920;2100;4661;17716;6287;0;36339;1,11688591099090
Galicia;2023-01-01;68745;5537;8939;26495;8323;6680;11127;16214;108;83423;1,21351371008801
Comunidad de Madrid;2023-01-01;162396;4280;62908;46978;15429;23648;24180;41351;88;218862;1,34770560851252
Región de Murcia;2023-01-01;37921;4125;7486;2940;3872;4800;1163;23085;4;47475;1,25194483267846
Comunidad Foral de Navarra;2023-01-01;15293;1703;2756;994;506;2435;2515;9502;31;20442;1,33668998888380
País Vasco;2023-01-01;65174;810;21806;5612;7427;12739;1351;33749;6382;89876;1,37901617209317
La Rioja;2023-01-01;8562;1036;2966;3557;1224;1758;1026;1270;0;12837;1,49929922915207
Ceuta y Melilla;2023-01-01;3193;557;759;1118;60;180;4;1632;0;4310;1,34982774819919
Andalucía;2023-02-01;270247;772;121406;145945;14128;26933;4284;77331;11;390810;1,44612151106210
Aragón;2023-02-01;37626;3432;3302;5252;1671;3941;6963;19143;0;43704;1,16153723489077
Principado de Asturias;2023-02-01;28697;7367;2443;6737;2243;3582;3540;10776;12;36700;1,27887932536502
Islas Baleares;2023-02-01;26794;4095;11354;2074;1998;2896;831;20161;0;43409;1,62010151526461
Canarias;2023-02-01;35766;1107;1829;493;5166;4415;12342;14383;0;39735;1,11097131353800
Cantabria;2023-02-01;17830;6972;3183;1476;2027;5174;153;9066;0;28051;1,57324733595064
Castilla y León;2023-02-01;115546;13089;23607;21687;7854;8482;49361;30909;2075;157064;1,35932009762346
Castilla-La Mancha;2023-02-01;67423;8380;25638;16055;3425;12152;9097;15548;22;90317;1,33955771769278
Cataluña;2023-02-01;187648;202;24086;32521;12823;38246;21543;97348;84;226853;1,20892841916780
