ccaa;periodo;ppd;censo_total;ppd_rel;ppd_pct;tipo;fuente
Andalucía;2023;1053135,7500000000;8500187,000000000;0,1238955978262596;12,39;observado;xls_22solcasaadpot
Andalucía;2024;1014321,0000000000;8582844,166666666;0,1181800555041341;11,82;observado;xls_22solcasaadpot
Andalucía;2025;1056095,3333333333;8631862,000000000;0,1223484959946456;12,23;observado;xls_22solcasaadpot
Andalucía;2026;1084345,6666666667;8676713,000000000;0,1249719411794152;12,50;observado;xls_22solcasaadpot
Aragón;2023;194033,8333333333;1326315,000000000;0,1462954376097182;14,63;observado;xls_22solcasaadpot
Aragón;2024;186533,0000000000;1341158,833333333;0,1390834518357446;13,91;observado;xls_22solcasaadpot
Aragón;2025;185915,1666666667;1351591,000000000;0,1375528297145117;13,76;observado;xls_22solcasaadpot
Aragón;2026;189421,0000000000;1364621,000000000;0,1388085043393001;13,88;observado;xls_22solcasaadpot
Principado de Asturias;2023;193155,7500000000;1004686,000000000;0,1922548438019441;19,23;observado;xls_22solcasaadpot
Principado de Asturias;2024;183865,0000000000;1005995,250000000;0,1827692526381213;18,28;observado;xls_22solcasaadpot
Principado de Asturias;2025;187484,9166666667;1009599,000000000;0,1857023597157551;18,57;observado;xls_22solcasaadpot
Principado de Asturias;2026;190600,6666666667;1015128,000000000;0,1877602299086092;18,78;observado;xls_22solcasaadpot
Canarias;2023;246721,9166666667;2177701,000000000;0,1132946702355680;11,33;observado;xls_22solcasaadpot
Canarias;2024;253565,0000000000;2212102,000000000;0,1146262694939022;11,46;observado;xls_22solcasaadpot
Canarias;2025;261318,1666666667;2238754,000000000;0,1167248240166926;11,67;observado;xls_22solcasaadpot
Canarias;2026;267797,0000000000;2258866,000000000;0,1185537344844714;11,86;observado;xls_22solcasaadpot
Cantabria;2023;99678,2500000000;585402,000000000;0,1702731627155356;17,03;observado;xls_22solcasaadpot
Cantabria;2024;99920,0000000000;588389,666666667;0,1698194337199441;16,98;observado;xls_22solcasaadpot
Cantabria;2025;102125,5000000000;590851,000000000;0,1728447612003703;17,28;observado;xls_22solcasaadpot
Cantabria;2026;103650,0000000000;593623,000000000;0,1746057683074948;17,46;observado;xls_22solcasaadpot
Castilla-La Mancha;2023;289491,0833333333;2053328,000000000;0,1409862834059309;14,10;observado;xls_22solcasaadpot
Castilla-La Mancha;2024;282068,0000000000;2108757,916666667;0,1337602565807400;13,38;observado;xls_22solcasaadpot
Castilla-La Mancha;2025;286059,1666666667;2104433,000000000;0,1359317054364129;13,59;observado;xls_22solcasaadpot
Castilla-La Mancha;2026;296076,6666666667;2126378,000000000;0,1392399030965645;13,92;observado;xls_22solcasaadpot
Castilla y León;2023;420494,1666666667;2372640,000000000;0,1772262823971048;17,72;observado;xls_22solcasaadpot
Castilla y León;2024;409663,0000000000;2358272,250000000;0,1737131919353247;17,37;observado;xls_22solcasaadpot
Castilla y León;2025;417070,5833333333;2391682,000000000;0,1743837948913498;17,44;observado;xls_22solcasaadpot
Castilla y León;2026;425022,0000000000;2401221,000000000;0,1770024500035607;17,70;observado;xls_22solcasaadpot
Cataluña;2023;1068206,1666666667;7792611,000000000;0,1370793648838197;13,71;observado;xls_22solcasaadpot
Cataluña;2024;1040507,0000000000;7902559,833333333;0,1316670828117109;13,17;observado;xls_22solcasaadpot
Cataluña;2025;1083932,2500000000;8012231,000000000;0,1352846978575630;13,53;observado;xls_22solcasaadpot
Cataluña;2026;1118046,6666666667;8124126,000000000;0,1376205473261575;13,76;observado;xls_22solcasaadpot
Ceuta y Melilla;2023;22154,0000000000;168287,000000000;0,1316441555200342;13,16;observado;xls_22solcasaadpot
Ceuta y Melilla;2024;20183,0000000000;366292,000000000;0,0551008485033798;5,51;observado;xls_22solcasaadpot
Ceuta y Melilla;2025;21319,6666666667;169164,000000000;0,1260295728799666;12,60;observado;xls_22solcasaadpot
Ceuta y Melilla;2026;21858,3333333333;170634,000000000;0,1281006911479150;12,81;observado;xls_22solcasaadpot
Comunidad Valenciana;2023;655727,7500000000;5097967,000000000;0,1286253422197515;12,86;observado;xls_22solcasaadpot
Comunidad Valenciana;2024;644872,0000000000;4788432,000000000;0,1346728950103082;13,47;observado;xls_22solcasaadpot
Comunidad Valenciana;2025;654976,4166666666;5319285,000000000;0,1231324166061165;12,31;observado;xls_22solcasaadpot
Comunidad Valenciana;2026;679910,3333333334;5425182,000000000;0,1253248892540994;12,53;observado;xls_22solcasaadpot
Extremadura;2023;159019,6666666667;1054776,000000000;0,1507615518998031;15,08;observado;xls_22solcasaadpot
Extremadura;2024;150537,0000000000;1400663,833333333;0,1074754672873565;10,75;observado;xls_22solcasaadpot
Extremadura;2025;151327,1666666667;1054681,000000000;0,1434814571104122;14,35;observado;xls_22solcasaadpot
Extremadura;2026;155243,6666666667;1053345,000000000;0,1473815954570123;14,74;observado;xls_22solcasaadpot
Galicia;2023;485078,9166666667;2690464,000000000;0,1802956354988086;18,03;observado;xls_22solcasaadpot
Galicia;2024;469573,0000000000;2562182,250000000;0,1832707255699707;18,33;observado;xls_22solcasaadpot
Galicia;2025;481356,7500000000;2705833,000000000;0,1778959566240784;17,79;observado;xls_22solcasaadpot
Galicia;2026;489070,0000000000;2714741,000000000;0,1801534658370725;18,02;observado;xls_22solcasaadpot
Islas Baleares;2023;122198,7500000000;1176659,000000000;0,1038523055532656;10,39;observado;xls_22solcasaadpot
Islas Baleares;2024;122472,0000000000;1208852,250000000;0,1013126293970169;10,13;observado;xls_22solcasaadpot
Islas Baleares;2025;123143,9166666667;1231768,000000000;0,0999733039555068;10,00;observado;xls_22solcasaadpot
Islas Baleares;2026;126287,0000000000;1249844,000000000;0,1010422100678165;10,10;observado;xls_22solcasaadpot
La Rioja;2023;44968,9166666667;319892,000000000;0,1405753087500365;14,06;observado;xls_22solcasaadpot
La Rioja;2024;42149,0000000000;351404,000000000;0,1199445652297640;11,99;observado;xls_22solcasaadpot
La Rioja;2025;43671,5833333333;324184,000000000;0,1347123341476857;13,47;observado;xls_22solcasaadpot
La Rioja;2026;44732,0000000000;326803,000000000;0,1368775684433741;13,69;observado;xls_22solcasaadpot
Comunidad de Madrid;2023;802663,4166666666;6750336,000000000;0,1189071798302583;11,89;observado;xls_22solcasaadpot
Comunidad de Madrid;2024;802837,0000000000;6524431,750000000;0,1230508695259170;12,31;observado;xls_22solcasaadpot
Comunidad de Madrid;2025;832265,6666666666;7009268,000000000;0,1187378862766649;11,87;observado;xls_22solcasaadpot
Comunidad de Madrid;2026;865679,6666666666;7113886,000000000;0,1216887179056098;12,17;observado;xls_22solcasaadpot
Región de Murcia;2023;200825,5833333333;1531878,000000000;0,1310976352773089;13,11;observado;xls_22solcasaadpot
Región de Murcia;2024;194149,0000000000;1994043,833333333;0,0973644594740186;9,74;observado;xls_22solcasaadpot
Región de Murcia;2025;198973,4166666667;1568492,000000000;0,1268565071843954;12,69;observado;xls_22solcasaadpot
Región de Murcia;2026;202915,3333333333;1586989,000000000;0,1278618398321182;12,79;observado;xls_22solcasaadpot
Comunidad Foral de Navarra;2023;82618,2500000000;664117,000000000;0,1244031548657842;12,44;observado;xls_22solcasaadpot
Comunidad Foral de Navarra;2024;81351,0000000000;623266,333333333;0,1305236552164163;13,05;observado;xls_22solcasaadpot
Comunidad Foral de Navarra;2025;84121,1666666667;678333,000000000;0,1240116088509134;12,40;observado;xls_22solcasaadpot
Comunidad Foral de Navarra;2026;85681,0000000000;683854,000000000;0,1252913633611853;12,53;observado;xls_22solcasaadpot
País Vasco;2023;336349,0000000000;2208174,000000000;0,1523199711616929;15,23;observado;xls_22solcasaadpot
País Vasco;2024;328385,0000000000;2160981,583333333;0,1519610359165871;15,20;observado;xls_22solcasaadpot
País Vasco;2025;336381,0833333333;2227684,000000000;0,1510003588180969;15,10;observado;xls_22solcasaadpot
País Vasco;2026;343602,6666666667;2242343,000000000;0,1532337678342103;15,32;observado;xls_22solcasaadpot
