ccaa;fecha;solicitudes;resoluciones_grado;grado3;grado2;grado1;ratio_g3;ratio_g2;ratio_g1;total_der_prest
Andalucía;2023-01-01;421864;374904;82857;137814;86252;26,9960218035142;44,9018157648661;28,1021624316197;306923
Aragón;2023-01-01;51138;47020;12044;14460;12713;30,7111711757656;36,8717647958793;32,4170640283550;39217
Principado de Asturias;2023-01-01;44192;40217;7719;10684;13365;24,2980357592546;33,6313271216318;42,0706371191136;31768
Islas Baleares;2023-01-01;39808;36155;7655;9963;11979;25,8641078487685;33,6621954927864;40,4736966584451;29597
Canarias;2023-01-01;57982;47595;14103;14422;13300;33,7190675433353;34,4817692767484;31,7991631799163;41825
Cantabria;2023-01-01;23160;22403;6050;7874;4498;32,8411681684942;42,7423732493757;24,4164585821301;18422
Castilla y León;2023-01-01;147653;139708;33419;38033;43505;29,0708699774698;33,0845446558278;37,8445853667023;114957
Castilla-La Mancha;2023-01-01;90834;87070;21426;23184;25706;30,4710165538427;32,9711587689857;36,5578246771716;70316
Cataluña;2023-01-01;355497;330861;50365;94914;112579;19,5320680374470;36,8086311070434;43,6593008555096;257858
Comunidad Valenciana;2023-01-01;186647;170093;42650;54704;47912;29,3599328129087;37,6578139413214;32,9822532457698;145266
Extremadura;2023-01-01;56797;53736;12476;12796;13541;32,1438693221343;32,9683353515575;34,8877953263082;38813
Galicia;2023-01-01;80387;79725;24171;24776;23185;33,5093994343703;34,3481395219875;32,1424610436422;72132
Comunidad de Madrid;2023-01-01;225189;224954;58022;64221;51231;33,4470871715646;37,0205333364078;29,5323794920276;173474
Región de Murcia;2023-01-01;55614;50107;14160;17391;12722;31,9833758724279;39,2812775280645;28,7353465995076;44273
Comunidad Foral de Navarra;2023-01-01;21331;21269;3576;5963;6510;22,2817621035579;37,1549629260390;40,5632749704031;16049
País Vasco;2023-01-01;109294;108729;19116;25533;34520;24,1458146496735;32,2512599628643;43,6029253874623;79169
La Rioja;2023-01-01;14306;14222;2605;4179;3609;25,0649475608583;40,2097565669200;34,7252958722217;10393
Ceuta y Melilla;2023-01-01;4979;4720;1168;1271;1018;33,7865201041365;36,7659820653746;29,4474978304889;3457
Andalucía;2023-02-01;424055;375850;83320;138312;86506;27,0398328021860;44,8863820755635;28,0737851222504;308138
Aragón;2023-02-01;51265;47165;12150;14513;12718;30,8524415327188;36,8527970341027;32,2947614331784;39381
Principado de Asturias;2023-02-01;44688;40338;7704;10744;13437;24,1618315822487;33,6960953426376;42,1420730751137;31885
Islas Baleares;2023-02-01;40305;36595;7765;10081;12115;25,9170254664397;33,6470745302226;40,4359000033377;29961
Canarias;2023-02-01;57844;48083;14203;14570;13477;33,6165680473373;34,4852071005917;31,8982248520710;42250
Cantabria;2023-02-01;23452;22681;6094;7992;4588;32,6336082253400;42,7974724215487;24,5689193531113;18674
Castilla y León;2023-02-01;148272;140473;33416;38211;44092;28,8768482271710;33,0205065719545;38,1026452008745;115719
Castilla-La Mancha;2023-02-01;91964;87657;21778;23253;26019;30,6516537649543;32,7276565798733;36,6206896551724;71050
Cataluña;2023-02-01;359267;330477;50019;94776;112725;19,4233457595527;36,8033550792171;43,7732991612302;257520
Comunidad Valenciana;2023-02-01;187770;172035;43158;55309;48514;29,3629788884278;37,6300338138943;33,0069872976779;146981
Extremadura;2023-02-01;56885;53945;12517;12869;13615;32,0940488705418;32,9965898310300;34,9093612984282;39001
Galicia;2023-02-01;80413;79668;24539;24934;22742;33,9804749705740;34,5274527452745;31,4920722841515;72215
Comunidad de Madrid;2023-02-01;225177;225048;57721;64157;51089;33,3711054709858;37,0920464597293;29,5368480692849;172967
Región de Murcia;2023-02-01;56203;50718;14290;17555;12955;31,8973214285714;39,1852678571429;28,9174107142857;44800
Comunidad Foral de Navarra;2023-02-01;21382;21317;3540;5959;6575;22,0231429637925;37,0722906557173;40,9045663804902;16074
País Vasco;2023-02-01;109999;109443;19259;25631;34742;24,1850010046213;32,1868093228853;43,6281896724935;79632
La Rioja;2023-02-01;14280;14196;2616;4196;3575;25,1853278136132;40,3966496582266;34,4180225281602;10387
Ceuta y Melilla;2023-02-01;4984;4774;1177;1303;1030;33,5327635327635;37,1225071225071;29,3447293447293;3510
Andalucía;2023-03-01;425532;376861;83590;138821;86661;27,0454780763058;44,9154242377181;28,0390976859761;309072
Aragón;2023-03-01;51519;47372;12284;14515;12803;31,0186354224534;36,6521892833695;32,3291752941771;39602
Principado de Asturias;2023-03-01;44700;40298;7730;10744;13372;24,2730641210827;33,7373610500534;41,9895748288639;31846
Islas Baleares;2023-03-01;40775;37095;7838;10239;12318;25,7871360421122;33,6864615890771;40,5264023688107;30395
Canarias;2023-03-01;57505;48647;14417;14738;13635;33,6924515073615;34,4426267819584;31,8649217106801;42790
Cantabria;2023-03-01;23427;22659;6023;7983;4634;32,3122317596567;42,8272532188841;24,8605150214592;18640
Castilla y León;2023-03-01;148924;141040;33277;38411;44698;28,5919268640558;33,0031103397316;38,4049627962126;116386
Castilla-La Mancha;2023-03-01;92632;88248;21973;23459;26175;30,6855475023392;32,7607636124960;36,5536888851649;71607
Cataluña;2023-03-01;361875;334791;50827;96463;114079;19,4464530988755;36,9068252164564;43,6467216846680;261369
Comunidad Valenciana;2023-03-01;189190;173624;43625;55751;49061;29,3895726806659;37,5586949345514;33,0517323847828;148437
Extremadura;2023-03-01;56862;53928;12507;12869;13606;32,0840387871325;33,0126725155200;34,9032886973475;38982
Galicia;2023-03-01;80507;79861;25078;24923;22444;34,6166057008765;34,4026502864242;30,9807440126993;72445
Comunidad de Madrid;2023-03-01;229086;228981;58913;65662;52310;33,3058201656443;37,1212934957741;29,5728863385816;176885
Región de Murcia;2023-03-01;57106;51182;14423;17710;13053;31,9191785066171;39,1935555260479;28,8872659673350;45186
Comunidad Foral de Navarra;2023-03-01;21369;21305;3487;5950;6647;21,6799303655807;36,9932852524248;41,3267843819945;16084
País Vasco;2023-03-01;109480;108954;18997;25566;34676;23,9743055818473;32,2644152500663;43,7612791680864;79239
La Rioja;2023-03-01;14405;14357;2622;4247;3685;24,8436611711200;40,2406670456699;34,9156717832102;10554
Ceuta y Melilla;2023-03-01;5007;4797;1197;1314;1024;33,8613861386139;37,1711456859972;28,9674681753890;3535
Andalucía;2023-04-01;427328;378149;83829;139226;87255;27,0145983049209;44,8667461570687;28,1186555380104;310310
Aragón;2023-04-01;51720;47594;12348;14592;12892;31,0002008435429;36,6338622213296;32,3659369351275;39832
