ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Andalucía;2023-01-01;46960;32642
Aragón;2023-01-01;4118;431
Principado de Asturias;2023-01-01;3975;531
Islas Baleares;2023-01-01;3653;881
Canarias;2023-01-01;10387;9083
Cantabria;2023-01-01;757;584
Castilla y León;2023-01-01;7945;2996
Castilla-La Mancha;2023-01-01;3764;866
Cataluña;2023-01-01;24636;5397
Comunidad Valenciana;2023-01-01;16554;7376
Extremadura;2023-01-01;3061;788
Galicia;2023-01-01;662;659
Comunidad de Madrid;2023-01-01;235;129
Región de Murcia;2023-01-01;5507;3082
Comunidad Foral de Navarra;2023-01-01;62;55
País Vasco;2023-01-01;565;468
La Rioja;2023-01-01;84;10
Ceuta y Melilla;2023-01-01;259;50
Castilla y León;2023-01-01;NA;NA
Andalucía;2023-02-01;48205;32416
Aragón;2023-02-01;4100;235
Principado de Asturias;2023-02-01;4350;656
Islas Baleares;2023-02-01;3710;848
Canarias;2023-02-01;9761;8999
Cantabria;2023-02-01;771;591
Castilla y León;2023-02-01;7799;2877
Castilla-La Mancha;2023-02-01;4307;903
Cataluña;2023-02-01;28790;5158
Comunidad Valenciana;2023-02-01;15735;6545
Extremadura;2023-02-01;2940;651
Galicia;2023-02-01;745;734
Comunidad de Madrid;2023-02-01;129;90
Región de Murcia;2023-02-01;5485;2387
Comunidad Foral de Navarra;2023-02-01;65;61
País Vasco;2023-02-01;556;457
La Rioja;2023-02-01;84;9
Ceuta y Melilla;2023-02-01;210;41
Castilla y León;2023-02-01;NA;NA
Andalucía;2023-03-01;48671;32363
Aragón;2023-03-01;4147;235
Principado de Asturias;2023-03-01;4402;848
Islas Baleares;2023-03-01;3680;876
Canarias;2023-03-01;8858;8246
Cantabria;2023-03-01;768;605
Castilla y León;2023-03-01;7884;2766
Castilla-La Mancha;2023-03-01;4384;809
Cataluña;2023-03-01;27084;3730
Comunidad Valenciana;2023-03-01;15566;6438
Extremadura;2023-03-01;2934;589
Galicia;2023-03-01;646;639
Comunidad de Madrid;2023-03-01;105;67
Región de Murcia;2023-03-01;5924;1935
Comunidad Foral de Navarra;2023-03-01;64;61
País Vasco;2023-03-01;526;454
La Rioja;2023-03-01;48;8
Ceuta y Melilla;2023-03-01;210;37
Castilla y León;2023-03-01;NA;NA
Andalucía;2023-04-01;49179;33251
Aragón;2023-04-01;4126;287
Principado de Asturias;2023-04-01;3936;917
Islas Baleares;2023-04-01;3324;880
Canarias;2023-04-01;8580;7769
Cantabria;2023-04-01;780;631
Castilla y León;2023-04-01;8043;3005
Castilla-La Mancha;2023-04-01;4443;835
Cataluña;2023-04-01;28229;3880
Comunidad Valenciana;2023-04-01;16792;6245
Extremadura;2023-04-01;2741;554
Galicia;2023-04-01;509;504
Comunidad de Madrid;2023-04-01;102;60
Región de Murcia;2023-04-01;6572;2269
