ccaa;fecha;pendientes_pia_total
Andalucía;2023-01-01;37190
Aragón;2023-01-01;1994
Principado de Asturias;2023-01-01;3056
Islas Baleares;2023-01-01;3050
Canarias;2023-01-01;6687
Cantabria;2023-01-01;740
Castilla y León;2023-01-01;207
Castilla-La Mancha;2023-01-01;3164
Cataluña;2023-01-01;69139
Comunidad Valenciana;2023-01-01;10213
Extremadura;2023-01-01;6277
Galicia;2023-01-01;3387
Comunidad de Madrid;2023-01-01;11078
Región de Murcia;2023-01-01;6352
Comunidad Foral de Navarra;2023-01-01;756
País Vasco;2023-01-01;13995
La Rioja;2023-01-01;1831
Ceuta y Melilla;2023-01-01;264
Andalucía;2023-02-01;37891
Aragón;2023-02-01;1755
Principado de Asturias;2023-02-01;3188
Islas Baleares;2023-02-01;3167
Canarias;2023-02-01;6484
Cantabria;2023-02-01;844
Castilla y León;2023-02-01;173
Castilla-La Mancha;2023-02-01;3627
Cataluña;2023-02-01;69872
Comunidad Valenciana;2023-02-01;9989
Extremadura;2023-02-01;6364
Galicia;2023-02-01;3145
Comunidad de Madrid;2023-02-01;10212
Región de Murcia;2023-02-01;6928
Comunidad Foral de Navarra;2023-02-01;747
País Vasco;2023-02-01;14282
La Rioja;2023-02-01;1750
Ceuta y Melilla;2023-02-01;327
Andalucía;2023-03-01;39152
Aragón;2023-03-01;1684
Principado de Asturias;2023-03-01;2976
Islas Baleares;2023-03-01;3627
Canarias;2023-03-01;6162
Cantabria;2023-03-01;822
Castilla y León;2023-03-01;159
Castilla-La Mancha;2023-03-01;4032
Cataluña;2023-03-01;69980
Comunidad Valenciana;2023-03-01;9475
Extremadura;2023-03-01;6205
Galicia;2023-03-01;2255
Comunidad de Madrid;2023-03-01;12228
Región de Murcia;2023-03-01;7082
Comunidad Foral de Navarra;2023-03-01;738
País Vasco;2023-03-01;13971
La Rioja;2023-03-01;1888
Ceuta y Melilla;2023-03-01;320
Andalucía;2023-04-01;38997
Aragón;2023-04-01;1624
Principado de Asturias;2023-04-01;2887
Islas Baleares;2023-04-01;3973
Canarias;2023-04-01;5938
Cantabria;2023-04-01;838
Castilla y León;2023-04-01;169
Castilla-La Mancha;2023-04-01;4043
Cataluña;2023-04-01;69443
Comunidad Valenciana;2023-04-01;8736
Extremadura;2023-04-01;6150
Galicia;2023-04-01;2131
Comunidad de Madrid;2023-04-01;11272
Región de Murcia;2023-04-01;6948
Comunidad Foral de Navarra;2023-04-01;723
País Vasco;2023-04-01;14103
La Rioja;2023-04-01;1714
Ceuta y Melilla;2023-04-01;334
Andalucía;2023-05-01;40990
Aragón;2023-05-01;1949
Principado de Asturias;2023-05-01;2742
Islas Baleares;2023-05-01;4086
Canarias;2023-05-01;5732
Cantabria;2023-05-01;862
Castilla y León;2023-05-01;145
Castilla-La Mancha;2023-05-01;4362
Cataluña;2023-05-01;68977
Comunidad Valenciana;2023-05-01;9717
Extremadura;2023-05-01;5955
Galicia;2023-05-01;2245
Comunidad de Madrid;2023-05-01;10724
Región de Murcia;2023-05-01;7002
Comunidad Foral de Navarra;2023-05-01;718
País Vasco;2023-05-01;14047
La Rioja;2023-05-01;1509
Ceuta y Melilla;2023-05-01;405
Andalucía;2023-06-01;42588
Aragón;2023-06-01;1555
Principado de Asturias;2023-06-01;3347
Islas Baleares;2023-06-01;3640
Canarias;2023-06-01;5698
Cantabria;2023-06-01;964
Castilla y León;2023-06-01;158
Castilla-La Mancha;2023-06-01;4359
Cataluña;2023-06-01;69198
Comunidad Valenciana;2023-06-01;11225
Extremadura;2023-06-01;5557
Galicia;2023-06-01;2131
Comunidad de Madrid;2023-06-01;10284
Región de Murcia;2023-06-01;6250
Comunidad Foral de Navarra;2023-06-01;710
País Vasco;2023-06-01;14138
La Rioja;2023-06-01;1567
Ceuta y Melilla;2023-06-01;393
Andalucía;2023-07-01;42242
Aragón;2023-07-01;854
Principado de Asturias;2023-07-01;3395
