ccaa;fecha;hombre;mujer
Andalucía;2023-01-01;13567;64978
Aragón;2023-01-01;5789;13462
Principado de Asturias;2023-01-01;2758;8069
Islas Baleares;2023-01-01;6012;14272
Canarias;2023-01-01;2968;11069
Cantabria;2023-01-01;2451;6622
Castilla y León;2023-01-01;7399;23279
Castilla-La Mancha;2023-01-01;3601;12889
Cataluña;2023-01-01;38182;71881
Comunidad Valenciana;2023-01-01;23997;71579
Extremadura;2023-01-01;1142;5278
Galicia;2023-01-01;2298;13583
Comunidad de Madrid;2023-01-01;10693;32815
Región de Murcia;2023-01-01;6667;17300
Comunidad Foral de Navarra;2023-01-01;2744;6881
País Vasco;2023-01-01;11632;23121
La Rioja;2023-01-01;361;903
Andalucía;2023-02-01;13614;64987
Aragón;2023-02-01;5878;13691
Principado de Asturias;2023-02-01;2773;8107
Islas Baleares;2023-02-01;6305;14821
Canarias;2023-02-01;3162;11587
Cantabria;2023-02-01;2515;6734
Castilla y León;2023-02-01;7468;23480
Castilla-La Mancha;2023-02-01;3723;13146
Cataluña;2023-02-01;38727;72651
Comunidad Valenciana;2023-02-01;25176;73942
Extremadura;2023-02-01;1151;5311
Galicia;2023-02-01;2388;14028
Comunidad de Madrid;2023-02-01;10848;33240
Región de Murcia;2023-02-01;6627;17229
Comunidad Foral de Navarra;2023-02-01;2792;7020
País Vasco;2023-02-01;11785;23477
La Rioja;2023-02-01;359;900
Andalucía;2023-03-01;13637;65054
Aragón;2023-03-01;5958;13866
Principado de Asturias;2023-03-01;2780;8153
Islas Baleares;2023-03-01;6235;14742
Canarias;2023-03-01;3246;11824
Cantabria;2023-03-01;2523;6693
Castilla y León;2023-03-01;7468;23430
Castilla-La Mancha;2023-03-01;3742;13219
Cataluña;2023-03-01;39637;74032
Comunidad Valenciana;2023-03-01;25767;75478
Extremadura;2023-03-01;1144;5272
Galicia;2023-03-01;2432;14058
Comunidad de Madrid;2023-03-01;10972;33456
Región de Murcia;2023-03-01;6642;17121
Comunidad Foral de Navarra;2023-03-01;2799;7034
País Vasco;2023-03-01;11780;23450
La Rioja;2023-03-01;356;903
Andalucía;2023-04-01;13664;65266
Aragón;2023-04-01;6002;13997
Principado de Asturias;2023-04-01;2799;8204
Islas Baleares;2023-04-01;6326;14974
Canarias;2023-04-01;3304;12034
Cantabria;2023-04-01;2524;6699
Castilla y León;2023-04-01;7477;23532
Castilla-La Mancha;2023-04-01;3797;13437
Cataluña;2023-04-01;40004;74494
Comunidad Valenciana;2023-04-01;26225;76500
Extremadura;2023-04-01;1152;5279
Galicia;2023-04-01;2457;14203
Comunidad de Madrid;2023-04-01;11069;33803
Región de Murcia;2023-04-01;6686;17180
Comunidad Foral de Navarra;2023-04-01;2802;7018
País Vasco;2023-04-01;11811;23534
La Rioja;2023-04-01;356;901
Andalucía;2023-05-01;13712;65446
Aragón;2023-05-01;6044;14112
Principado de Asturias;2023-05-01;2826;8294
Islas Baleares;2023-05-01;6379;15165
Canarias;2023-05-01;3376;12210
Cantabria;2023-05-01;2522;6685
Castilla y León;2023-05-01;7549;23841
Castilla-La Mancha;2023-05-01;3875;13629
Cataluña;2023-05-01;40518;75351
Comunidad Valenciana;2023-05-01;26554;76944
Extremadura;2023-05-01;1163;5304
Galicia;2023-05-01;2550;14552
Comunidad de Madrid;2023-05-01;11156;34138
Región de Murcia;2023-05-01;6714;17191
Comunidad Foral de Navarra;2023-05-01;2791;7033
País Vasco;2023-05-01;11853;23630
La Rioja;2023-05-01;359;897
Andalucía;2023-06-01;13817;65528
Aragón;2023-06-01;6067;14102
Principado de Asturias;2023-06-01;2832;8267
Islas Baleares;2023-06-01;6494;15481
Canarias;2023-06-01;3451;12389
Cantabria;2023-06-01;2536;6703
Castilla y León;2023-06-01;7632;24032
Castilla-La Mancha;2023-06-01;3964;13801
Cataluña;2023-06-01;41094;76433
Comunidad Valenciana;2023-06-01;26726;77222
Extremadura;2023-06-01;1171;5304
Galicia;2023-06-01;2583;14715
Comunidad de Madrid;2023-06-01;11251;34391
Región de Murcia;2023-06-01;6810;17402
Comunidad Foral de Navarra;2023-06-01;2805;7070
País Vasco;2023-06-01;11823;23646
La Rioja;2023-06-01;368;892
Andalucía;2023-07-01;13978;65937
Aragón;2023-07-01;6099;14177
Principado de Asturias;2023-07-01;2854;8229
Islas Baleares;2023-07-01;6442;15373
Canarias;2023-07-01;3491;12505
Cantabria;2023-07-01;2534;6692
Castilla y León;2023-07-01;7706;24203
Castilla-La Mancha;2023-07-01;3981;13842
Cataluña;2023-07-01;41304;76751
Comunidad Valenciana;2023-07-01;26105;75482
Extremadura;2023-07-01;1184;5317
Galicia;2023-07-01;2610;14807
Comunidad de Madrid;2023-07-01;11288;34439
Región de Murcia;2023-07-01;6906;17530
Comunidad Foral de Navarra;2023-07-01;2792;7096
País Vasco;2023-07-01;12036;23910
La Rioja;2023-07-01;375;890
Andalucía;2023-08-01;13891;65576
Aragón;2023-08-01;6096;14193
Principado de Asturias;2023-08-01;2844;8190
Islas Baleares;2023-08-01;6662;15918
Canarias;2023-08-01;3540;12646
Cantabria;2023-08-01;2537;6707
Castilla y León;2023-08-01;7784;24420
Castilla-La Mancha;2023-08-01;4016;13920
Cataluña;2023-08-01;41605;77164
Comunidad Valenciana;2023-08-01;25900;74904
Extremadura;2023-08-01;1165;5274
Galicia;2023-08-01;2623;14869
Comunidad de Madrid;2023-08-01;11320;34535
Región de Murcia;2023-08-01;6896;17467
Comunidad Foral de Navarra;2023-08-01;2796;7074
País Vasco;2023-08-01;12013;23879
La Rioja;2023-08-01;363;876
Andalucía;2023-09-01;14078;66034
Aragón;2023-09-01;6102;14201
Principado de Asturias;2023-09-01;2817;8088
Islas Baleares;2023-09-01;6604;15824
Canarias;2023-09-01;3533;12604
Cantabria;2023-09-01;2542;6679
Castilla y León;2023-09-01;7818;24485
Castilla-La Mancha;2023-09-01;4011;13953
Cataluña;2023-09-01;41662;77153
Comunidad Valenciana;2023-09-01;26199;75466
Extremadura;2023-09-01;1167;5264
Galicia;2023-09-01;2636;14864
Comunidad de Madrid;2023-09-01;11556;35095
Región de Murcia;2023-09-01;7001;17724
Comunidad Foral de Navarra;2023-09-01;2793;7131
País Vasco;2023-09-01;12031;23930
La Rioja;2023-09-01;358;859
Andalucía;2023-10-01;14426;67062
Aragón;2023-10-01;6180;14289
Principado de Asturias;2023-10-01;2891;8266
Islas Baleares;2023-10-01;6736;16142
Canarias;2023-10-01;3682;12993
Cantabria;2023-10-01;2540;6649
Castilla y León;2023-10-01;7901;24680
Castilla-La Mancha;2023-10-01;4061;14131
Cataluña;2023-10-01;42291;78173
Comunidad Valenciana;2023-10-01;27161;77581
Extremadura;2023-10-01;1175;5321
Galicia;2023-10-01;2658;14953
Comunidad de Madrid;2023-10-01;11716;35482
Región de Murcia;2023-10-01;7052;17723
Comunidad Foral de Navarra;2023-10-01;2800;7203
País Vasco;2023-10-01;12071;23984
La Rioja;2023-10-01;353;876
Andalucía;2023-11-01;14686;67762
Aragón;2023-11-01;6218;14360
Principado de Asturias;2023-11-01;2947;8422
Islas Baleares;2023-11-01;6752;16187
Canarias;2023-11-01;3701;13112
Cantabria;2023-11-01;2541;6671
Castilla y León;2023-11-01;7970;24825
Castilla-La Mancha;2023-11-01;4131;14329
Cataluña;2023-11-01;41683;77068
Comunidad Valenciana;2023-11-01;27102;77333
Extremadura;2023-11-01;1209;5412
Galicia;2023-11-01;2693;15039
Comunidad de Madrid;2023-11-01;11876;35780
Región de Murcia;2023-11-01;7160;17907
Comunidad Foral de Navarra;2023-11-01;2831;7255
País Vasco;2023-11-01;12083;23980
La Rioja;2023-11-01;358;882
Andalucía;2023-12-01;15001;68617
Aragón;2023-12-01;6241;14420
Principado de Asturias;2023-12-01;2966;8535
Islas Baleares;2023-12-01;6793;16350
Canarias;2023-12-01;3784;13314
Cantabria;2023-12-01;2542;6639
Castilla y León;2023-12-01;8005;24873
Castilla-La Mancha;2023-12-01;4215;14617
Cataluña;2023-12-01;41655;76974
Comunidad Valenciana;2023-12-01;26881;76750
Extremadura;2023-12-01;1201;5372
Galicia;2023-12-01;2714;15185
Comunidad de Madrid;2023-12-01;11963;35971
Región de Murcia;2023-12-01;7211;17999
Comunidad Foral de Navarra;2023-12-01;2830;7293
País Vasco;2023-12-01;12095;24183
La Rioja;2023-12-01;357;875
Andalucía;2024-01-01;14963;68446
Aragón;2024-01-01;6233;14435
Principado de Asturias;2024-01-01;2981;8575
Islas Baleares;2024-01-01;6791;16357
Canarias;2024-01-01;3851;13453
Cantabria;2024-01-01;2558;6662
Castilla y León;2024-01-01;8090;25061
Castilla-La Mancha;2024-01-01;4213;14588
Cataluña;2024-01-01;41982;77509
Comunidad Valenciana;2024-01-01;26721;76194
Extremadura;2024-01-01;1191;5317
Galicia;2024-01-01;2700;15147
Comunidad de Madrid;2024-01-01;11883;35706
Región de Murcia;2024-01-01;7238;17996
Comunidad Foral de Navarra;2024-01-01;2854;7330
País Vasco;2024-01-01;12047;24084
La Rioja;2024-01-01;353;864
Andalucía;2024-02-01;15085;68538
Aragón;2024-02-01;6240;14552
Principado de Asturias;2024-02-01;2967;8556
Islas Baleares;2024-02-01;6798;16363
Canarias;2024-02-01;3810;13365
Cantabria;2024-02-01;2562;6655
Castilla y León;2024-02-01;8172;25299
Castilla-La Mancha;2024-02-01;4245;14668
Cataluña;2024-02-01;42315;78250
Comunidad Valenciana;2024-02-01;27149;77102
Extremadura;2024-02-01;1180;5273
Galicia;2024-02-01;2694;15086
Comunidad de Madrid;2024-02-01;12134;36426
Región de Murcia;2024-02-01;7282;18022
Comunidad Foral de Navarra;2024-02-01;2854;7401
País Vasco;2024-02-01;12071;24110
La Rioja;2024-02-01;358;858
Andalucía;2024-03-01;15159;69026
Aragón;2024-03-01;6251;14584
Principado de Asturias;2024-03-01;3007;8632
