ccaa;solicitudes;fecha
Andalucía;421864;2023-01-01
Aragón;51138;2023-01-01
Principado de Asturias;44192;2023-01-01
Islas Baleares;39808;2023-01-01
Canarias;57982;2023-01-01
Cantabria;23160;2023-01-01
Castilla y León;147653;2023-01-01
Castilla-La Mancha;90834;2023-01-01
Cataluña;355497;2023-01-01
Comunidad Valenciana;186647;2023-01-01
Extremadura;56797;2023-01-01
Galicia;80387;2023-01-01
Comunidad de Madrid;225189;2023-01-01
Región de Murcia;55614;2023-01-01
Comunidad Foral de Navarra;21331;2023-01-01
País Vasco;109294;2023-01-01
La Rioja;14306;2023-01-01
Ceuta y Melilla;4979;2023-01-01
Andalucía;424055;2023-02-01
Aragón;51265;2023-02-01
Principado de Asturias;44688;2023-02-01
Islas Baleares;40305;2023-02-01
Canarias;57844;2023-02-01
Cantabria;23452;2023-02-01
Castilla y León;148272;2023-02-01
Castilla-La Mancha;91964;2023-02-01
Cataluña;359267;2023-02-01
Comunidad Valenciana;187770;2023-02-01
Extremadura;56885;2023-02-01
Galicia;80413;2023-02-01
Comunidad de Madrid;225177;2023-02-01
Región de Murcia;56203;2023-02-01
Comunidad Foral de Navarra;21382;2023-02-01
País Vasco;109999;2023-02-01
La Rioja;14280;2023-02-01
Ceuta y Melilla;4984;2023-02-01
Andalucía;425532;2023-03-01
Aragón;51519;2023-03-01
Principado de Asturias;44700;2023-03-01
Islas Baleares;40775;2023-03-01
Canarias;57505;2023-03-01
Cantabria;23427;2023-03-01
Castilla y León;148924;2023-03-01
Castilla-La Mancha;92632;2023-03-01
Cataluña;361875;2023-03-01
Comunidad Valenciana;189190;2023-03-01
Extremadura;56862;2023-03-01
Galicia;80507;2023-03-01
Comunidad de Madrid;229086;2023-03-01
Región de Murcia;57106;2023-03-01
Comunidad Foral de Navarra;21369;2023-03-01
País Vasco;109480;2023-03-01
La Rioja;14405;2023-03-01
Ceuta y Melilla;5007;2023-03-01
Andalucía;427328;2023-04-01
Aragón;51720;2023-04-01
Principado de Asturias;44486;2023-04-01
Islas Baleares;41078;2023-04-01
Canarias;57756;2023-04-01
Cantabria;23571;2023-04-01
Castilla y León;149821;2023-04-01
Castilla-La Mancha;93138;2023-04-01
Cataluña;363501;2023-04-01
Comunidad Valenciana;191925;2023-04-01
Extremadura;57035;2023-04-01
Galicia;80456;2023-04-01
Comunidad de Madrid;229862;2023-04-01
Región de Murcia;57942;2023-04-01
Comunidad Foral de Navarra;21478;2023-04-01
País Vasco;110499;2023-04-01
La Rioja;14350;2023-04-01
Ceuta y Melilla;5062;2023-04-01
Andalucía;430185;2023-05-01
Aragón;52261;2023-05-01
Principado de Asturias;44731;2023-05-01
Islas Baleares;41490;2023-05-01
Canarias;57804;2023-05-01
Cantabria;23549;2023-05-01
Castilla y León;150745;2023-05-01
Castilla-La Mancha;94029;2023-05-01
Cataluña;365101;2023-05-01
Comunidad Valenciana;195490;2023-05-01
Extremadura;57364;2023-05-01
Galicia;82795;2023-05-01
Comunidad de Madrid;231382;2023-05-01
Región de Murcia;59227;2023-05-01
Comunidad Foral de Navarra;21583;2023-05-01
País Vasco;110818;2023-05-01
La Rioja;14526;2023-05-01
Ceuta y Melilla;5098;2023-05-01
Andalucía;433486;2023-06-01
Aragón;52747;2023-06-01
Principado de Asturias;45417;2023-06-01
Islas Baleares;42037;2023-06-01
Canarias;59043;2023-06-01
Cantabria;23546;2023-06-01
Castilla y León;151767;2023-06-01
Castilla-La Mancha;94471;2023-06-01
Cataluña;368289;2023-06-01
Comunidad Valenciana;197799;2023-06-01
Extremadura;57881;2023-06-01
Galicia;83145;2023-06-01
Comunidad de Madrid;233210;2023-06-01
Región de Murcia;60122;2023-06-01
Comunidad Foral de Navarra;21751;2023-06-01
País Vasco;111374;2023-06-01
La Rioja;14552;2023-06-01
Ceuta y Melilla;5123;2023-06-01
Andalucía;431318;2023-07-01
Aragón;52709;2023-07-01
Principado de Asturias;46011;2023-07-01
Islas Baleares;42419;2023-07-01
Canarias;59710;2023-07-01
Cantabria;23599;2023-07-01
Castilla y León;152778;2023-07-01
Castilla-La Mancha;95149;2023-07-01
Cataluña;370884;2023-07-01
Comunidad Valenciana;200158;2023-07-01
Extremadura;57979;2023-07-01
Galicia;83324;2023-07-01
Comunidad de Madrid;234175;2023-07-01
Región de Murcia;60408;2023-07-01
Comunidad Foral de Navarra;21797;2023-07-01
País Vasco;112012;2023-07-01
La Rioja;14594;2023-07-01
Ceuta y Melilla;5135;2023-07-01
Andalucía;428922;2023-08-01
Aragón;52929;2023-08-01
Principado de Asturias;46391;2023-08-01
Islas Baleares;42593;2023-08-01
Canarias;60701;2023-08-01
Cantabria;23726;2023-08-01
Castilla y León;153863;2023-08-01
Castilla-La Mancha;95553;2023-08-01
Cataluña;374101;2023-08-01
Comunidad Valenciana;201091;2023-08-01
Extremadura;58227;2023-08-01
Galicia;83438;2023-08-01
Comunidad de Madrid;234466;2023-08-01
Región de Murcia;60702;2023-08-01
Comunidad Foral de Navarra;21858;2023-08-01
País Vasco;112122;2023-08-01
La Rioja;14580;2023-08-01
Ceuta y Melilla;5162;2023-08-01
Andalucía;426595;2023-09-01
Aragón;53137;2023-09-01
Principado de Asturias;46555;2023-09-01
Islas Baleares;42939;2023-09-01
Canarias;61055;2023-09-01
Cantabria;23714;2023-09-01
Castilla y León;154644;2023-09-01
Castilla-La Mancha;95991;2023-09-01
Cataluña;375746;2023-09-01
Comunidad Valenciana;202495;2023-09-01
Extremadura;58313;2023-09-01
Galicia;83392;2023-09-01
Comunidad de Madrid;237354;2023-09-01
Región de Murcia;61577;2023-09-01
Comunidad Foral de Navarra;21979;2023-09-01
País Vasco;112659;2023-09-01
La Rioja;14579;2023-09-01
Ceuta y Melilla;5170;2023-09-01
Andalucía;425463;2023-10-01
Aragón;53455;2023-10-01
Principado de Asturias;46790;2023-10-01
Islas Baleares;43293;2023-10-01
Canarias;61680;2023-10-01
Cantabria;23695;2023-10-01
Castilla y León;155442;2023-10-01
Castilla-La Mancha;95726;2023-10-01
Cataluña;377760;2023-10-01
Comunidad Valenciana;203398;2023-10-01
Extremadura;58538;2023-10-01
Galicia;83578;2023-10-01
Comunidad de Madrid;238875;2023-10-01
Región de Murcia;62109;2023-10-01
Comunidad Foral de Navarra;22032;2023-10-01
País Vasco;113402;2023-10-01
La Rioja;14651;2023-10-01
Ceuta y Melilla;5184;2023-10-01
Andalucía;422976;2023-11-01
Aragón;53885;2023-11-01
Principado de Asturias;47113;2023-11-01
Islas Baleares;43539;2023-11-01
Canarias;62675;2023-11-01
Cantabria;23808;2023-11-01
Castilla y León;156261;2023-11-01
Castilla-La Mancha;95196;2023-11-01
Cataluña;351972;2023-11-01
Comunidad Valenciana;206145;2023-11-01
Extremadura;58608;2023-11-01
Galicia;83723;2023-11-01
Comunidad de Madrid;237594;2023-11-01
Región de Murcia;62443;2023-11-01
Comunidad Foral de Navarra;22127;2023-11-01
País Vasco;113565;2023-11-01
La Rioja;14582;2023-11-01
Ceuta y Melilla;5197;2023-11-01
Andalucía;420976;2023-12-01
Aragón;54128;2023-12-01
Principado de Asturias;46871;2023-12-01
Islas Baleares;43584;2023-12-01
Canarias;63120;2023-12-01
Cantabria;23876;2023-12-01
Castilla y León;156550;2023-12-01
Castilla-La Mancha;94676;2023-12-01
Cataluña;352939;2023-12-01
Comunidad Valenciana;205653;2023-12-01
Extremadura;58876;2023-12-01
Galicia;83919;2023-12-01
Comunidad de Madrid;237216;2023-12-01
Región de Murcia;62760;2023-12-01
Comunidad Foral de Navarra;22108;2023-12-01
País Vasco;114252;2023-12-01
La Rioja;14631;2023-12-01
Ceuta y Melilla;5237;2023-12-01
Andalucía;417819;2024-01-01
Aragón;54342;2024-01-01
Principado de Asturias;47031;2024-01-01
Islas Baleares;43746;2024-01-01
Canarias;63642;2024-01-01
Cantabria;23735;2024-01-01
Castilla y León;157332;2024-01-01
Castilla-La Mancha;95728;2024-01-01
Cataluña;354657;2024-01-01
Comunidad Valenciana;204614;2024-01-01
Extremadura;58759;2024-01-01
Galicia;83638;2024-01-01
Comunidad de Madrid;242904;2024-01-01
Región de Murcia;63686;2024-01-01
Comunidad Foral de Navarra;22108;2024-01-01
País Vasco;113902;2024-01-01
La Rioja;14653;2024-01-01
Ceuta y Melilla;5305;2024-01-01
Andalucía;414034;2024-02-01
Aragón;54409;2024-02-01
Principado de Asturias;46861;2024-02-01
Islas Baleares;43797;2024-02-01
Canarias;64073;2024-02-01
Cantabria;23718;2024-02-01
Castilla y León;157973;2024-02-01
Castilla-La Mancha;96147;2024-02-01
Cataluña;357537;2024-02-01
Comunidad Valenciana;204692;2024-02-01
Extremadura;58544;2024-02-01
Galicia;83028;2024-02-01
Comunidad de Madrid;245045;2024-02-01
Región de Murcia;64044;2024-02-01
Comunidad Foral de Navarra;22014;2024-02-01
País Vasco;114310;2024-02-01
La Rioja;14771;2024-02-01
Ceuta y Melilla;5355;2024-02-01
Andalucía;416723;2024-03-01
Aragón;54801;2024-03-01
Principado de Asturias;47098;2024-03-01
Islas Baleares;44131;2024-03-01
Canarias;64728;2024-03-01
Cantabria;23904;2024-03-01
Castilla y León;158793;2024-03-01
Castilla-La Mancha;96674;2024-03-01
Cataluña;360948;2024-03-01
Comunidad Valenciana;205341;2024-03-01
Extremadura;58858;2024-03-01
Galicia;83380;2024-03-01
Comunidad de Madrid;247073;2024-03-01
Región de Murcia;64254;2024-03-01
Comunidad Foral de Navarra;21946;2024-03-01
País Vasco;114555;2024-03-01
La Rioja;14489;2024-03-01
Ceuta y Melilla;5373;2024-03-01
Andalucía;413406;2024-04-01
Aragón;55580;2024-04-01
Principado de Asturias;47521;2024-04-01
Islas Baleares;44482;2024-04-01
Canarias;66429;2024-04-01
Cantabria;23979;2024-04-01
Castilla y León;159389;2024-04-01
Castilla-La Mancha;97526;2024-04-01
Cataluña;363527;2024-04-01
Comunidad Valenciana;206158;2024-04-01
Extremadura;59007;2024-04-01
Galicia;83666;2024-04-01
Comunidad de Madrid;249077;2024-04-01
Región de Murcia;64774;2024-04-01
Comunidad Foral de Navarra;21879;2024-04-01
País Vasco;114752;2024-04-01
La Rioja;14621;2024-04-01
Ceuta y Melilla;5405;2024-04-01
Andalucía;409871;2024-05-01
Aragón;56234;2024-05-01
Principado de Asturias;47942;2024-05-01
Islas Baleares;44957;2024-05-01
Canarias;67784;2024-05-01
Cantabria;23669;2024-05-01
Castilla y León;159928;2024-05-01
Castilla-La Mancha;97887;2024-05-01
Cataluña;365710;2024-05-01
Comunidad Valenciana;207616;2024-05-01
Extremadura;58687;2024-05-01
Galicia;83637;2024-05-01
Comunidad de Madrid;249829;2024-05-01
Región de Murcia;65560;2024-05-01
Comunidad Foral de Navarra;21596;2024-05-01
País Vasco;115512;2024-05-01
La Rioja;14777;2024-05-01
Ceuta y Melilla;5438;2024-05-01
Andalucía;407182;2024-06-01
Aragón;56858;2024-06-01
Principado de Asturias;48519;2024-06-01
Islas Baleares;45142;2024-06-01
Canarias;69464;2024-06-01
Cantabria;23700;2024-06-01
Castilla y León;159961;2024-06-01
Castilla-La Mancha;98240;2024-06-01
Cataluña;368778;2024-06-01
Comunidad Valenciana;209122;2024-06-01
Extremadura;58675;2024-06-01
Galicia;84146;2024-06-01
Comunidad de Madrid;252067;2024-06-01
Región de Murcia;65939;2024-06-01
Comunidad Foral de Navarra;21613;2024-06-01
País Vasco;116241;2024-06-01
La Rioja;14873;2024-06-01
Ceuta y Melilla;5474;2024-06-01
Andalucía;411417;2024-07-01
