ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Andalucía;2023-01-01;334,66;187,86;538,08
Aragón;2023-01-01;157,76;62,48;220,11
Principado de Asturias;2023-01-01;141,27;109,42;243,82
Islas Baleares;2023-01-01;132,55;93,47;226,88
Canarias;2023-01-01;541,82;274,26;963,19
Cantabria;2023-01-01;90,73;109,71;194,83
Castilla y León;2023-01-01;120,14;0,02;124,51
Castilla-La Mancha;2023-01-01;117,27;77,87;189,84
Cataluña;2023-01-01;164,95;140,16;294,31
Comunidad Valenciana;2023-01-01;241,94;53,92;300,29
Extremadura;2023-01-01;172,49;169,57;378,02
Galicia;2023-01-01;288,47;73,89;371,77
Comunidad de Madrid;2023-01-01;139,70;51,79;272,15
Región de Murcia;2023-01-01;250,09;210,26;486,36
Comunidad Foral de Navarra;2023-01-01;75,79;106,12;176,95
País Vasco;2023-01-01;87,71;50,55;137,17
La Rioja;2023-01-01;51,85;214,36;261,54
Castilla y León;2023-01-01;NA;NA;NA
Andalucía;2023-02-01;337,09;187,55;533,87
Aragón;2023-02-01;156,91;54,67;214,44
Principado de Asturias;2023-02-01;142,67;113,84;249,28
Islas Baleares;2023-02-01;132,55;91,73;224,62
Canarias;2023-02-01;524,62;267,42;945,61
Cantabria;2023-02-01;93,75;104,50;191,43
Castilla y León;2023-02-01;119,90;0,02;123,30
Castilla-La Mancha;2023-02-01;118,61;76,35;188,57
Cataluña;2023-02-01;166,25;136,29;288,74
Comunidad Valenciana;2023-02-01;236,97;52,87;294,58
Extremadura;2023-02-01;166,13;170,98;373,36
Galicia;2023-02-01;288,59;76,23;371,75
Comunidad de Madrid;2023-02-01;141,19;53,89;275,95
Región de Murcia;2023-02-01;249,41;214,48;486,29
Comunidad Foral de Navarra;2023-02-01;78,18;104,28;175,57
País Vasco;2023-02-01;87,33;49,89;137,95
La Rioja;2023-02-01;52,28;204,49;251,17
Castilla y León;2023-02-01;NA;NA;NA
Andalucía;2023-03-01;340,08;190,36;533,31
Aragón;2023-03-01;155,38;48,57;206,68
Principado de Asturias;2023-03-01;143,67;123,78;259,73
Islas Baleares;2023-03-01;132,11;91,19;223,28
Canarias;2023-03-01;503,24;256,45;915,27
Cantabria;2023-03-01;95,19;102,29;191,37
