tabla,columna,pct_no_na_post,pct_no_na_pre,diferencia_post_menos_pre,flag
benpresaad_all,atencion_residencial,100,100,0,comparable
benpresaad_all,ayuda_domicilio,100,100,0,comparable
benpresaad_all,centros_dia_noche,100,100,0,comparable
benpresaad_all,pe_asist_pers,100,100,0,comparable
benpresaad_all,pe_cuidados_fam,100,100,0,comparable
benpresaad_all,pe_vinc_serv,100,100,0,comparable
benpresaad_all,pers_benef_prest,100,100,0,comparable
benpresaad_all,prev_dep_prom_ap,100,100,0,comparable
benpresaad_all,ratio_prest_x_benef,100,100,0,comparable
benpresaad_all,teleasistencia,100,100,0,comparable
benpresaad_all,total,100,100,0,comparable
dictsaad_all,grado1,100,100,0,comparable
dictsaad_all,grado2,100,100,0,comparable
dictsaad_all,grado3,100,100,0,comparable
dictsaad_all,ratio_g1,100,100,0,comparable
dictsaad_all,ratio_g2,100,100,0,comparable
dictsaad_all,ratio_g3,100,100,0,comparable
dictsaad_all,solicitudes,100,100,0,comparable
dictsaad_all,total_der_prest,100,100,0,comparable
dictsaad_all,resoluciones_grado,100,0,100,solo_post_o_casi_vacia_pre
solsaad_all,solicitudes,100,100,0,comparable
