year,month,fecha,file_idx,sheet_name,ncol,nrow,col_signature,first_row,second_row,tipo_hoja,periodo
2012,1,2012-01-01,1,porsaad,14,23,INFORMACIÓN ESTADÍSTICA DEL | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14,SISTEMA PARA LA AUTONOMÍA Y ATENCIÓN A LA DEPENDENCIA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,indsaad,1,14,ÍNDICE.,NA,"1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES.",otros,pre
2012,1,2012-01-01,1,Infacumsaad,16,25,"1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16",Situación a 1 de Enero de 2012 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,1solsaad,5,28,0 | ...2 | ...3 | ...4 | ...5,0 | NA | NA | NA | NA,0 | NA | NA | NA | NA,solsaad,pre
2012,1,2012-01-01,1,2solcasaad,11,32,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,3perfsaad,23,37,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,perfsaad,pre
2012,1,2012-01-01,1,4dictsaad,22,25,2.4.  DICTÁMENES | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22,Situación a 1 de Enero de 2012 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,dictsaad,pre
2012,1,2012-01-01,1,5dictcasaad,11,31,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,6granivsaad,26,28,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24 | ...25 | ...26,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,7benpresaad,25,30,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24 | ...25,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,benpresaad_v1,pre
2012,1,2012-01-01,1,8perfpbsaad,24,37,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,1,2012-01-01,1,9pbpcasaad,10,32,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,porsaad,14,23,INFORMACIÓN ESTADÍSTICA DEL | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14,SISTEMA PARA LA AUTONOMÍA Y ATENCIÓN A LA DEPENDENCIA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,indsaad,1,14,ÍNDICE.,NA,"1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES.",otros,pre
2012,2,2012-02-01,1,Infacumsaad,17,25,"...1 | 1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17",Situación a 1 de Febrero de 2012 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,1solsaad,5,28,0 | ...2 | ...3 | ...4 | ...5,0 | NA | NA | NA | NA,0 | NA | NA | NA | NA,solsaad,pre
2012,2,2012-02-01,1,2solcasaad,11,32,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,3perfsaad,23,37,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,perfsaad,pre
2012,2,2012-02-01,1,4dictsaad,22,27,2.4.  DICTÁMENES | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22,Situación a 1 de Febrero de 2012 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,dictsaad,pre
2012,2,2012-02-01,1,5dictcasaad,11,31,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,6granivsaad,26,28,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24 | ...25 | ...26,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,7benpresaad,25,30,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24 | ...25,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,benpresaad_v1,pre
2012,2,2012-02-01,1,8perfpbsaad,24,37,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23 | ...24,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,2,2012-02-01,1,9pbpcasaad,10,32,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,3,2012-03-01,1,porsaad,14,23,INFORMACIÓN ESTADÍSTICA DEL | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14,SISTEMA PARA LA AUTONOMÍA Y ATENCIÓN A LA DEPENDENCIA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,3,2012-03-01,1,indsaad,1,14,ÍNDICE.,NA,"1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES.",otros,pre
2012,3,2012-03-01,1,Infacumsaad,17,25,"...1 | 1. INFORMACIÓN HISTÓRICA ACUMULADA INCORPORADA AL SISAAD DESDE 01/01/2007: SOLICITUDES, DICTÁMENES, PERSONAS BENEFICIARIAS CON DERECHO A PRESTACIÓN Y PRESTACIONES | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17",Situación a 1 de Marzo de 2012 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
2012,3,2012-03-01,1,1solsaad,5,28,0 | ...2 | ...3 | ...4 | ...5,0 | NA | NA | NA | NA,0 | NA | NA | NA | NA,solsaad,pre
2012,3,2012-03-01,1,2solcasaad,11,32,0 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,0 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,pre
