df_origen;ccaa;periodo;variable;yhat
benpresaad_all;Andalucía;2023-01;censo_total;8,45736526505419e+06
benpresaad_all;Andalucía;2023-02;censo_total;8,45783262931612e+06
benpresaad_all;Andalucía;2023-03;censo_total;8,45829999357805e+06
benpresaad_all;Andalucía;2023-04;censo_total;8,45876735783998e+06
benpresaad_all;Andalucía;2023-05;censo_total;8,45923472210190e+06
benpresaad_all;Andalucía;2023-06;censo_total;8,45970208636383e+06
benpresaad_all;Andalucía;2023-07;censo_total;8,46016945062576e+06
benpresaad_all;Andalucía;2023-08;censo_total;8,46063681488769e+06
benpresaad_all;Andalucía;2023-09;censo_total;8,46110417914962e+06
benpresaad_all;Andalucía;2023-10;censo_total;8,46157154341155e+06
benpresaad_all;Andalucía;2023-11;censo_total;8,46203890767348e+06
benpresaad_all;Andalucía;2023-12;censo_total;8,46250627193541e+06
benpresaad_all;Andalucía;2024-01;censo_total;8,46297363619734e+06
benpresaad_all;Andalucía;2024-02;censo_total;8,46344100045927e+06
benpresaad_all;Andalucía;2024-03;censo_total;8,46390836472120e+06
benpresaad_all;Andalucía;2024-04;censo_total;8,46437572898312e+06
benpresaad_all;Andalucía;2024-05;censo_total;8,46484309324505e+06
benpresaad_all;Andalucía;2024-06;censo_total;8,46531045750698e+06
benpresaad_all;Andalucía;2024-07;censo_total;8,46577782176891e+06
benpresaad_all;Andalucía;2024-08;censo_total;8,46624518603084e+06
benpresaad_all;Andalucía;2024-09;censo_total;8,46671255029277e+06
benpresaad_all;Andalucía;2024-10;censo_total;8,46717991455470e+06
benpresaad_all;Andalucía;2024-11;censo_total;8,46764727881663e+06
benpresaad_all;Andalucía;2024-12;censo_total;8,46811464307856e+06
benpresaad_all;Andalucía;2025-01;censo_total;8,46858200734049e+06
benpresaad_all;Andalucía;2025-02;censo_total;8,46904937160241e+06
benpresaad_all;Andalucía;2025-03;censo_total;8,46951673586434e+06
benpresaad_all;Andalucía;2025-04;censo_total;8,46998410012627e+06
benpresaad_all;Andalucía;2025-05;censo_total;8,47045146438820e+06
benpresaad_all;Andalucía;2025-06;censo_total;8,47091882865013e+06
benpresaad_all;Andalucía;2025-07;censo_total;8,47138619291206e+06
benpresaad_all;Andalucía;2025-08;censo_total;8,47185355717399e+06
benpresaad_all;Andalucía;2025-09;censo_total;8,47232092143592e+06
benpresaad_all;Andalucía;2023-01;ppd;9,41928662069326e+05
benpresaad_all;Andalucía;2023-02;ppd;9,43040752170799e+05
benpresaad_all;Andalucía;2023-03;ppd;9,44152842272273e+05
benpresaad_all;Andalucía;2023-04;ppd;9,45264932373746e+05
benpresaad_all;Andalucía;2023-05;ppd;9,46377022475220e+05
benpresaad_all;Andalucía;2023-06;ppd;9,47489112576693e+05
benpresaad_all;Andalucía;2023-07;ppd;9,48601202678167e+05
benpresaad_all;Andalucía;2023-08;ppd;9,49713292779640e+05
benpresaad_all;Andalucía;2023-09;ppd;9,50825382881113e+05
benpresaad_all;Andalucía;2023-10;ppd;9,51937472982587e+05
benpresaad_all;Andalucía;2023-11;ppd;9,53049563084060e+05
benpresaad_all;Andalucía;2023-12;ppd;9,54161653185534e+05
benpresaad_all;Andalucía;2024-01;ppd;9,55273743287007e+05
benpresaad_all;Andalucía;2024-02;ppd;9,56385833388481e+05
benpresaad_all;Andalucía;2024-03;ppd;9,57497923489954e+05
benpresaad_all;Andalucía;2024-04;ppd;9,58610013591427e+05
benpresaad_all;Andalucía;2024-05;ppd;9,59722103692901e+05
benpresaad_all;Andalucía;2024-06;ppd;9,60834193794374e+05
benpresaad_all;Andalucía;2024-07;ppd;9,61946283895848e+05
benpresaad_all;Andalucía;2024-08;ppd;9,63058373997321e+05
benpresaad_all;Andalucía;2024-09;ppd;9,64170464098795e+05
benpresaad_all;Andalucía;2024-10;ppd;9,65282554200268e+05
