horas;grado I;grado II;grado III;total;servicio;fecha
Menos de 5;2,96069193023588e-03;1,83604882293305e-03;1,10621145307693e-03;0,002148999343275667;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 5 a 10;4,35469690479948e-01;1,53190334400370e-02;6,34935066903063e-03;0,185883818374098564;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 11 a 15;9,70265335106743e-02;5,38760587216311e-02;1,47444348471761e-02;0,063619013556886816;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 16 a 20;4,09191670987473e-01;1,45127685221404e-02;2,62308496613175e-02;0,178835593842207347;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 21 a 30;4,98508382365097e-02;1,86263161676073e-01;1,48868785137367e-01;0,122684121762241125;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 31 a 45;3,83236772695507e-03;6,92613495757131e-01;2,58217029594945e-02;0,274335028072652809;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 46 a 55;6,76300187109718e-04;3,27215831530546e-02;1,24471518843479e-01;0,038241088744114915;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 56 a 65;4,05780112265831e-04;8,54161843712331e-04;8,84969162461548e-02;0,018502360199422207;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
De 66 a 70;2,63005628320446e-04;5,74763109787737e-04;5,30329893470322e-01;0,108233103222882376;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
71 o más;3,23121200507977e-04;1,42892495350007e-03;3,35803367125820e-02;0,007516872882218187;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-01-31
Menos de 5;5,59336254311550e-04;0,00000000000000e+00;8,73057447180024e-05;0,000310894394083189;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-01-31
