anio;mes;fecha;tramo_edad;n_exp;pct_sobre_total
2023;1;2023-01-31;90 años o más;4665;0,00861976577888315
2023;1;2023-01-31;De 16 a 49 años;153917;0,28440053363094470
2023;1;2023-01-31;De 50 a 66 años;253438;0,46829071799969696
2023;1;2023-01-31;De 67 a 79 años;96123;0,17761152110687770
2023;1;2023-01-31;De 80 a 89 años;33055;0,06107746148359750
2023;1;2023-01-31;Otros;696;NA
2023;2;2023-02-28;90 años o más;4735;0,00859935019060228
2023;2;2023-02-28;De 16 a 49 años;156699;0,28458491563192967
2023;2;2023-02-28;De 50 a 66 años;258126;0,46878898992595658
2023;2;2023-02-28;De 67 a 79 años;97547;0,17715751067427260
2023;2;2023-02-28;De 80 a 89 años;33516;0,06086923357723888
2023;2;2023-02-28;Otros;687;NA
2023;3;2023-03-31;90 años o más;4764;0,00857021042349144
2023;3;2023-03-31;De 16 a 49 años;158195;0,28458531442993890
2023;3;2023-03-31;De 50 a 66 años;260581;0,46877288042901422
2023;3;2023-03-31;De 67 a 79 años;98493;0,17718424333353122
2023;3;2023-03-31;De 80 a 89 años;33846;0,06088735138402422
2023;3;2023-03-31;Otros;699;NA
2023;4;2023-04-30;90 años o más;4779;0,00852652876253823
2023;4;2023-04-30;De 16 a 49 años;159708;0,28494556509886065
2023;4;2023-04-30;De 50 a 66 años;262833;0,46893767194898711
2023;4;2023-04-30;De 67 a 79 años;99039;0,17670200504562111
2023;4;2023-04-30;De 80 a 89 años;34127;0,06088822914399289
2023;4;2023-04-30;Otros;711;NA
2023;5;2023-05-31;90 años o más;4881;0,00863389524702386
2023;5;2023-05-31;De 16 a 49 años;161082;0,28493446305697556
2023;5;2023-05-31;De 50 a 66 años;265102;0,46893318946456058
2023;5;2023-05-31;De 67 a 79 años;99848;0,17661896591371412
2023;5;2023-05-31;De 80 a 89 años;34417;0,06087948631772594
2023;5;2023-05-31;Otros;720;NA
2023;6;2023-06-30;90 años o más;4920;0,00863507842652022
2023;6;2023-06-30;De 16 a 49 años;162180;0,28464167057175804
2023;6;2023-06-30;De 50 a 66 años;267255;0,46905851318692310
2023;6;2023-06-30;De 67 a 79 años;100706;0,17674882276852549
2023;6;2023-06-30;De 80 a 89 años;34708;0,06091591504627314
2023;6;2023-06-30;Otros;731;NA
2023;7;2023-07-31;90 años o más;4975;0,00873042892290198
2023;7;2023-07-31;De 16 a 49 años;161997;0,28428206919062343
2023;7;2023-07-31;De 50 a 66 años;267042;0,46862134682001810
2023;7;2023-07-31;De 67 a 79 años;100894;0,17705485341653707
2023;7;2023-07-31;De 80 a 89 años;34938;0,06131130164991945
2023;7;2023-07-31;Otros;739;NA
2023;8;2023-08-31;90 años o más;5022;0,00880075284815284
2023;8;2023-08-31;De 16 a 49 años;161647;0,28327664190469182
2023;8;2023-08-31;De 50 a 66 años;267509;0,46879342764964521
2023;8;2023-08-31;De 67 a 79 años;101254;0,17744154298822537
2023;8;2023-08-31;De 80 a 89 años;35201;0,06168763460928477
2023;8;2023-08-31;Otros;744;NA
2023;9;2023-09-30;90 años o más;5027;0,00876989450656041
2023;9;2023-09-30;De 16 a 49 años;162344;0,28321857047404880
2023;9;2023-09-30;De 50 a 66 años;268710;0,46878025718278260
2023;9;2023-09-30;De 67 a 79 años;101654;0,17734132806244124
2023;9;2023-09-30;De 80 a 89 años;35476;0,06188994977416692
2023;9;2023-09-30;Otros;768;NA
2023;10;2023-10-31;90 años o más;5118;0,00879136735135581
2023;10;2023-10-31;De 16 a 49 años;164976;0,28338503715460645
2023;10;2023-10-31;De 50 a 66 años;272949;0,46885403032145689
2023;10;2023-10-31;De 67 a 79 años;103046;0,17700571318636393
2023;10;2023-10-31;De 80 a 89 años;36073;0,06196385198621689
2023;10;2023-10-31;Otros;784;NA
2023;11;2023-11-30;90 años o más;4972;0,00852496793706749
2023;11;2023-11-30;De 16 a 49 años;165522;0,28380324675770024
2023;11;2023-11-30;De 50 a 66 años;273659;0,46921444100763338
2023;11;2023-11-30;De 67 a 79 años;103078;0,17673705651992017
2023;11;2023-11-30;De 80 a 89 años;35997;0,06172028777767871
2023;11;2023-11-30;Otros;794;NA
2023;12;2023-12-31;90 años o más;5013;0,00856366804468892
2023;12;2023-12-31;De 16 a 49 años;166182;0,28388738938808977
2023;12;2023-12-31;De 50 a 66 años;274661;0,46920120263760290
2023;12;2023-12-31;De 67 a 79 años;103393;0,17662543988520277
2023;12;2023-12-31;De 80 a 89 años;36131;0,06172230004441559
2023;12;2023-12-31;Otros;816;NA
2024;1;2024-01-31;90 años o más;5075;0,00867002647988383
2024;1;2024-01-31;De 16 a 49 años;165643;0,28298112240539847
2024;1;2024-01-31;De 50 a 66 años;274900;0,46963355257538225
2024;1;2024-01-31;De 67 a 79 años;103459;0,17674724523789187
2024;1;2024-01-31;De 80 a 89 años;36273;0,06196805330144358
2024;1;2024-01-31;Otros;818;NA
2024;2;2024-02-29;90 años o más;5085;0,00862718351724419
2024;2;2024-02-29;De 16 a 49 años;167078;0,28346363179825457
2024;2;2024-02-29;De 50 a 66 años;276822;0,46965470906795881
2024;2;2024-02-29;De 67 a 79 años;103880;0,17624224656269935
2024;2;2024-02-29;De 80 a 89 años;36551;0,06201222905384313
2024;2;2024-02-29;Otros;829;NA
2024;3;2024-03-31;90 años o más;5187;0,00870386715485735
2024;3;2024-03-31;De 16 a 49 años;168854;0,28333965385893256
2024;3;2024-03-31;De 50 a 66 años;280021;0,46987961915756904
2024;3;2024-03-31;De 67 a 79 años;104880;0,17599028093337943
2024;3;2024-03-31;De 80 a 89 años;37000;0,06208657889526162
2024;3;2024-03-31;Otros;844;NA
2024;4;2024-04-30;90 años o más;5250;0,00872268346295518
2024;4;2024-04-30;De 16 a 49 años;170301;0,28294889836661524
2024;4;2024-04-30;De 50 a 66 años;283135;0,47041847281596466
2024;4;2024-04-30;De 67 a 79 años;105680;0,17558346445049586
2024;4;2024-04-30;De 80 a 89 años;37513;0,06232648090396907
2024;4;2024-04-30;Otros;866;NA
2024;5;2024-05-31;90 años o más;5304;0,00870551431305384
2024;5;2024-05-31;De 16 a 49 años;172118;0,28249919165426107
2024;5;2024-05-31;De 50 a 66 años;286799;0,47072639507344050
2024;5;2024-05-31;De 67 a 79 años;106948;0,17553494433493252
2024;5;2024-05-31;De 80 a 89 años;38100;0,06253395462431209
2024;5;2024-05-31;Otros;875;NA
2024;6;2024-06-30;90 años o más;5350;0,00865484323409652
2024;6;2024-06-30;De 16 a 49 años;174272;0,28192464300793818
