anio;mes;fecha;categoria;n_exp;pct_sobre_total
2023;1;2023-01-31;Compañero/a;7515;0,0139417359733892
2023;1;2023-01-31;Cónyuge;107100;0,1986906084830315
2023;1;2023-01-31;Hermano/a;24691;0,0458064408408453
2023;1;2023-01-31;Hijo/a;185377;0,3439091403245466
2023;1;2023-01-31;Madre;130392;0,2419016416556438
2023;1;2023-01-31;Nieto/a;9272;0,0172013008576533
2023;1;2023-01-31;Otros;47184;0,0875351789977905
2023;1;2023-01-31;Padre;17585;0,0326234766589553
2023;1;2023-01-31;Yerno/Nuera;9913;0,0183904762081446
2023;2;2023-02-28;Compañero/a;7727;0,0140440350564706
2023;2;2023-02-28;Cónyuge;109051;0,1982031923053156
2023;2;2023-02-28;Hermano/a;25309;0,0459998037070291
2023;2;2023-02-28;Hijo/a;190221;0,3457319001523088
2023;2;2023-02-28;Madre;132199;0,2402753190669541
2023;2;2023-02-28;Nieto/a;9522;0,0173064969338311
2023;2;2023-02-28;Otros;48117;0,0874539711158528
2023;2;2023-02-28;Padre;17861;0,0324628588253683
2023;2;2023-02-28;Yerno/Nuera;10191;0,0185224228368696
2023;3;2023-03-31;Compañero/a;7697;0,0138562849242468
2023;3;2023-03-31;Cónyuge;110325;0,1986091508727462
2023;3;2023-03-31;Hermano/a;25613;0,0461090068552336
2023;3;2023-03-31;Hijo/a;191968;0,3455844230658448
2023;3;2023-03-31;Madre;133556;0,2404300362924132
2023;3;2023-03-31;Nieto/a;9671;0,0174099170459128
2023;3;2023-03-31;Otros;48338;0,0870189815081514
2023;3;2023-03-31;Padre;18130;0,0326379687770033
2023;3;2023-03-31;Yerno/Nuera;10190;0,0183442306584481
2023;4;2023-04-30;Compañero/a;7725;0,0137912935429967
2023;4;2023-04-30;Cónyuge;111252;0,1986160503877629
2023;4;2023-04-30;Hermano/a;25757;0,0459834754416784
2023;4;2023-04-30;Hijo/a;193497;0,3454464630018424
2023;4;2023-04-30;Madre;134912;0,2408557921647600
2023;4;2023-04-30;Nieto/a;9775;0,0174511190139538
2023;4;2023-04-30;Otros;48583;0,0867342931002471
2023;4;2023-04-30;Padre;18379;0,0328116743076681
2023;4;2023-04-30;Yerno/Nuera;10256;0,0183098390390905
2023;5;2023-05-31;Compañero/a;7778;0,0137661280331322
2023;5;2023-05-31;Cónyuge;112395;0,1989256827312791
2023;5;2023-05-31;Hermano/a;25882;0,0458080387957735
2023;5;2023-05-31;Hijo/a;195357;0,3457584821507584
2023;5;2023-05-31;Madre;136141;0,2409532574644697
2023;5;2023-05-31;Nieto/a;9909;0,0175377426948196
2023;5;2023-05-31;Otros;48745;0,0862728093308083
2023;5;2023-05-31;Padre;18550;0,0328312773225253
2023;5;2023-05-31;Yerno/Nuera;10253;0,0181465814764340
2023;6;2023-06-30;Compañero/a;7794;0,0136863861373099
2023;6;2023-06-30;Cónyuge;113606;0,1994939162837089
2023;6;2023-06-30;Hermano/a;25982;0,0456247991557077
2023;6;2023-06-30;Hijo/a;197013;0,3459579153284364
2023;6;2023-06-30;Madre;137117;0,2407796007171568
2023;6;2023-06-30;Nieto/a;10024;0,0176023010829349
2023;6;2023-06-30;Otros;48913;0,0858919945001589
2023;6;2023-06-30;Padre;18715;0,0328638332768482
2023;6;2023-06-30;Yerno/Nuera;10307;0,0180992535177384
2023;7;2023-07-31;Compañero/a;7994;0,0140348782701670
2023;7;2023-07-31;Cónyuge;113899;0,1999698023634918
2023;7;2023-07-31;Hermano/a;25978;0,0456089651866899
2023;7;2023-07-31;Hijo/a;196159;0,3443917546406920
2023;7;2023-07-31;Madre;137742;0,2418303981347693
2023;7;2023-07-31;Nieto/a;10008;0,0175708108240970
2023;7;2023-07-31;Otros;48833;0,0857349525352847
2023;7;2023-07-31;Padre;18748;0,0329154237939819
2023;7;2023-07-31;Yerno/Nuera;10220;0,0179430142508265
2023;8;2023-08-31;Compañero/a;7974;0,0139799575026123
2023;8;2023-08-31;Cónyuge;114153;0,2001321907192998
2023;8;2023-08-31;Hermano/a;25992;0,0455689811146097
2023;8;2023-08-31;Hijo/a;196280;0,3441166363948751
2023;8;2023-08-31;Madre;138105;0,2421246590040464
2023;8;2023-08-31;Nieto/a;10047;0,0176143256870762
2023;8;2023-08-31;Otros;48856;0,0856539758900959
2023;8;2023-08-31;Padre;18793;0,0329477478488327
2023;8;2023-08-31;Yerno/Nuera;10188;0,0178615258385520
2023;9;2023-09-30;Compañero/a;7982;0,0139301676611385
2023;9;2023-09-30;Cónyuge;114902;0,2005267006514823
2023;9;2023-09-30;Hermano/a;25674;0,0448062045266937
2023;9;2023-09-30;Hijo/a;196986;0,3437795047478102
2023;9;2023-09-30;Madre;139064;0,2426941663278074
2023;9;2023-09-30;Nieto/a;10043;0,0175270200226527
2023;9;2023-09-30;Otros;49239;0,0859317872045599
2023;9;2023-09-30;Padre;18919;0,0330173943850011
2023;9;2023-09-30;Yerno/Nuera;10192;0,0177870544728543
2023;10;2023-10-31;Compañero/a;8050;0,0138317814819079
2023;10;2023-10-31;Cónyuge;117006;0,2010436551642374
2023;10;2023-10-31;Hermano/a;25972;0,0446259662916908
2023;10;2023-10-31;Hijo/a;200569;0,3446244198813388
2023;10;2023-10-31;Madre;140884;0,2420716400369076
2023;10;2023-10-31;Nieto/a;10237;0,0175895586373032
2023;10;2023-10-31;Otros;49729;0,0854460448837013
2023;10;2023-10-31;Padre;19191;0,0329746234061234
2023;10;2023-10-31;Yerno/Nuera;10355;0,0177923102167896
2023;11;2023-11-30;Compañero/a;8197;0,0140564418356201
2023;11;2023-11-30;Cónyuge;117109;0,2008217453858276
2023;11;2023-11-30;Hermano/a;25928;0,0444620500078025
2023;11;2023-11-30;Hijo/a;200935;0,3445688837672705
2023;11;2023-11-30;Madre;141426;0,2425212081303406
2023;11;2023-11-30;Nieto/a;10274;0,0176181387604197
2023;11;2023-11-30;Otros;49837;0,0854618630915941
2023;11;2023-11-30;Padre;19194;0,0329144009507004
2023;11;2023-11-30;Yerno/Nuera;10249;0,0175752680704245
2023;12;2023-12-31;Compañero/a;8224;0,0140500258825258
2023;12;2023-12-31;Cónyuge;117585;0,2008842769208166
2023;12;2023-12-31;Hermano/a;25994;0,0444086056408530
2023;12;2023-12-31;Hijo/a;201406;0,3440855438832672
2023;12;2023-12-31;Madre;142342;0,2431795700596409
2023;12;2023-12-31;Nieto/a;10279;0,0175608239356132
2023;12;2023-12-31;Otros;49957;0,0853474152496767
2023;12;2023-12-31;Padre;19346;0,0330510458077996
2023;12;2023-12-31;Yerno/Nuera;10204;0,0174326926198071
2024;1;2024-01-31;Compañero/a;8195;0,0140008166431184
2024;1;2024-01-31;Cónyuge;117537;0,2008070757513373
2024;1;2024-01-31;Hermano/a;26002;0,0444233354916858
2024;1;2024-01-31;Hijo/a;201094;0,3435607348421299
2024;1;2024-01-31;Madre;142742;0,2438687698928625
2024;1;2024-01-31;Nieto/a;10247;0,0175065732937199
2024;1;2024-01-31;Otros;50003;0,0854280457115131
2024;1;2024-01-31;Padre;19394;0,0331338423400413
2024;1;2024-01-31;Yerno/Nuera;10109;0,0172708060335917
2024;2;2024-02-29;Compañero/a;8288;0,0140612805809100
2024;2;2024-02-29;Cónyuge;118302;0,2007091717281395
2024;2;2024-02-29;Hermano/a;26133;0,0443368056733738
2024;2;2024-02-29;Hijo/a;202670;0,3438464931627702
2024;2;2024-02-29;Madre;143853;0,2440585660479793
2024;2;2024-02-29;Nieto/a;10275;0,0174323911641953
2024;2;2024-02-29;Otros;50227;0,0852142784432154
2024;2;2024-02-29;Padre;19562;0,0331885582436972
2024;2;2024-02-29;Yerno/Nuera;10110;0,0171524549557192
2024;3;2024-03-31;Compañero/a;8455;0,0141867414791461
2024;3;2024-03-31;Cónyuge;119606;0,2006882792850084
2024;3;2024-03-31;Hermano/a;26385;0,0442716941368739
2024;3;2024-03-31;Hijo/a;205525;0,3448527548789471
2024;3;2024-03-31;Madre;145183;0,2436042209540940
2024;3;2024-03-31;Nieto/a;10379;0,0174150431474935
2024;3;2024-03-31;Otros;50526;0,0847781549349893
2024;3;2024-03-31;Padre;19756;0,0331488190020118
2024;3;2024-03-31;Yerno/Nuera;10164;0,0170542921814359
2024;4;2024-04-30;Compañero/a;8509;0,0141354907302811
2024;4;2024-04-30;Cónyuge;120701;0,2005133231443950
2024;4;2024-04-30;Hermano/a;26597;0,0441839989368064
2024;4;2024-04-30;Hijo/a;208014;0,3455611668549405
2024;4;2024-04-30;Madre;146384;0,2431789487673600
2024;4;2024-04-30;Nieto/a;10468;0,0173898597913483
2024;4;2024-04-30;Otros;51050;0,0848062994218885
2024;4;2024-04-30;Padre;19994;0,0332148315502691
2024;4;2024-04-30;Yerno/Nuera;10243;0,0170160808027111
