ccaa;solicitudes;periodo
Comunidad Valenciana;108226;2012-01
Extremadura;45143;2012-01
Galicia;89625;2012-01
Comunidad de Madrid;150220;2012-01
Región de Murcia;50730;2012-01
Comunidad Foral de Navarra;18049;2012-01
País Vasco;82656;2012-01
Ceuta y Melilla;3751;2012-01
Comunidad Valenciana;107120;2012-02
Extremadura;45130;2012-02
Galicia;90073;2012-02
Comunidad de Madrid;149649;2012-02
Región de Murcia;50432;2012-02
Comunidad Foral de Navarra;17814;2012-02
País Vasco;82785;2012-02
Ceuta y Melilla;3741;2012-02
Comunidad Valenciana;106023;2012-03
Extremadura;45205;2012-03
Galicia;90084;2012-03
Comunidad de Madrid;148862;2012-03
Región de Murcia;50459;2012-03
Comunidad Foral de Navarra;17761;2012-03
País Vasco;81611;2012-03
Ceuta y Melilla;3738;2012-03
Andalucía;414701;2012-04
Aragón;49323;2012-04
Principado de Asturias;35690;2012-04
Islas Baleares;24595;2012-04
Canarias;38234;2012-04
Cantabria;24659;2012-04
Castilla y León;99633;2012-04
Castilla-La Mancha;90578;2012-04
Cataluña;281585;2012-04
Comunidad Valenciana;104503;2012-04
Extremadura;45352;2012-04
Galicia;90219;2012-04
Comunidad de Madrid;152814;2012-04
Región de Murcia;54400;2012-04
Comunidad Foral de Navarra;17432;2012-04
País Vasco;80364;2012-04
Ceuta y Melilla;3789;2012-04
Andalucía;414097;2012-05
Aragón;49276;2012-05
Principado de Asturias;35807;2012-05
Islas Baleares;24505;2012-05
Canarias;38433;2012-05
Cantabria;24541;2012-05
Castilla y León;100916;2012-05
Castilla-La Mancha;90347;2012-05
Cataluña;280755;2012-05
Comunidad Valenciana;103369;2012-05
Extremadura;45525;2012-05
Galicia;90332;2012-05
Comunidad de Madrid;157950;2012-05
Región de Murcia;55251;2012-05
Comunidad Foral de Navarra;17224;2012-05
País Vasco;79458;2012-05
Ceuta y Melilla;3809;2012-05
Andalucía;414741;2012-06
Aragón;49287;2012-06
Principado de Asturias;35879;2012-06
Islas Baleares;24582;2012-06
Canarias;38575;2012-06
Cantabria;24291;2012-06
Castilla y León;100183;2012-06
Castilla-La Mancha;90366;2012-06
Cataluña;280965;2012-06
Comunidad Valenciana;102265;2012-06
Extremadura;45882;2012-06
Galicia;90543;2012-06
Comunidad de Madrid;160839;2012-06
Región de Murcia;55904;2012-06
Comunidad Foral de Navarra;17499;2012-06
País Vasco;80585;2012-06
Ceuta y Melilla;3834;2012-06
Andalucía;415140;2012-07
Aragón;49141;2012-07
Principado de Asturias;35892;2012-07
Islas Baleares;24601;2012-07
Canarias;38616;2012-07
Cantabria;24258;2012-07
Castilla y León;101746;2012-07
Castilla-La Mancha;90499;2012-07
Cataluña;281130;2012-07
Comunidad Valenciana;101209;2012-07
Extremadura;46322;2012-07
Galicia;90052;2012-07
Comunidad de Madrid;162430;2012-07
Región de Murcia;56491;2012-07
Comunidad Foral de Navarra;17468;2012-07
País Vasco;79775;2012-07
Ceuta y Melilla;3866;2012-07
Andalucía;414781;2012-08
Aragón;49407;2012-08
Principado de Asturias;35902;2012-08
Islas Baleares;24604;2012-08
Canarias;39129;2012-08
Cantabria;24184;2012-08
Castilla y León;102856;2012-08
Castilla-La Mancha;90583;2012-08
Cataluña;282033;2012-08
Comunidad Valenciana;100381;2012-08
Extremadura;46836;2012-08
Galicia;89184;2012-08
Comunidad de Madrid;166954;2012-08
Región de Murcia;56069;2012-08
Comunidad Foral de Navarra;17394;2012-08
País Vasco;80018;2012-08
Ceuta y Melilla;3862;2012-08
Andalucía;99605;2012-09
Aragón;46825;2012-09
Principado de Asturias;89121;2012-09
Islas Baleares;167441;2012-09
Canarias;55700;2012-09
Cantabria;17438;2012-09
Castilla y León;79438;2012-09
Castilla-La Mancha;14535;2012-09
Cataluña;3872;2012-09
Comunidad Valenciana;99605;2012-09
Extremadura;46825;2012-09
Galicia;89121;2012-09
Comunidad de Madrid;167441;2012-09
Región de Murcia;55700;2012-09
Comunidad Foral de Navarra;17438;2012-09
País Vasco;79438;2012-09
Ceuta y Melilla;3872;2012-09
Comunidad Valenciana;98314;2012-10
Extremadura;46897;2012-10
Galicia;88530;2012-10
Comunidad de Madrid;168752;2012-10
Región de Murcia;55221;2012-10
Comunidad Foral de Navarra;17232;2012-10
País Vasco;78887;2012-10
Ceuta y Melilla;3881;2012-10
Comunidad Valenciana;95871;2012-12
Extremadura;47482;2012-12
Galicia;88058;2012-12
Comunidad de Madrid;173061;2012-12
Región de Murcia;56161;2012-12
Comunidad Foral de Navarra;17626;2012-12
País Vasco;84902;2012-12
Ceuta y Melilla;3877;2012-12
Comunidad Valenciana;94974;2013-01
Extremadura;47496;2013-01
Galicia;88013;2013-01
Comunidad de Madrid;174167;2013-01
Región de Murcia;55812;2013-01
Comunidad Foral de Navarra;17645;2013-01
País Vasco;84774;2013-01
Ceuta y Melilla;3882;2013-01
Comunidad Valenciana;107560;2013-02
Extremadura;47533;2013-02
Galicia;87171;2013-02
Comunidad de Madrid;174701;2013-02
Región de Murcia;55230;2013-02
Comunidad Foral de Navarra;17583;2013-02
País Vasco;84323;2013-02
Ceuta y Melilla;3897;2013-02
Andalucía;402322;2013-03
Aragón;46949;2013-03
Principado de Asturias;35185;2013-03
Islas Baleares;24228;2013-03
Canarias;40249;2013-03
Cantabria;24306;2013-03
Castilla y León;104443;2013-03
Castilla-La Mancha;88647;2013-03
Cataluña;278922;2013-03
Comunidad Valenciana;107631;2013-03
Extremadura;47402;2013-03
Galicia;86898;2013-03
Comunidad de Madrid;174846;2013-03
Región de Murcia;54819;2013-03
Comunidad Foral de Navarra;17416;2013-03
País Vasco;85088;2013-03
Ceuta y Melilla;3906;2013-03
Comunidad Valenciana;105659;2013-05
Extremadura;47359;2013-05
Galicia;84759;2013-05
Comunidad de Madrid;173003;2013-05
Región de Murcia;53774;2013-05
Comunidad Foral de Navarra;17369;2013-05
País Vasco;83441;2013-05
Ceuta y Melilla;3879;2013-05
Andalucía;105240;2013-06
Aragón;47310;2013-06
Principado de Asturias;84407;2013-06
Islas Baleares;174429;2013-06
Canarias;53506;2013-06
Cantabria;17408;2013-06
Castilla y León;83700;2013-06
Castilla-La Mancha;14472;2013-06
Cataluña;3872;2013-06
Comunidad Valenciana;105240;2013-06
Extremadura;47310;2013-06
Galicia;84407;2013-06
Comunidad de Madrid;174429;2013-06
Región de Murcia;53506;2013-06
Comunidad Foral de Navarra;17408;2013-06
País Vasco;83700;2013-06
Ceuta y Melilla;3872;2013-06
Comunidad Valenciana;104212;2013-07
Extremadura;47211;2013-07
Galicia;83669;2013-07
Comunidad de Madrid;173831;2013-07
Región de Murcia;53090;2013-07
Comunidad Foral de Navarra;17313;2013-07
País Vasco;85364;2013-07
Ceuta y Melilla;3863;2013-07
Andalucía;394017;2013-08
Aragón;45871;2013-08
Principado de Asturias;34550;2013-08
Islas Baleares;24073;2013-08
Canarias;39149;2013-08
Cantabria;23129;2013-08
Castilla y León;102633;2013-08
Castilla-La Mancha;87879;2013-08
Cataluña;279155;2013-08
Comunidad Valenciana;103450;2013-08
Extremadura;47106;2013-08
Galicia;82663;2013-08
Comunidad de Madrid;173156;2013-08
Región de Murcia;52707;2013-08
Comunidad Foral de Navarra;17271;2013-08
País Vasco;85140;2013-08
Ceuta y Melilla;3871;2013-08
Andalucía;103301;2013-09
Aragón;46981;2013-09
Principado de Asturias;82612;2013-09
Islas Baleares;173339;2013-09
Canarias;52357;2013-09
Cantabria;17356;2013-09
Castilla y León;84976;2013-09
Castilla-La Mancha;14264;2013-09
Cataluña;3879;2013-09
Comunidad Valenciana;103301;2013-09
Extremadura;46981;2013-09
Galicia;82612;2013-09
Comunidad de Madrid;173339;2013-09
Región de Murcia;52357;2013-09
Comunidad Foral de Navarra;17356;2013-09
País Vasco;84976;2013-09
Ceuta y Melilla;3879;2013-09
