ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Andalucía;2015;hombres;real;28,9;28,1;53,7;8,9;23,6;59,6;71,9;39,8
Andalucía;2015;mujeres;real;20,8;38,7;49,2;9,4;24,7;68,3;83,6;38,6
Andalucía;2015;total;real;24,9;33,3;51,4;9,2;24,1;63,8;77,5;39,2
Andalucía;2016;hombres;real;27,0;27,6;53,3;8,1;22,1;60,2;68,3;41,7
Andalucía;2016;mujeres;real;19,0;38,1;48,4;9,2;23,2;69,6;80,3;40,5
Andalucía;2016;total;real;23,1;32,8;50,8;8,7;22,7;64,8;74,2;41,1
Andalucía;2017;hombres;real;28,7;27,1;53,0;8,5;21,3;60,7;69,8;45,2
Andalucía;2017;mujeres;real;18,0;40,7;48,0;8,8;21,6;69,9;81,6;44,0
Andalucía;2017;total;real;23,5;33,8;50,5;8,6;21,4;65,2;75,5;44,6
Andalucía;2018;hombres;real;26,0;29,7;51,3;8,6;20,0;62,1;71,8;47,0
Andalucía;2018;mujeres;real;17,6;40,3;46,6;9,5;20,3;71,3;82,4;45,8
Andalucía;2018;total;real;21,9;34,9;49,0;9,0;20,1;66,6;77,0;46,4
Andalucía;2019;hombres;real;26,1;32,0;50,1;9,1;18,5;62,0;76,7;48,9
Andalucía;2019;mujeres;real;16,9;43,2;45,5;10,0;19,6;71,2;86,8;48,1
Andalucía;2019;total;real;21,6;37,6;47,8;9,6;19,0;66,5;81,6;48,5
Andalucía;2020;hombres;real;26,7;32,9;49,8;9,0;21,1;66,8;76,8;44,1
Andalucía;2020;mujeres;real;16,8;45,9;43,7;10,2;22,6;74,5;85,1;43,0
Andalucía;2020;total;real;21,8;39,4;46,7;9,6;21,9;70,5;80,8;43,6
Andalucía;2021;hombres;real;20,8;36,7;48,6;11,7;17,4;66,4;73,6;51,7
Andalucía;2021;mujeres;real;14,3;46,6;41,5;13,6;17,3;74,2;83,0;50,8
Andalucía;2021;total;real;17,7;41,6;45,0;12,7;17,3;70,2;78,2;51,2
Andalucía;2022;hombres;real;18,7;37,1;47,4;13,4;14,5;66,2;77,1;54,5
Andalucía;2022;mujeres;real;12,0;50,2;40,3;15,7;15,1;74,0;85,5;53,5
Andalucía;2022;total;real;15,5;43,5;43,9;14,6;14,8;70,0;81,2;54,0
Andalucía;2023;hombres;real;20,8;38,0;46,0;13,5;16,5;67,5;79,2;56,7
Andalucía;2023;mujeres;real;12,6;51,3;39,5;16,6;14,2;74,5;87,2;55,2
Andalucía;2023;total;real;16,9;44,5;42,7;15,1;15,4;70,9;83,0;56,0
Andalucía;2024;hombres;proyeccion;19,6;38,0;45,1;12,8;15,1;69,2;79,5944;57,1
Andalucía;2024;mujeres;proyeccion;11,3;54,2;39,0;16,4;14,0;76,3;86,9028;55,8
Andalucía;2024;total;proyeccion;15,5;46,0;42,0;14,6;14,6;72,6;83,1278;56,5
Andalucía;2025;hombres;proyeccion;18,9;36,7;44,8;12,5;13,4;70,16;80,7311;57,1
Andalucía;2025;mujeres;proyeccion;9,8;54,5;38,5;14,9;13,2;76,3;87,4944;58,0333
Andalucía;2025;total;proyeccion;14,5;45,4;41,7;13,7;13,3;73,4667;83,9978;56,5
Andalucía;2026;hombres;proyeccion;18,9;36,7;43,5036;12,5;12,7455;71,2673;81,8678;57,1
Andalucía;2026;mujeres;proyeccion;9,0564;56,4888;38,0756;14,9;11,6618;76,3;88,0861;59,943
Andalucía;2026;total;proyeccion;13,2327;46,61;40,73;13,7;12,2345;74,4406;84,8678;56,5
Aragón;2015;hombres;real;20,0;35,9;40,9;10,1;13,3;54,5;71,6;34,8
Aragón;2015;mujeres;real;18,9;50,0;37,0;12,2;20,0;59,5;83,1;33,2
Aragón;2015;total;real;19,5;42,8;39,0;11,2;16,6;56,9;77,1;34,0
Aragón;2016;hombres;real;24,4;37,6;38,5;10,2;13,0;55,1;70,9;35,5
Aragón;2016;mujeres;real;13,5;48,4;34,0;12,6;16,7;62,1;82,4;35,2
Aragón;2016;total;real;19,1;42,9;36,3;11,4;14,8;58,5;76,6;35,4
Aragón;2017;hombres;real;17,6;41,4;38,6;10,6;10,4;64,2;70,6;36,6
Aragón;2017;mujeres;real;15,0;48,1;33,9;13,7;14,6;71,4;79,5;36,4
Aragón;2017;total;real;16,4;44,7;36,3;12,1;12,5;67,6;74,9;36,5
Aragón;2018;hombres;real;18,1;40,9;37,9;10,7;10,7;67,2;71,3;38,0
Aragón;2018;mujeres;real;13,2;52,1;32,9;13,5;12,5;74,1;82,9;37,8
Aragón;2018;total;real;15,8;46,5;35,5;12,1;11,5;70,6;77,0;37,9
Aragón;2019;hombres;real;20,7;40,8;36,2;8,6;10,6;67,8;81,0;36,9
Aragón;2019;mujeres;real;8,0;54,8;32,3;10,8;12,6;74,3;87,8;35,9
Aragón;2019;total;real;14,6;47,8;34,3;9,7;11,6;71,0;84,4;36,4
Aragón;2020;hombres;real;19,1;41,5;35,0;8,8;13,1;71,0;75,7;31,4
Aragón;2020;mujeres;real;9,1;53,4;30,0;13,0;16,2;77,5;86,9;30,2
Aragón;2020;total;real;14,2;47,4;32,5;10,9;14,6;74,2;81,1;30,8
Aragón;2021;hombres;real;16,5;46,5;34,2;12,9;10,0;70,3;73,5;36,4
Aragón;2021;mujeres;real;8,9;58,6;27,6;17,5;9,6;76,0;82,8;35,7
