modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
AutoTheta,1.6440006361695454,0.24458277138767537,0.3861374964965298,0.016459136701727817,AutoTheta,False,mape,1|Andalucía|Ambos géneros,trimestral
RWD,1.5102212448649133,0.18923113033332495,0.2583045885581006,0.015126389315213823,RWD,False,mape,1|Andalucía|Hombres,trimestral
Prophet,2.546389983737598,0.44490819770179524,0.5423243337210857,0.025296841376079328,Prophet,False,mape,1|Andalucía|Mujeres,trimestral
SeasonalNaive,2.846050240421073,0.22250000000000036,0.31595094555959186,0.027596899224806248,SeasonalNaive,False,mape,1|Aragón|Ambos géneros,trimestral
SeasonalNaive,7.749367912608289,0.47750000000000026,0.5424251100382431,0.07318007662835252,SeasonalNaive,False,mape,1|Aragón|Hombres,trimestral
WindowAverage,3.2172630569360026,0.3084374999999997,0.4609115458794661,0.03134527439024387,WindowAverage,False,mape,1|Aragón|Mujeres,trimestral
SeasonalNaive,7.415794734263898,0.8924999999999996,1.1589111268772938,0.06871992300288736,SeasonalNaive,False,mape,1|Canarias|Ambos géneros,trimestral
Naive,8.786581662323686,1.0099999999999998,1.2386080897523637,0.08667667882428662,RWD,True,mape,1|Canarias|Hombres,trimestral
SeasonalNaive,6.091935492880975,0.7899999999999996,1.32772361581769,0.0546240276577355,AutoARIMA,True,mape,1|Canarias|Mujeres,trimestral
WindowAverage,6.309642290236618,0.43937500000000007,0.5716492040578735,0.06064527260179436,WindowAverage,False,mape,1|Cantabria|Ambos géneros,trimestral
WindowAverage,5.986571594654924,0.39562499999999967,0.3998505580213685,0.059425460007510277,WindowAverage,False,mape,1|Cantabria|Hombres,trimestral
Naive,6.891820236797965,0.5275000000000005,0.6269569363201913,0.06687797147385109,Naive,False,mape,1|Cantabria|Mujeres,trimestral
Naive,4.180329183645802,0.3649999999999993,0.40951190458886494,0.0422698320787492,RWD,True,mape,1|Castilla y León|Ambos géneros,trimestral
