ccaa;ccaa_cod;periodo;genero;origen;tasa_paro;tasa_actividad;tasa_empleo;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;pct_alquiler_salario;pct_alquiler_salario_origen
Andalucía;01;2010;hombre;real;26.692;67.362;49.378;50.602;41.725;33.45;5.85;28.11;real
Andalucía;01;2010;mujer;real;29.172;50.152;35.528;49.085;44.35;35.625;25.825;36.8;real
Andalucía;01;2011;hombre;real;28.688;66.962;47.752;55.708;46.775;33.425;6.975;27.17;real
Andalucía;01;2011;mujer;real;31.968;50.605;34.425;52.218;50.625;34.825;25.225;35.19;real
Andalucía;01;2012;hombre;real;33.422;66.178;44.062;63.422;52.975;30.775;7.45;26.25;real
Andalucía;01;2012;mujer;real;35.488;52.15;33.638;60.265;54.325;34.075;27.325;34.73;real
Andalucía;01;2013;hombre;real;34.777;65.675;42.832;65.227;59.4;30.7;8.65;24.69;real
Andalucía;01;2013;mujer;real;37.978;52.195;32.377;66.808;59.725;32.225;28.5;32.89;real
Andalucía;01;2014;hombre;real;32.705;65.858;44.322;61.838;62.075;34.6;8.925;24.35;real
Andalucía;01;2014;mujer;real;37.302;52.078;32.65;61.018;61.6;33.925;29.55;32.61;real
Andalucía;01;2015;hombre;real;29.082;65.502;46.452;55.032;59.825;35.65;9.275;24.4;real
Andalucía;01;2015;mujer;real;34.495;52.288;34.25;58.855;62.15;34.625;29.8;32.19;real
Andalucía;01;2016;hombre;real;26.2;64.638;47.702;56.317;52.9;36.175;8.925;25.73;real
Andalucía;01;2016;mujer;real;32.138;51.275;34.795;59.925;57.525;34.825;27.25;34.01;real
Andalucía;01;2017;hombre;real;22.938;64.38;49.612;48.88;51.6;35.75;8.225;27.2;real
Andalucía;01;2017;mujer;real;28.642;50.6;36.11;49.485;54.925;35.875;27.425;35.96;real
Andalucía;01;2018;hombre;real;19.758;63.957;51.322;46.935;47.775;35.225;7.325;29.52;real
Andalucía;01;2018;mujer;real;26.935;50.1;36.6;46.543;51.075;36.6;27.425;39.07;real
Andalucía;01;2019;hombre;real;17.832;63.438;52.12;38.012;40.825;34.725;6.7;31.78;real
Andalucía;01;2019;mujer;real;25.222;50.435;37.715;46.15;47.775;35.975;26.925;40.2;real
