ccaa;ccaa_cod;periodo;origen;tasa_paro;tasa_actividad;tasa_empleo;horas_servicios;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;brecha_salarial;pct_alquiler_salario;brecha_salarial_origen;pct_alquiler_salario_origen
Andalucía;01;2010;real;27.772;58.61;42.335;128.3;49.902;42.85;34.425;14.375;23.622;31.46;real;real
Andalucía;01;2011;real;30.13;58.645;40.975;127.15;54.095;48.5;34.075;14.8;22.784;30.3;real;real
Andalucía;01;2012;real;34.352;59.035;38.758;125.4;61.93;53.6;32.325;16.225;24.43;29.64;real;real
Andalucía;01;2013;real;36.222;58.808;37.502;125.925;65.962;59.5;31.45;17.4;24.931;27.99;real;real
Andalucía;01;2014;real;34.78;58.832;38.37;125.025;61.475;61.8;34.325;17.85;25.339;27.5;real;real
Andalucía;01;2015;real;31.54;58.76;40.228;125.275;56.815;60.975;35.15;18.2;24.212;27.61;real;real
Andalucía;01;2016;real;28.885;57.825;41.115;124.5;57.932;55.25;35.55;16.825;24.346;29.07;real;real
Andalucía;01;2017;real;25.505;57.348;42.72;125.275;49.15;53.275;35.85;16.525;24.356;30.72;real;real
Andalucía;01;2018;real;22.985;56.885;43.81;124.425;46.77;49.475;35.825;15.9;24.443;33.46;real;real
Andalucía;01;2019;real;21.188;56.793;44.762;124.5;41.642;44.6;35.3;15.4;20.94;35.33;real;real
Andalucía;01;2020;real;22.268;55.37;43.032;115.225;49.588;39.725;32.15;14.675;21.255;37.03;real;real
Andalucía;01;2021;real;21.86;56.995;44.54;121.6;44.495;49.425;33.775;14.575;19.78;35.66;real;real
Andalucía;01;2022;real;19.115;56.63;45.805;125.575;35.275;46.3;28.475;14.375;17.03;36.18;real;real
Andalucía;01;2023;real;18.24;57.265;46.82;126.075;39.702;41.55;22.05;14.0;16.136;38.67;real;real
Andalucía;01;2024;real;16.465;56.802;47.45;125.525;36.875;42.8;20.4;13.575;16.315;41.43;real;real
Andalucía;01;2025;real;15.23;57.15;48.448;125.05;32.778;38.725;19.575;13.15;15.793;42.238;proyeccion;proyeccion
Andalucía;01;2026;proyeccion;14.26;57.492;49.613;124.413;29.702;37.005;19.525;12.806;15.271;43.066;proyeccion;proyeccion
Aragón;02;2010;real;14.955;58.805;50.008;126.8;31.908;40.625;23.375;13.0;25.413;29.77;real;real
Aragón;02;2011;real;17.078;59.112;49.018;126.6;39.842;46.2;23.85;13.6;25.446;29.87;real;real
Aragón;02;2012;real;18.665;60.122;48.902;124.675;42.322;50.45;21.6;13.5;29.977;28.97;real;real
Aragón;02;2013;real;21.382;59.058;46.428;124.5;50.26;54.125;21.575;15.375;25.577;26.77;real;real
Aragón;02;2014;real;20.172;58.92;47.032;122.15;51.55;56.8;23.875;15.1;25.296;25.46;real;real
Aragón;02;2015;real;16.29;58.778;49.202;122.525;41.238;52.875;22.775;14.6;25.847;25.71;real;real
Aragón;02;2016;real;14.74;59.338;50.588;120.925;36.652;53.625;23.45;15.05;25.904;27.01;real;real
Aragón;02;2017;real;11.645;58.575;51.75;120.75;30.518;48.25;25.225;15.2;23.963;27.42;real;real
Aragón;02;2018;real;10.632;58.67;52.435;121.475;27.578;43.65;25.575;15.475;24.648;28.76;real;real
Aragón;02;2019;real;10.025;59.2;53.265;119.725;27.482;42.0;22.375;13.775;22.892;30.31;real;real
Aragón;02;2020;real;11.702;58.112;51.31;112.525;28.17;35.175;21.525;13.225;19.394;30.85;real;real
Aragón;02;2021;real;10.337;58.382;52.35;120.375;25.355;39.075;24.75;14.475;18.64;30.28;real;real
Aragón;02;2022;real;9.62;58.72;53.07;123.7;24.445;36.35;20.225;14.0;19.629;30.0;real;real
Aragón;02;2023;real;8.575;58.588;53.56;123.65;22.21;40.75;16.625;12.775;19.143;30.32;real;real
Aragón;02;2024;real;8.142;58.748;53.965;124.575;23.355;36.275;16.1;12.675;20.326;31.27;real;real
