"tipo","severidad","ccaa","ccaa_id3","anio","capa","concepto","importe_eur","detalle"
"salto_interanual","WARN","Andalucía","and",2023,"autonomica","diversidad",10579800,"Salto interanual 182.8%"
"salto_interanual","WARN","Andalucía","and",2020,"autonomica","empleo",1145803823,"Salto interanual 116.1%"
"salto_interanual","WARN","Andalucía","and",2017,"autonomica","igualdad",116317661,"Salto interanual 2675.5%"
"salto_interanual","WARN","Andalucía","and",2023,"autonomica","igualdad",2327667,"Salto interanual -98.6%"
"salto_interanual","WARN","Andalucía","and",2020,"autonomica","salud_mental",7873415,"Salto interanual -79.4%"
"salto_interanual","WARN","Andalucía","and",2021,"autonomica","salud_mental",31641238,"Salto interanual 301.9%"
"salto_interanual","WARN","Aragón","ara",2024,"autonomica","igualdad",16225351.4,"Salto interanual 96.6%"
"salto_interanual","WARN","Aragón","ara",2016,"autonomica","turismo",23325995.03,"Salto interanual 80.7%"
"salto_interanual","WARN","Aragón","ara",2022,"autonomica","turismo",30748157.19,"Salto interanual 117.1%"
"salto_interanual","WARN","Aragón","ara",2016,"autonomica","vivienda",18502778.26,"Salto interanual -75.2%"
"salto_interanual","WARN","Aragón","ara",2017,"autonomica","vivienda",35198225.63,"Salto interanual 90.2%"
"salto_interanual","WARN","Aragón","ara",2023,"autonomica","vivienda",101296832.15,"Salto interanual 96.0%"
"salto_interanual","WARN","Cantabria","cnt",2020,"autonomica","direccion",8702338,"Salto interanual 355.0%"
"salto_interanual","WARN","Cantabria","cnt",2020,"autonomica","idi",42743819,"Salto interanual 108.7%"
"salto_interanual","WARN","Cantabria","cnt",2019,"autonomica","igualdad",3413851,"Salto interanual 84.0%"
"salto_interanual","WARN","Cantabria","cnt",2020,"autonomica","igualdad",10164005,"Salto interanual 197.7%"
"salto_interanual","WARN","Castilla y León","cym",2023,"autonomica","direccion",3087311,"Salto interanual 87.2%"
"salto_interanual","WARN","Castilla y León","cym",2023,"autonomica","turismo",85235574,"Salto interanual 185.2%"
"salto_interanual","WARN","Castilla-La Mancha","clm",2021,"autonomica","turismo",37795770,"Salto interanual 129.1%"
"salto_interanual","WARN","Castilla-La Mancha","clm",2022,"autonomica","turismo",104299320,"Salto interanual 176.0%"
"salto_interanual","WARN","Castilla-La Mancha","clm",2021,"autonomica","vivienda",110840190,"Salto interanual 86.6%"
"salto_interanual","WARN","Castilla-La Mancha","clm",2023,"autonomica","vivienda",223490620,"Salto interanual 109.7%"
"salto_interanual","WARN","Cataluña","cat",2017,"autonomica","direccion",578468,"Salto interanual 328.4%"
"salto_interanual","WARN","Cataluña","cat",2022,"autonomica","direccion",1747117.5,"Salto interanual 155.4%"
