"ccaa","ccaa_id3","anio","capa","codigo","denominacion","concepto_python","concepto_final","regla_final","fuente_url"
"Cantabria","cnt",2026,"autonomica","231E","DEPENDENCIA, ATENCIÓN SOCIOSANITARIA Y SOLEDAD NO DESEADA","sanidad","dependencia","ccaa_keyword:dependencia","https://www.cantabria.es/documents/16870/124906248/2-+2%C2%BA+INGRESOS+Y+GASTOS+DEFINITIVA.pdf"
"Cantabria","cnt",2025,"autonomica","231E","DEPENDENCIA, ATENCIÓN SOCIOSANITARIA Y SOLEDAD NO DESEADA","sanidad","dependencia","ccaa_keyword:dependencia","https://www.cantabria.es/documents/16870/51252291/02.-+ESTADO+DE+INGRESOS+Y+GASTOS.pdf/6ffdbd50-989b-b540-1261-55c41a8290ed?t=1745912072331"
"Cantabria","cnt",2024,"autonomica","231E","DEPENDENCIA, ATENCIÓN SOCIOSANITARIA Y SOLEDAD NO DESEADA","sanidad","dependencia","ccaa_keyword:dependencia","https://www.cantabria.es/documents/16870/34175817/3.+Estado+de+Ingresos+y+Gastos.pdf/6591a91d-b21f-00cc-75e9-a4cc544308c9?t=1703853508972"
"Cantabria","cnt",2023,"autonomica","331M","DIRECCIÓN Y SERVICIOS GENERALES DE UNIVERSIDADES, IGUALDAD, CULTURA Y DEPORTE","educacion","igualdad","ccaa_keyword:igualdad","https://www.cantabria.es/documents/16870/0/1.-+Estado+de+Ingresos+y+Gastos.pdf/d491a6f2-65a3-c763-3272-501dfb3b07e3?t=1672303614487"
"Cantabria","cnt",2022,"autonomica","331M","DIRECCIÓN Y SERVICIOS GENERALES DE UNIVERSIDADES, IGUALDAD, CULTURA Y DEPORTE","educacion","igualdad","ccaa_keyword:igualdad","https://www.cantabria.es/documents/16870/17593766/Anexo+de+Ingresos+y+Gastos.pdf/b1b3a49c-38fd-c441-5e90-50478af0ed1e?t=1641208054180"
"Cantabria","cnt",2021,"autonomica","451M","DIRECCIÓN Y SERVICIOS GENERALES DE UNIVERSIDADES,IGUALDAD, CULTURA Y DEPORTE","educacion","igualdad","ccaa_keyword:igualdad","https://www.cantabria.es/documents/16870/10159872/ESTADO+DE+INGRESOS+Y+GASTOS.pdf/59354366-4acb-cb35-a66c-16962c88e8c1?t=1610370000924"
"Cantabria","cnt",2020,"autonomica","451M","DIRECCIÓN Y SERVICIOS GENERALES DE UNIVERSIDADES,IGUALDAD, CULTURA Y DEPORTE","educacion","igualdad","ccaa_keyword:igualdad","https://www.cantabria.es/documents/16870/8498099/Estado+Ingresos+y+Gastos+2020.pdf/bc93be69-9a69-943e-6ccb-a9adbe6920ea?t=1577967585034"
"Cataluña","cat",2026,"autonomica","414","SALUT PÚBLICA","salud_mental","sanidad","ccaa_codigo:414","https://aplicacions.economia.gencat.cat/wpres/AppPHP/2026/pdf/VOL_P_EID.pdf"
"Cataluña","cat",2024,"autonomica","414","SALUT PÚBLICA","salud_mental","sanidad","ccaa_codigo:414","https://aplicacions.economia.gencat.cat/wpres/AppPHP/2024/pdf/VOL_P_EID.pdf"
"Cataluña","cat",2025,"autonomica","414","SALUT PÚBLICA","salud_mental","sanidad","ccaa_codigo:414","https://aplicacions.economia.gencat.cat/wpres/AppPHP/2024/pdf/VOL_P_EID.pdf"
