"ccaa_id3","anio","concepto_python","concepto_final","n"
"cat",2015,"salud_mental","sanidad",1
"cat",2016,"salud_mental","sanidad",1
"cat",2017,"salud_mental","sanidad",1
"cat",2018,"salud_mental","sanidad",1
"cat",2019,"salud_mental","sanidad",1
"cat",2020,"salud_mental","sanidad",1
"cat",2021,"salud_mental","sanidad",1
"cat",2022,"salud_mental","sanidad",1
"cat",2023,"salud_mental","sanidad",1
"cat",2024,"salud_mental","sanidad",1
"cat",2025,"salud_mental","sanidad",1
"cat",2026,"salud_mental","sanidad",1
"cnt",2020,"educacion","igualdad",1
"cnt",2021,"educacion","igualdad",1
"cnt",2022,"educacion","igualdad",1
"cnt",2023,"educacion","igualdad",1
"cnt",2024,"sanidad","dependencia",1
"cnt",2025,"sanidad","dependencia",1
"cnt",2026,"sanidad","dependencia",1
"lar",2015,"dependencia","discapacidad",1
"lar",2016,"dependencia","discapacidad",1
"lar",2016,"dependencia","igualdad",1
"mad",2022,"soberania","vivienda",1
"mad",2023,"soberania","vivienda",1
"pvc",2015,"salud_mental","sanidad",1
"pvc",2016,"salud_mental","sanidad",1
"pvc",2017,"salud_mental","sanidad",1
"pvc",2018,"salud_mental","sanidad",1
"pvc",2019,"salud_mental","sanidad",1
"pvc",2020,"salud_mental","sanidad",1
"pvc",2021,"salud_mental","sanidad",1
"pvc",2022,"salud_mental","sanidad",1
"pvc",2023,"salud_mental","sanidad",1
"pvc",2024,"salud_mental","sanidad",1
"pvc",2025,"salud_mental","sanidad",1
"pvc",2026,"salud_mental","sanidad",1
"val",2015,"sanidad","salud_mental",1
"val",2016,"sanidad","salud_mental",1
"val",2017,"sanidad","salud_mental",1
"val",2018,"sanidad","salud_mental",1
"val",2019,"sanidad","salud_mental",1
"val",2020,"sanidad","salud_mental",1
"val",2021,"sanidad","salud_mental",1
"val",2022,"sanidad","salud_mental",1
"val",2023,"sanidad","salud_mental",1
"val",2024,"sanidad","salud_mental",1
