ccaa;periodo;genero;origen;capa;es_prorroga;estimado;pib_regional_eur;pib_origen;imp_dependencia;imp_discapacidad;imp_diversidad;imp_educacion;imp_empleo;imp_idi;imp_igualdad;imp_salud_mental;imp_sanidad;imp_soberania;imp_total;imp_turismo;imp_vivienda;imp_direccion;pib_dependencia;pib_discapacidad;pib_diversidad;pib_educacion;pib_empleo;pib_idi;pib_igualdad;pib_salud_mental;pib_sanidad;pib_soberania;pib_total;pib_turismo;pib_vivienda;pib_direccion;pibreg_dependencia;pibreg_discapacidad;pibreg_diversidad;pibreg_educacion;pibreg_empleo;pibreg_idi;pibreg_igualdad;pibreg_salud_mental;pibreg_sanidad;pibreg_soberania;pibreg_total;pibreg_turismo;pibreg_vivienda;pibreg_direccion;pc_dependencia;pc_discapacidad;pc_diversidad;pc_educacion;pc_empleo;pc_idi;pc_igualdad;pc_salud_mental;pc_sanidad;pc_soberania;pc_total;pc_turismo;pc_vivienda;pc_direccion;var_dependencia;var_discapacidad;var_diversidad;var_educacion;var_empleo;var_idi;var_igualdad;var_salud_mental;var_sanidad;var_soberania;var_total;var_turismo;var_vivienda;var_direccion
Andalucía;2015;total;real;autonomica;FALSE;FALSE;146406094000,00;real;1094401749,00;132779065,00;2588349,00;6587403880,00;1016655555,00;554563795,00;4045206,00;32430242,00;8388296442,00;2320441753,00;NA;100523803,00;253748413,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,7475;0,0907;0,0018;4,4994;0,6944;0,3788;0,0028;0,0222;5,7295;1,5849;NA;0,0687;0,1733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Andalucía;2015;total;real;hacienda;FALSE;FALSE;146406094000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29626197030;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,2356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Andalucía;2016;total;real;autonomica;FALSE;FALSE;149901897000,00;real;1136809504,00;140170311,00;2764143,00;6808224868,00;555967600,00;651517336,00;4190854,00;34632142,00;8657784983,00;2304635011,00;NA;101687931,00;263048857,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,7584;0,0935;0,0018;4,5418;0,3709;0,4346;0,0028;0,0231;5,7756;1,5374;NA;0,0678;0,1755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,87;5,57;6,79;3,35;-45,31;17,48;3,60;6,79;3,21;-0,68;NA;1,16;3,67;NA
Andalucía;2016;total;real;hacienda;FALSE;FALSE;149901897000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31290485550;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,8740;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,62;NA;NA;NA
Andalucía;2017;total;real;autonomica;FALSE;FALSE;156789484000,00;real;1164914040,00;143159588,00;3257191,00;7019185001,00;550008487,00;683769226,00;116317661,00;36175436,00;9129970917,00;2090298945,00;NA;116196102,00;335604120,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,7430;0,0913;0,0021;4,4768;0,3508;0,4361;0,0742;0,0231;5,8231;1,3332;NA;0,0741;0,2140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,47;2,13;17,84;3,10;-1,07;4,95;2675,51;4,46;5,45;-9,30;NA;14,27;27,58;NA
Andalucía;2017;total;real;hacienda;FALSE;FALSE;156789484000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33244588900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,2033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,25;NA;NA;NA
Andalucía;2018;total;real;autonomica;FALSE;FALSE;161894301000,00;real;1196024692,00;153480255,00;4917755,00;7329745592,00;549950970,00;734495734,00;118244988,00;38267726,00;9627553896,00;2125288201,00;NA;118724974,00;335848665,00;NA;0,0990;0,0127;0,0004;0,6066;0,0455;0,0608;0,0098;0,0032;0,7968;0,1759;NA;0,0098;0,0278;NA;0,7388;0,0948;0,0030;4,5275;0,3397;0,4537;0,0730;0,0236;5,9468;1,3128;NA;0,0733;0,2074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,67;7,21;50,98;4,42;-0,01;7,42;1,66;5,78;5,45;1,67;NA;2,18;0,07;NA
Andalucía;2018;total;real;hacienda;FALSE;FALSE;161894301000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34769245000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,8777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,4765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,59;NA;NA;NA
Andalucía;2019;total;real;autonomica;FALSE;FALSE;166478730000,00;real;1195006504,00;155425426,00;4972084,00;7296321233,00;530179843,00;862871752,00;117675286,00;38229327,00;9613264022,00;2228419323,00;NA;120308062,00;338451933,00;NA;0,0959;0,0125;0,0004;0,5858;0,0426;0,0693;0,0094;0,0031;0,7718;0,1789;NA;0,0097;0,0272;NA;0,7178;0,0934;0,0030;4,3827;0,3185;0,5183;0,0707;0,0230;5,7745;1,3386;NA;0,0723;0,2033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,09;1,27;1,10;-0,46;-3,60;17,48;-0,48;-0,10;-0,15;4,85;NA;1,33;0,78;NA
Andalucía;2019;total;real;hacienda;FALSE;FALSE;166478730000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36500755620;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,9306;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,9252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,98;NA;NA;NA
