ccaa_id3,anio,capitulo,codigo,denominacion,importe_eur,capa,fuente_path
and,2022,1,01,Gastos de personal,14009575820.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,2,02,Gastos corrientes en bienes y servicios,5743084730.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,3,03,Gastos financieros,432460240.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,4,04,Transferencias corrientes,12429239710.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,5,05,Fondo de contingencia,16000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,6,06,Inversiones reales,1585974240.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,7,07,Transferencias de capital,1398158500.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,8,08,Activos financieros,4728840.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
and,2022,9,09,Pasivos financieros,4782564800.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_and.xlsx
ara,2022,1,01,Gastos de personal,2505419020.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,2,02,Gastos corrientes en bienes y servicios,916558030.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,3,03,Gastos financieros,157600970.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,4,04,Transferencias corrientes,1693183800.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,5,05,Fondo de contingencia,30398970.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,6,06,Inversiones reales,371958150.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,7,07,Transferencias de capital,404674940.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,8,08,Activos financieros,2250000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ara,2022,9,09,Pasivos financieros,1361801790.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ara.xlsx
ast,2022,1,01,Gastos de personal,1962356060.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,2,02,Gastos corrientes en bienes y servicios,1019298780.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,3,03,Gastos financieros,37636740.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,4,04,Transferencias corrientes,1107543210.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,5,05,Fondo de contingencia,2000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,6,06,Inversiones reales,304180230.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,7,07,Transferencias de capital,320826870.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,8,08,Activos financieros,30083940.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
ast,2022,9,09,Pasivos financieros,570239760.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ast.xlsx
bal,2022,1,01,Gastos de personal,1846850880.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,2,02,Gastos corrientes en bienes y servicios,873102040.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,3,03,Gastos financieros,77312560.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,4,04,Transferencias corrientes,1561050160.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,5,05,Fondo de contingencia,75000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,6,06,Inversiones reales,371527200.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,7,07,Transferencias de capital,371798870.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,8,08,Activos financieros,41014070.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
bal,2022,9,09,Pasivos financieros,1180165930.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_bal.xlsx
can,2022,1,01,Gastos de personal,3739896910.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,2,02,Gastos corrientes en bienes y servicios,1257433800.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,3,03,Gastos financieros,24562350.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,4,04,Transferencias corrientes,2627816060.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,5,05,Fondo de contingencia,61523760.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,6,06,Inversiones reales,737546720.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,7,07,Transferencias de capital,649532040.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,8,08,Activos financieros,16260610.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
can,2022,9,09,Pasivos financieros,859025200.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_can.xlsx
cat,2022,1,01,Gastos de personal,9847711090.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,2,02,Gastos corrientes en bienes y servicios,9912038870.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,3,03,Gastos financieros,639327700.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,4,04,Transferencias corrientes,13908806480.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,5,05,Fondo de contingencia,300000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,6,06,Inversiones reales,1398119100.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,7,07,Transferencias de capital,1360307610.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,8,08,Activos financieros,922262110.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
cat,2022,9,09,Pasivos financieros,10723892260.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cat.xlsx
clm,2022,1,01,Gastos de personal,3843931990.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,2,02,Gastos corrientes en bienes y servicios,1541936020.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,3,03,Gastos financieros,112705460.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,4,04,Transferencias corrientes,2878152070.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,5,05,Fondo de contingencia,32447200.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,6,06,Inversiones reales,826812500.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,7,07,Transferencias de capital,635266570.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,8,08,Activos financieros,2704280.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
clm,2022,9,09,Pasivos financieros,2399559020.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_clm.xlsx
cnt,2022,1,01,Gastos de personal,1090283980.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_cnt.xlsx
