"ccaa_id3","ccaa_ine","anio","pib_regional_eur"
"and","ANDALUCÍA",2015,146406094000
"and","ANDALUCÍA",2016,149901897000
"and","ANDALUCÍA",2017,156789484000
"and","ANDALUCÍA",2018,161894301000
"and","ANDALUCÍA",2019,166478730000
"and","ANDALUCÍA",2020,150452909000
"and","ANDALUCÍA",2021,166296356000
"and","ANDALUCÍA",2022,184364390000
"and","ANDALUCÍA",2023,199406067000
"and","ANDALUCÍA",2024,212359142000
"ara","ARAGÓN",2015,33265930000
"ara","ARAGÓN",2016,34542128000
"ara","ARAGÓN",2017,35983544000
"ara","ARAGÓN",2018,37213896000
"ara","ARAGÓN",2019,38465053000
"ara","ARAGÓN",2020,35955571000
"ara","ARAGÓN",2021,38782157000
"ara","ARAGÓN",2022,43668835000
"ara","ARAGÓN",2023,46778120000
"ara","ARAGÓN",2024,49634925000
"ast","ASTURIAS, PRINCIPADO DE",2015,21388142000
"ast","ASTURIAS, PRINCIPADO DE",2016,21675441000
"ast","ASTURIAS, PRINCIPADO DE",2017,22538267000
"ast","ASTURIAS, PRINCIPADO DE",2018,23185680000
"ast","ASTURIAS, PRINCIPADO DE",2019,23666618000
"ast","ASTURIAS, PRINCIPADO DE",2020,21376392000
"ast","ASTURIAS, PRINCIPADO DE",2021,23617641000
"ast","ASTURIAS, PRINCIPADO DE",2022,26690102000
"ast","ASTURIAS, PRINCIPADO DE",2023,28350371000
"ast","ASTURIAS, PRINCIPADO DE",2024,30012308000
"bal","BALEARS, ILLES",2015,28653742000
"bal","BALEARS, ILLES",2016,30233284000
"bal","BALEARS, ILLES",2017,31746251000
"bal","BALEARS, ILLES",2018,33185968000
"bal","BALEARS, ILLES",2019,34350576000
"bal","BALEARS, ILLES",2020,26669106000
"bal","BALEARS, ILLES",2021,30512146000
"bal","BALEARS, ILLES",2022,37189162000
"bal","BALEARS, ILLES",2023,41502526000
"bal","BALEARS, ILLES",2024,44692852000
"can","CANARIAS",2015,39636569000
"can","CANARIAS",2016,40979670000
"can","CANARIAS",2017,43035839000
"can","CANARIAS",2018,44609266000
"can","CANARIAS",2019,45766832000
"can","CANARIAS",2020,37587399000
"can","CANARIAS",2021,41407275000
"can","CANARIAS",2022,48908196000
"can","CANARIAS",2023,53990089000
"can","CANARIAS",2024,58144618000
"cat","CATALUÑA",2015,206434270000
"cat","CATALUÑA",2016,214502547000
"cat","CATALUÑA",2017,223139777000
"cat","CATALUÑA",2018,231101287000
"cat","CATALUÑA",2019,240165818000
"cat","CATALUÑA",2020,214857435000
"cat","CATALUÑA",2021,234820402000
"cat","CATALUÑA",2022,258787407000
"cat","CATALUÑA",2023,283274025000
"cat","CATALUÑA",2024,302303884000
"clm","CASTILLA - LA MANCHA",2015,37998035000
"clm","CASTILLA - LA MANCHA",2016,39136242000
"clm","CASTILLA - LA MANCHA",2017,40768959000
"clm","CASTILLA - LA MANCHA",2018,42290925000
"clm","CASTILLA - LA MANCHA",2019,43393303000
"clm","CASTILLA - LA MANCHA",2020,40254360000
"clm","CASTILLA - LA MANCHA",2021,44123986000
"clm","CASTILLA - LA MANCHA",2022,50032018000
"clm","CASTILLA - LA MANCHA",2023,52544941000
"clm","CASTILLA - LA MANCHA",2024,55559897000
"cnt","CANTABRIA",2015,12443843000
"cnt","CANTABRIA",2016,12833899000
"cnt","CANTABRIA",2017,13318023000
"cnt","CANTABRIA",2018,13843935000
"cnt","CANTABRIA",2019,14274351000
"cnt","CANTABRIA",2020,12991241000
"cnt","CANTABRIA",2021,14206538000
"cnt","CANTABRIA",2022,15557155000
"cnt","CANTABRIA",2023,16740663000
"cnt","CANTABRIA",2024,17700122000
"cym","CASTILLA Y LEÓN",2015,53183396000
"cym","CASTILLA Y LEÓN",2016,54630532000
"cym","CASTILLA Y LEÓN",2017,55879293000
"cym","CASTILLA Y LEÓN",2018,58326859000
"cym","CASTILLA Y LEÓN",2019,59649198000
"cym","CASTILLA Y LEÓN",2020,54794589000
"cym","CASTILLA Y LEÓN",2021,59465900000
"cym","CASTILLA Y LEÓN",2022,65467208000
"cym","CASTILLA Y LEÓN",2023,69893920000
"cym","CASTILLA Y LEÓN",2024,73992645000
"ext","EXTREMADURA",2015,18494971000
"ext","EXTREMADURA",2016,19069471000
"ext","EXTREMADURA",2017,20169546000
"ext","EXTREMADURA",2018,20713254000
"ext","EXTREMADURA",2019,21166132000
"ext","EXTREMADURA",2020,19497343000
"ext","EXTREMADURA",2021,21551517000
"ext","EXTREMADURA",2022,23486645000
"ext","EXTREMADURA",2023,25192615000
"ext","EXTREMADURA",2024,26583476000
"gal","GALICIA",2015,57010602000
"gal","GALICIA",2016,58564023000
"gal","GALICIA",2017,60630852000
"gal","GALICIA",2018,62649363000
"gal","GALICIA",2019,64502005000
"gal","GALICIA",2020,59007178000
"gal","GALICIA",2021,64387386000
"gal","GALICIA",2022,71636381000
"gal","GALICIA",2023,77461411000
"gal","GALICIA",2024,81839712000
"lar","RIOJA, LA",2015,8033065000
"lar","RIOJA, LA",2016,8074094000
"lar","RIOJA, LA",2017,8351707000
"lar","RIOJA, LA",2018,8649852000
"lar","RIOJA, LA",2019,8889997000
"lar","RIOJA, LA",2020,8186915000
"lar","RIOJA, LA",2021,8735750000
"lar","RIOJA, LA",2022,9767469000
"lar","RIOJA, LA",2023,10476650000
"lar","RIOJA, LA",2024,11111889000
"mad","MADRID, COMUNIDAD DE",2015,206231525000
"mad","MADRID, COMUNIDAD DE",2016,214469101000
"mad","MADRID, COMUNIDAD DE",2017,224373156000
"mad","MADRID, COMUNIDAD DE",2018,233735808000
"mad","MADRID, COMUNIDAD DE",2019,243889359000
"mad","MADRID, COMUNIDAD DE",2020,221061932000
"mad","MADRID, COMUNIDAD DE",2021,239837609000
