ccaa,anio,poblacion,fuente
Andalucía,2024,8631567,INE Cifras de población
Aragón,2024,1346293,INE Cifras de población
Principado de Asturias,2024,1011792,INE Cifras de población
Islas Baleares,2024,1219423,INE Cifras de población
Canarias,2024,2213016,INE Cifras de población
Cantabria,2024,587672,INE Cifras de población
Castilla y León,2024,2383139,INE Cifras de población
Castilla-La Mancha,2024,2080226,INE Cifras de población
Cataluña,2024,8013974,INE Cifras de población
Comunidad Valenciana,2024,5197788,INE Cifras de población
Extremadura,2024,1056271,INE Cifras de población
Galicia,2024,2697297,INE Cifras de población
Comunidad de Madrid,2024,6926866,INE Cifras de población
Región de Murcia,2024,1545478,INE Cifras de población
Comunidad Foral de Navarra,2024,673358,INE Cifras de población
País Vasco,2024,2216787,INE Cifras de población
La Rioja,2024,323922,INE Cifras de población
Ceuta,2024,83117,INE Cifras de población
Melilla,2024,86384,INE Cifras de población
Andalucía,2025,8693000,INE proyección
Aragón,2025,1352000,INE proyección
Principado de Asturias,2025,1009000,INE proyección
Islas Baleares,2025,1235000,INE proyección
Canarias,2025,2230000,INE proyección
Cantabria,2025,589000,INE proyección
Castilla y León,2025,2380000,INE proyección
Castilla-La Mancha,2025,2090000,INE proyección
Cataluña,2025,8050000,INE proyección
Comunidad Valenciana,2025,5230000,INE proyección
Extremadura,2025,1054000,INE proyección
Galicia,2025,2698000,INE proyección
Comunidad de Madrid,2025,6970000,INE proyección
Región de Murcia,2025,1555000,INE proyección
Comunidad Foral de Navarra,2025,676000,INE proyección
País Vasco,2025,2220000,INE proyección
La Rioja,2025,325000,INE proyección
Ceuta,2025,83500,INE proyección
Melilla,2025,86800,INE proyección
Andalucía,2026,8755000,INE proyección
Aragón,2026,1358000,INE proyección
Principado de Asturias,2026,1006000,INE proyección
Islas Baleares,2026,1251000,INE proyección
Canarias,2026,2245000,INE proyección
Cantabria,2026,590000,INE proyección
Castilla y León,2026,2377000,INE proyección
Castilla-La Mancha,2026,2100000,INE proyección
Cataluña,2026,8086000,INE proyección
Comunidad Valenciana,2026,5260000,INE proyección
Extremadura,2026,1052000,INE proyección
Galicia,2026,2699000,INE proyección
Comunidad de Madrid,2026,7015000,INE proyección
Región de Murcia,2026,1565000,INE proyección
Comunidad Foral de Navarra,2026,679000,INE proyección
País Vasco,2026,2224000,INE proyección
La Rioja,2026,326000,INE proyección
Ceuta,2026,83800,INE proyección
Melilla,2026,87200,INE proyección
