"ccaa_id3","ccaa","anio","codigo","denominacion","importe_eur","concepto","capitulo","pagina","fuente_path","fuente_url","es_prorroga","consolidacion","unidad_origen","alias"
"and","Andalucía",2026,"11A","D.S.G. PRESIDENCIA Y EMERGENCIAS 65.984.139 14.482.560 439.439 3.384.720 84.290.858 2.941.693 159.150 3.100.843",87391701,"",,37,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"22B","INTERIOR, EMERGENCIAS Y PROTECCIÓN CIVIL 10.914.428 19.692.646 226.972.292 257.579.366 677.000 53.067.324 53.744.324",311323690,"",,37,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"52C","COMUNICACIÓN SOCIAL 2.253.717 1.355.945 173.741.085 177.350.747 17.189.596 1.853.063 19.042.659",196393406,"",,37,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11B","ACTIVIDAD LEGISLATIVA 25.249.070 10.025.620 600 13.412.630 48.687.920 1.965.370 1.965.370 225.000 225.000",50878290,"",,56,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11C","CONTROL EXTERNO DEL SECTOR PÚBLICO 7.133.270 1.107.740 67.850 8.308.860 200.000 200.000",8508860,"",,56,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11J","INVEST.PREVENC. Y LUCHA CONTRA FRAUDE Y 2.113.610 591.540 100 2.705.250 40.800 40.800 1.000 1.000",2747050,"",,56,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11C","CONTROL EXTERNO DEL SECTOR PÚBLICO 11.876.435 2.700.046 900 182.458 10.000 14.769.839 1.574.638 1.574.638 27.741 27.741",16372218,"",,65,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11D","ALTO ASESORAMIENTO DE LA COMUNIDAD 3.724.792 379.222 4.104.014 165.000 165.000",4269014,"",,73,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11H","AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL 2.997.256 1.017.579 4.014.835 448.278 448.278",4463113,"",,81,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
"and","Andalucía",2026,"11I","AUT. MAT. TRANSPARENCIA Y PROTECCIÓN DE 3.480.037 370.826 3.850.863 862.332 862.332",4713195,"",,91,"/Users/cristiancpv/Desktop/TRABAJO/OBSERVATORIO/CANARIAS EN DATOS/Presupuestos/fuentes/raw/and/2026/memoria_programas.pdf","https://www.juntadeandalucia.es/export/presup2026/estado/programas/tomo12-5b.pdf",FALSE,"consolidado","eur","memoria_programas"
