anio,codigo,denominacion,seccion,n_lineas,importe_eur,en_staging,concepto_origen,concepto_modelo,concepto_memoria,score,margen,evidencia,objetivos
2017,11A,D.S.G. DE LA PRESIDENCIA Y ADMINISTRACIÓN LOCAL,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,15,78573184.0,sí,direccion,direccion,direccion,14,14,CONSEJO DE GOBIERNO×2; ASESORAMIENTO JURIDICO×2,"RELACIONES INSTITUCIONALES · ASESORAMIENTO JURÍDICO, REPRESENTACIÓN Y DEFENSA · ASISTENCIA TÉCNICA Y LEGISLATIVA Y PREPARACIÓN CONSEJO DE GOBIERNO Y COMISIÓN · ADMINISTRACIÓN GENERAL DE LA CONSEJERÍA Y COORDINACIÓN DE ÓRGANOS PERIFÉRICOS · NUEVAS TECNOLOGÍAS APLICADAS AL GOBIERNO ABIERTO, TRANSPARENCIA Y PORTAL · COORDINACIÓN ENTRE EL CONSEJO DE GOBIERNO Y EL PARLAMENTO · TRAMITACIÓN DE INICIATIVAS LEGISLATIVAS · ASESORAMIENTO JURÍDICO, REPRESENTACIÓN Y DEFENSA · ASISTENCIA TÉCNICA Y LEGISLATIVA Y PREPARACIÓN CONSEJO GOBIERNO Y COMISIÓN VICECONSEJEROS · ELABORACIÓN DE NORMATIVA CON PERSPECTIVA"
2017,11A,D.S.G. DE LA PRESIDENCIA Y ADMINISTRACIÓN LOCAL,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,78573184.0,sí,direccion,direccion,,0,0,,
2017,11A,D.S.G. DE LA PRESIDENCIA Y ADMINISTRACIÓN LOCAL,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,78573184.0,sí,direccion,direccion,,0,0,,
2017,12D,COBERTURA INFORMATIVA,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,10,4079253.0,sí,,direccion,,0,0,,ACTUALIZACIÓN PORTAL WEB Y REDES SOCIALES · DIFUSIÓN DE LA ACTIVIDAD DEL GOBIERNO ANDALUZ · ÁREA TÉCNICA Y SERVICIOS AUDIOVISUALES · SEGUIMIENTO INFORMATIVO DIARIO DE MEDIOS ESCRITOS Y AUDIOVISUALES · ACTUALIZACIÓN PORTAL WEB · REDES SOCIALES · DIFUSIÓN DE LA ACTIVIDAD DEL GOBIERNO ANDALUZ · CONVOCATORIAS GUBERNAMENTALES · ÁREA TÉCNICA Y DE SERVICIOS AUDIOVISUALES · SEGUIMIENTO INFORMATIVO DIARIO DE MEDIOS ESCRITOS Y AUDIOVISUALES
2017,12D,COBERTURA INFORMATIVA,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,4079253.0,sí,,direccion,,0,0,,
2017,12D,COBERTURA INFORMATIVA,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,4079253.0,sí,,direccion,,0,0,,
2017,12E,B.O.J.A.,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,6,3068013.0,sí,,,,0,0,,"PUBLICACIÓN DE DISPOSICIONES EN EL BOJA · OTRAS PUBLICACIONES · EDICIÓN, AUTENTICACIÓN Y DISTRIBUCIÓN DEL BOJA EN SU SEDE ELECTRÓNICA · GESTIÓN DE TASAS, REALIZACIÓN DE LIQUIDACIONES, COBROS Y PAGOS · OPTIMIZAR LOS MEDIOS DE PUBLICACIÓN · ACORDAR LA REALIZACIÓN DE OTRAS PUBLICACIONES"
2017,52C,COMUNICACION SOCIAL,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,12,148417532.0,sí,,direccion,,0,0,,MANTENER LA SUPERVISIÓN DE LOS SERVICIOS DE COMUNICACIÓN AUDIOVISUAL PÚBLICOS Y PRIVADOS · MANTENER LA GESTIÓN DE LAS LICENCIAS OTORGADAS DE RADIO FM Y TELEVISIÓN LOCAL Y AUTONÓMICA · MANTENER EL IMPULSO Y LA ORDENACIÓN DEL SECTOR AUDIOVISUAL EN ANDALUCÍA · MANTENER Y AUMENTAR LA COORDINACIÓN DE LA COMUNICACIÓN INSTITUCIONAL Y EL ASESORAMIENTO · MANTENER EL APOYO A LA LABOR INFORMATIVA Y CULTURAL DE LOS MEDIOS DE COMUNICACIÓN EN · REALIZAR ACTUACIONES DE CONTROL Y DE INSPECCIÓN SOBRE LAS EMISORAS DE RADIO Y TELEVISIÓN · INCOAR Y TRAMITAR LOS PROCEDIMIENTOS SANCIONADORES CORRESPONDIENTES · REAL
2017,52C,COMUNICACION SOCIAL,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,148417532.0,sí,,direccion,,0,0,,
2017,81A,COOP. ECONOMICA Y COORDINACION CON LAS CC.LL.,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,6,82951415.0,sí,,direccion,,0,0,,COOPERAR ECONÓMICA Y FINANCIERAMENTE CON LAS CCLL EN MATERIA DE EMPLEO Y ASESORAR A LAS · PROFEA · SUBVENCIONES A MUNICIPIOS Y ENTIDADES LOCALES AUTÓMOMAS CON MENOS DE 1500 HABITANTES · SUBVENCIONES A ACTUACIONES EXTRAORDINARIAS EN MATERIA DE INFRAESTRUCTURAS · ADQUISICIÓN DE VEHÍCULOS PARA SUBVENCIONES EN ESPECIE · SUBVENCIONES GASTOS CORRIENTES CORPORACIONES LOCALES
2017,82A,ACCION EXTERIOR,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,19,5920106.0,sí,,direccion,,0,0,,ASEGURAR LA REPRESENTACIÓN INSTITUCIONAL Y FOMENTAR LA INTEGRACIÓN DE ANDALUCÍA EN EL · INFORMACIÓN Y FORMACIÓN SOBRE LA UNIÓN EUROPEA · COOPERACIÓN CON OTRAS REGIONES Y COORDINACIÓN DE LA COOPERACIÓN TERRITORIAL · FOMENTO DE LA PARTICIPACIÓN DE LOS ANDALUCES Y ANDALUZAS EN EL MUNDO · ACUERDOS INSTITUCIONALES · DEFENSA Y PROMOCIÓN DE LOS INTERESES DE ANDALUCÍA EN EL EXTERIOR · APOYO A LA RED DE INFORMACIÓN EUROPEA DE ANDALUCÍA · DIFUSIÓN DE LA RED DE INFORMACIÓN EUROPEA DE ANDALUCÍA · BECAS DE FORMACIÓN · PUBLICACIÓN DE LA REVISTA EUROPA-JUNTA · ACTIVIDADES FORMATIVAS SOBRE LA UNIÓN EUROPEA · 
2017,82A,ACCION EXTERIOR,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,5920106.0,sí,,direccion,,0,0,,
2017,11B,ACTIVIDAD LEGISLATIVA,PARLAMENTO DE ANDALUCIA,0,40191255.0,sí,direccion,direccion,,0,0,,
2017,11C,CONTROL EXTERNO DEL SECTOR PUBLICO,PARLAMENTO DE ANDALUCIA,0,10408549.0,sí,direccion,direccion,,0,0,,
