concepto,and,ara,ast,bal,can,cat,clm,cnt,cym,ext,gal,lar,mad,mur,nav,pvc,val,ccaa_con_dato,total_celdas_con_dato_de_204
sanidad,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,204
educacion,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,204
soberania,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,17,203
direccion,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,204
vivienda,12,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,17,201
empleo,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,204
idi,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,17,200
dependencia,12,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,12,14,168
discapacidad,12,0,0,12,12,12,12,2,12,0,0,9,11,12,4,0,11,12,121
salud_mental,12,3,0,12,3,12,0,0,12,0,0,3,0,12,12,12,12,11,105
diversidad,12,11,6,12,12,12,12,12,12,12,11,9,12,12,12,12,12,17,193
turismo,12,12,12,12,12,12,12,12,12,12,8,11,12,12,12,12,12,17,199
igualdad,12,12,12,12,12,12,12,12,12,12,7,9,12,12,12,12,12,17,196
