ccaa,anio,total_eur,sanidad_eur
and,2015,37966783094,16163092192
and,2016,40371141154,16800360673
and,2017,28183842108,9166146353
and,2018,29684736883,9665821622
and,2019,29772671496,9651493349
and,2020,49579668845,20857500867
and,2021,55825949055,22948933548
and,2022,34992336214,12193111527
and,2023,24242719651,167659520
and,2024,24445282958,170466279
and,2025,25486993320,138435474
and,2026,26797596525,144283216
ara,2015,7112002360,3049053268
ara,2017,7780521619,3650707454
ara,2018,8496432175,3848592671
ara,2019,8496432175,3848592671
ara,2020,8874973814,3980896808
ara,2021,10113776162,4513083690
ara,2022,10030644372,4318491618
ara,2023,11164691009,4894770090
ara,2024,11763432661,5329271596
ara,2025,11763432661,5329271596
ara,2026,11763432661,5329271596
ast,2015,5128127985,2917188581
ast,2016,3533329113,1639849636
ast,2017,3652359513,1668954671
ast,2018,3817853400,1699483931
ast,2019,3911668660,1751509971
ast,2020,4032978886,1800273453
ast,2021,4465427088,1942029769
ast,2023,5198044185,2115483423
ast,2024,5435090720,2322856371
ast,2025,5747795173,2446640883
ast,2026,6025443889,2549313952
bal,2015,2728976846,1291256601
bal,2016,3221061608,1366215461
bal,2018,3850752236,1551377138
bal,2019,4247830548,1703914498
bal,2020,4568726905,1702221848
bal,2021,4602843779,1757012265
bal,2022,6345626209,1935497174
bal,2023,7070744264,2195791259
bal,2024,7095630696,2269327611
bal,2025,6330072428,2390422737
can,2018,6993871736,2739331429
can,2019,7505832366,2832284041
can,2020,7693282522,2970146413
can,2021,8039047347,3087889730
can,2022,8604863295,3225053055
can,2023,9696406641,3575288879
can,2024,10740969716,4107830708
can,2025,11103986856,4308305923
can,2026,11905086128,4541569489
cat,2015,32483085946,8258548091
cat,2016,22981881781,9861113857
cat,2017,23449867803,10050870577
cat,2019,24834464486,10638259847
cat,2020,25790323106,10993099823
cat,2022,27484676785,11874736810
cat,2023,29355153955,12989730832
cat,2024,30491705294,13521937151
cat,2026,35196162174,15032934639
clm,2024,12473342760,3909573620
clm,2025,12716180030,3834163140
clm,2026,12903391310,4126166360
cnt,2025,3967427305,1269344860
cym,2026,14562494117,4812765002
ext,2025,5400681232,2317596033
ext,2026,5074192503,2554257846
gal,2025,14185738910,5458255848
lar,2025,1711462487,640739777
mad,2026,52134248228,11382187148
mur,2025,6822255955,2487739612
nav,2026,6318652183,1508379759
pvc,2022,27807126101,4161961455
pvc,2024,32906327759,4895791100
pvc,2025,34303204000,5113292413
pvc,2026,34453859656,5287693203
val,2022,27967471340,7824377320
val,2023,28438260300,8244060650
val,2024,29732195350,8484087430
val,2025,32291432470,8994839160
