ccaa,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
and,29626197030,31290485550,33244588900,34769245000,36500755620,38545964430,40188042630,40401786880,45603830860,46753227860,48871600760
ara,5254454310,5129958000,5577164930,6162313660,6162313660,6466530740,7454031860,7443845670,8249589670,8546300920,8546300920
ast,3958604070,3953677620,4225564280,4213439720,4524241250,4757273750,5237551810,5354165590,5968218490,6348595440,6664478950
bal,4035591970,4240896700,4668235900,5008809100,5457748640,5893123690,5881551720,6397821710,7133371710,7320653460,7469140340
can,6901411560,7264829300,7339187980,8272992460,8833481410,9603397680,9531472040,9973597450,11059201620,11970645250,12342736470
cat,32618399450,32607801330,34163865020,34120806840,34119463850,42322981600,42322981600,49012465220,51807587280,51827587280,50605289010
clm,8206375740,8420148970,8941001030,9219096050,9219096050,10505083310,12102388410,12273515110,12431575550,12473342760,12716180030
cnt,2500549880,2465472870,2602893960,2730974340,2853763310,2888232610,3078036790,3342636840,3507353710,3547667860,3755661620
cym,9920811750,9843699240,10293186360,10859218620,10784981500,10752614220,12291444520,12291444520,13809836900,14562494140,14562494140
ext,5365699570,5197428070,5171626730,5433975910,5797947040,6005877870,6423894820,6999970110,7781092750,8127109110,8098337980
gal,9790361600,10310241400,11029406160,10723973150,11544351290,11821575340,13396505630,13117948260,14167171160,14815200880,15740540500
lar,1286765230,1337122830,1455645500,1518988700,1488404790,1574571170,1891434670,1949893600,1908873130,1973863310,2114703990
mad,20852588670,20139609310,20504093720,21633750660,22776618160,23333117430,25878871500,25999172470,28142467650,30584355910,31596299960
mur,4642208100,4916213040,5092676850,5515448390,5800296390,6197019180,6753606730,6962801970,7770713390,7819336870,8037477030
nav,3792808410,4005305030,4061878790,4164135420,4312085790,4573798030,4870520380,5273126610,5748951180,6355410180,6431264950
pvc,10700729680,10995489510,11125140970,11578805630,11219941880,11856675110,12522062100,13187367280,14361725450,15147034380,15811133330
val,17564123140,17561478480,18137748810,20414354810,22597016020,23531232040,26138651980,28632359900,29120879530,30410305550,32976869660
