ccaa,anio,estado,url,fichero,paginas,marcas,nota
and,2015,ROJO,,,,,tomo12 no accesible por patrón; sospecha: archivo histórico CEHAP (web antigua economiayhacienda)
and,2016,ROJO,,,,,tomo12 no accesible por patrón; sospecha: archivo histórico CEHAP (web antigua economiayhacienda)
and,2017,VERDE_REPO,(en repo),fuentes/raw/and/2017/memoria_programas.pdf,766,886,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2018,VERDE_REPO,(en repo),fuentes/raw/and/2018/memoria_programas.pdf,852,1148,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2019,VERDE_REPO,(en repo),fuentes/raw/and/2019/memoria_programas.pdf,858,1151,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2020,ROJO,,,,,tomo12 no accesible por patrón; sospecha: archivo histórico CEHAP (web antigua economiayhacienda)
and,2021,ROJO,,,,,tomo12 no accesible por patrón; sospecha: archivo histórico CEHAP (web antigua economiayhacienda)
and,2022,VERDE_REPO,(en repo),fuentes/raw/and/2022/memoria_programas.pdf,905,1355,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2023,VERDE_REPO,(en repo),fuentes/raw/and/2023/memoria_programas.pdf,827,1572,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2024,VERDE_REPO,(en repo),fuentes/raw/and/2024/memoria_programas.pdf,847,1622,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2025,VERDE_REPO,(en repo),fuentes/raw/and/2025/memoria_programas.pdf,879,1542,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
and,2026,VERDE_REPO,(en repo),fuentes/raw/and/2026/memoria_programas.pdf,910,1594,tomo12-5b: fichas OE/OO/ACT+indicadores (verif. sidecar completo)
ara,2015,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2016,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2017,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2018,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2019,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2020,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2021,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2022,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2023,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2024,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2025,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ara,2026,ROJO,,,,,aragon.es slugs opacos (?download); memorias de programas no enlazadas estáticamente
ast,2015,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2016,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2017,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2018,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2019,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2020,VERDE,https://transparencia.asturias.es/documents/2213862/2215811/tomo_III.pdf,fuentes/raw/ast/2020/memoria/tomoIII_2020.pdf,189,13,verificada (muestreo denso)
ast,2021,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2022,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2023,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2024,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2025,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
ast,2026,ROJO,,,,,Liferay exige uuid; tomo_III localizado solo donde el folder resuelve por nombre
bal,2015,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2016,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2017,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2018,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2019,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2020,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2021,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2022,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
bal,2023,ROJO,,,,,frameset sin sección de memòries localizable estáticamente
