ccaa_id3,anio,pib_regional_eur,pib_lo,pib_hi,origen_pib,g_media_hist,n_growths
and,2025,222116470593.18,191916713123.92,235431879672.42,proyeccion,0.04,9
and,2026,235169103530.32,197351299392.83,254639983197.91,proyeccion,0.04,9
ara,2025,51706151620.83,46396714178.9,55889087088.74,proyeccion,0.04,9
ara,2026,54863918381.9,47983114064.45,59868471932.62,proyeccion,0.04,9
ast,2025,31206996480.04,27108007600.95,33916662624.16,proyeccion,0.04,9
ast,2026,32540503695.64,27670306009.26,36026462861.65,proyeccion,0.04,9
bal,2025,47156552442.12,34698643988.69,54473051920.7,proyeccion,0.05,9
bal,2026,50781507109.37,36272254290.81,60791078154.39,proyeccion,0.05,9
can,2025,61062044154.2,47753031201.04,68677505909.03,proyeccion,0.04,9
can,2026,65760759009.77,49371161770.29,75656960820.54,proyeccion,0.04,9
cat,2025,314476551469.54,270447466869.65,333158608025.84,proyeccion,0.04,9
cat,2026,335602542224.51,281017635653.41,364113246843.84,proyeccion,0.04,9
clm,2025,57877789156.08,51540858629.75,62999153494.02,proyeccion,0.04,9
clm,2026,60528774710.72,53084732308.44,66613957739.82,proyeccion,0.04,9
cnt,2025,18399077585.32,16109072183.49,19382874383.11,proyeccion,0.04,9
cnt,2026,19638827481.91,16614015894.17,21166619148.6,proyeccion,0.04,9
cym,2025,77233592986.8,67970680373.57,81459994394.86,proyeccion,0.04,9
cym,2026,80786752445.53,69524374465.26,86968094491.44,proyeccion,0.04,9
ext,2025,28051125150.87,24487570506.71,29384220964.52,proyeccion,0.04,9
ext,2026,29283045487.13,25147678968.5,31571705572.6,proyeccion,0.04,9
gal,2025,84727981648.3,74867912299.05,91053561170.54,proyeccion,0.04,9
gal,2026,89517006299.28,77081876370.44,98457476862.84,proyeccion,0.04,9
lar,2025,11508568881.84,10233084525.5,12424237339.55,proyeccion,0.04,9
lar,2026,12112848663.08,10517184656.16,13257134261.07,proyeccion,0.04,9
mad,2025,330794990991.15,286598470488.38,352229491607.76,proyeccion,0.05,9
mad,2026,356751462437.7,298557662892.46,387952297042.72,proyeccion,0.05,9
mur,2025,44209906961.56,39191604186.7,47263962090.76,proyeccion,0.04,9
mur,2026,46619073818.13,40320807327.9,51777210082.21,proyeccion,0.04,9
nav,2025,27727717738.53,24206861352.2,29666504049.0,proyeccion,0.04,9
nav,2026,29541097405.47,24968558722.24,31930570511.07,proyeccion,0.04,9
pvc,2025,94984725555.02,82541359738.13,101347382351.89,proyeccion,0.04,9
pvc,2026,100311243579.29,85131064363.74,109597288210.68,proyeccion,0.04,9
val,2025,154631870325.76,134901834988.61,162710593135.99,proyeccion,0.04,9
val,2026,164184591233.37,139495040272.36,178185658618.65,proyeccion,0.04,9
