ccaa,ccaa_nombre,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
and,Andalucía,29.48,31.13,33.07,34.59,34.69,38.28,39.75,39.92,44.67,45.74,48.38,51.12
ara,Aragón,7.11,5.15,5.6,6.19,6.19,6.51,7.5,7.5,8.31,8.61,8.61,8.61
ast,Asturias,3.83,3.99,4.1,4.36,4.39,4.61,5.1,5.24,5.85,6.24,6.56,6.87
bal,Baleares,4.01,4.22,4.65,4.98,5.44,5.77,5.85,6.37,7.09,7.11,6.35,6.44
can,Canarias,5.9,5.94,6.31,7.0,7.51,7.7,8.04,8.61,9.7,10.75,11.11,11.91
cat,Cataluña,32.48,33.65,33.94,33.94,38.08,42.07,42.07,48.75,51.53,51.54,51.54,56.82
clm,C.-La Mancha,6.94,7.11,7.41,7.61,7.61,8.09,9.67,12.26,12.42,12.47,12.72,12.9
cnt,Cantabria,2.51,2.48,2.62,2.74,2.87,2.9,3.09,3.36,3.52,3.57,3.79,3.97
cym,C. y León,9.92,9.84,10.29,10.86,10.86,10.86,12.29,12.29,13.81,14.56,14.56,14.56
ext,Extremadura,5.37,5.2,5.17,5.43,5.8,6.01,6.42,6.98,7.78,8.13,8.13,8.13
gal,Galicia,9.55,10.1,10.61,10.52,11.34,11.59,13.18,12.84,13.92,14.52,15.46,16.04
lar,La Rioja,1.28,1.33,1.45,1.3,1.53,1.56,1.81,1.82,1.73,1.95,2.01,2.03
mad,Madrid,20.85,20.14,20.5,21.63,22.78,22.78,22.78,25.9,25.9,30.45,31.45,33.27
mur,Murcia,4.91,5.14,5.32,5.77,6.06,6.46,7.05,7.27,8.16,8.24,8.46,8.46
nav,Navarra,3.46,3.51,3.73,3.89,4.02,4.26,4.48,4.77,5.24,5.84,5.99,6.32
pvc,País Vasco,11.63,11.94,12.09,12.55,12.85,12.87,13.58,14.17,15.5,16.35,17.07,17.5
val,C. Valenciana,17.19,17.16,17.72,19.96,22.1,23.02,25.63,27.97,28.44,29.73,32.29,33.31
