ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,pib_lo,pib_hi,imp_social_total,pct_pib_social_total,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,pct_pib_sanidad,pct_pib_educacion,pct_pib_soberania,pct_pib_direccion,pct_pib_vivienda,pct_pib_empleo,pct_pib_idi,pct_pib_dependencia,pct_pib_discapacidad,pct_pib_salud_mental,pct_pib_diversidad,pct_pib_turismo,pct_pib_igualdad
and,Andalucía,2015,146406094000.0,real,,,27924592936.0,19.0734,8388296442.0,6587403880.0,2320441753.0,6844554769.0,253748413.0,1016655555.0,554563795.0,1094401749.0,132779065.0,32430242.0,594748264.0,100523803.0,4045206.0,5.7295,4.4994,1.5849,4.675,0.1733,0.6944,0.3788,0.7475,0.0907,0.0222,0.4062,0.0687,0.0028
and,Andalucía,2016,149901897000.0,real,,,28619290787.0,19.092,8657784983.0,6808224868.0,2304635011.0,7322807362.0,263048857.0,555967600.0,651517336.0,1136809504.0,140170311.0,34632142.0,637814028.0,101687931.0,4190854.0,5.7756,4.5418,1.5374,4.8851,0.1755,0.3709,0.4346,0.7584,0.0935,0.0231,0.4255,0.0678,0.0028
and,Andalucía,2017,156789484000.0,real,,,25720385227.0,16.4044,9129970917.0,7019185001.0,689198945.0,5259118498.0,335604120.0,550008487.0,683769226.0,1164914040.0,143159588.0,36175436.0,476767206.0,116196102.0,116317661.0,5.8231,4.4768,0.4396,3.3543,0.214,0.3508,0.4361,0.743,0.0913,0.0231,0.3041,0.0741,0.0742
and,Andalucía,2018,161894301000.0,real,,,27155107489.0,16.7734,9627553896.0,7329745592.0,724288201.0,5692789642.0,335848665.0,549950970.0,734495734.0,1196024692.0,153480255.0,38267726.0,535692154.0,118724974.0,118244988.0,5.9468,4.5275,0.4474,3.5164,0.2074,0.3397,0.4537,0.7388,0.0948,0.0236,0.3309,0.0733,0.073
and,Andalucía,2019,166478730000.0,real,,,27427878122.0,16.4753,9613264022.0,7296321233.0,827419323.0,5831865932.0,338451933.0,530179843.0,814451876.0,1195006504.0,155425426.0,38229327.0,549279355.0,120308062.0,117675286.0,5.7745,4.3827,0.497,3.5031,0.2033,0.3185,0.4892,0.7178,0.0934,0.023,0.3299,0.0723,0.0707
and,Andalucía,2020,150452909000.0,real,,,36174478661.0,24.0437,10765885257.0,7887891327.0,2577053563.0,10281592450.0,318299022.0,1145803823.0,705858590.0,1509239704.0,192851292.0,7873415.0,560066913.0,86689827.0,135373478.0,7.1557,5.2428,1.7129,6.8338,0.2116,0.7616,0.4692,1.0031,0.1282,0.0052,0.3723,0.0576,0.09
and,Andalucía,2021,166296356000.0,real,,,37452980735.0,22.5218,11453591430.0,8500803036.0,2824012606.0,10087754255.0,309672280.0,1245388445.0,433671834.0,1610002176.0,194332129.0,31641238.0,520674612.0,101135162.0,140301532.0,6.8875,5.1118,1.6982,6.0661,0.1862,0.7489,0.2608,0.9682,0.1169,0.019,0.3131,0.0608,0.0844
and,Andalucía,2022,184364390000.0,real,,,32912533557.0,17.8519,12214500940.0,8744579745.0,1254456779.0,6548679951.0,246777546.0,929484859.0,278322080.0,1762584911.0,203115125.0,32325730.0,418245876.0,118299282.0,161160733.0,6.6252,4.7431,0.6804,3.552,0.1339,0.5042,0.151,0.956,0.1102,0.0175,0.2269,0.0642,0.0874
and,Andalucía,2023,199406067000.0,real,,,34998292955.0,17.5513,13644937026.0,8808586626.0,890403807.0,7261813138.0,418602732.0,696433298.0,359531438.0,2041969111.0,222481616.0,33167180.0,419410497.0,198628819.0,2327667.0,6.8428,4.4174,0.4465,3.6417,0.2099,0.3493,0.1803,1.024,0.1116,0.0166,0.2103,0.0996,0.0012
and,Andalucía,2024,212359142000.0,real,,,35569279759.0,16.7496,14055560408.0,9319094156.0,1027298672.0,6417772418.0,448235300.0,781223880.0,362235848.0,2229589384.0,252376683.0,33795836.0,462613276.0,177174289.0,2309609.0,6.6188,4.3884,0.4838,3.0221,0.2111,0.3679,0.1706,1.0499,0.1188,0.0159,0.2178,0.0834,0.0011
and,Andalucía,2025,222116470593.1817,proyeccion,191916713123.9173,235431879672.4164,37421344432.0,16.8476,15041542563.0,9693334966.0,1059877200.0,6468741330.0,488873782.0,781206513.0,443415578.0,2616898816.0,265377200.0,33157283.0,379680171.0,146517976.0,2721054.0,6.7719,4.3641,0.4772,2.9123,0.2201,0.3517,0.1996,1.1782,0.1195,0.0149,0.1709,0.066,0.0012
and,Andalucía,2026,235169103530.3166,proyeccion,197351299392.8308,254639983197.9146,39332740735.0,16.7253,15950811279.0,9998482040.0,912065768.0,6716313527.0,719346413.0,782050538.0,471728406.0,2913064494.0,268836077.0,36381544.0,400858172.0,160831101.0,1971376.0,6.7827,4.2516,0.3878,2.856,0.3059,0.3325,0.2006,1.2387,0.1143,0.0155,0.1705,0.0684,0.0008
ara,Aragón,2015,33265930000.0,real,,,3548324790.51,10.6665,1535750491.04,879551896.15,648055750.07,180879870.64,74547890.45,152485607.67,57787366.51,0.0,0.0,0.0,0.0,12905535.98,6360382.0,4.6166,2.644,1.9481,0.5437,0.2241,0.4584,0.1737,0.0,0.0,0.0,0.0,0.0388,0.0191
ara,Aragón,2016,34542128000.0,real,,,3746872588.05,10.8473,1754952441.55,958476678.66,631230481.22,147185493.36,18502778.26,153849194.4,51572792.27,0.0,0.0,0.0,1058000.0,23325995.03,6718733.3,5.0806,2.7748,1.8274,0.4261,0.0536,0.4454,0.1493,0.0,0.0,0.0,0.0031,0.0675,0.0195
ara,Aragón,2017,35983544000.0,real,,,3989038046.08,11.0857,1845830789.42,1040672901.92,635679223.88,165401408.71,35198225.63,162891829.99,78976928.7,0.0,0.0,0.0,1337482.01,15327007.66,7722248.16,5.1297,2.8921,1.7666,0.4597,0.0978,0.4527,0.2195,0.0,0.0,0.0,0.0037,0.0426,0.0215
ara,Aragón,2018,37213896000.0,real,,,4184246100.53,11.2438,1943284163.95,1090322967.47,642933404.76,177554581.51,39953112.3,183029097.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,8383134.34,5.2219,2.9299,1.7277,0.4771,0.1074,0.4918,0.2249,0.0,0.0,0.0,0.0043,0.0362,0.0225
ara,Aragón,2019,38465053000.0,real,,,4184246100.53,10.878,1943284163.95,1090322967.47,642933404.76,177554581.51,39953112.3,183029097.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,8383134.34,5.0521,2.8346,1.6715,0.4616,0.1039,0.4758,0.2175,0.0,0.0,0.0,0.0042,0.0351,0.0218
ara,Aragón,2020,35955571000.0,real,,,4334733923.88,12.0558,2011375281.29,1182200938.26,652097327.27,180272823.25,42982028.47,169585767.71,71350539.72,0.0,0.0,0.0,1511098.44,10810854.19,12547265.28,5.5941,3.2879,1.8136,0.5014,0.1195,0.4717,0.1984,0.0,0.0,0.0,0.0042,0.0301,0.0349
ara,Aragón,2021,38782157000.0,real,,,4842582768.04,12.4866,2295688201.41,1294794240.56,674185062.13,232770691.13,48846602.79,180303097.38,87919449.35,0.0,0.0,0.0,1564164.85,14163993.16,12347265.28,5.9194,3.3386,1.7384,0.6002,0.126,0.4649,0.2267,0.0,0.0,0.0,0.004,0.0365,0.0318
ara,Aragón,2022,43668835000.0,real,,,4767358026.58,10.9171,2185911149.5,1311647998.15,689672358.27,215932166.48,51683921.83,182887889.16,78952584.61,0.0,0.0,0.0,1558190.69,30748157.19,18363610.7,5.0057,3.0036,1.5793,0.4945,0.1184,0.4188,0.1808,0.0,0.0,0.0,0.0036,0.0704,0.0421
ara,Aragón,2023,46778120000.0,real,,,5296280430.49,11.3221,2481490321.17,1373141920.04,715069103.18,227463740.08,101296832.15,247235859.74,79775764.2,0.0,0.0,0.0,1588071.16,52714982.67,16503836.1,5.3048,2.9354,1.5286,0.4863,0.2165,0.5285,0.1705,0.0,0.0,0.0,0.0034,0.1127,0.0353
ara,Aragón,2024,49634925000.0,real,,,5760448118.54,11.6056,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,5.4488,3.062,1.4809,0.4643,0.1085,0.6235,0.1555,0.0,0.0,0.0325,0.0035,0.1793,0.0468
ara,Aragón,2025,51706151620.8324,proyeccion,46396714178.8983,55889087088.7448,5760448118.54,11.1407,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,5.2305,2.9393,1.4216,0.4457,0.1042,0.5985,0.1493,0.0,0.0,0.0312,0.0034,0.1721,0.0449
ara,Aragón,2026,54863918381.8983,proyeccion,47983114064.4524,59868471932.6208,5760448118.54,10.4995,2704508197.54,1519817440.43,735047604.45,230437093.64,53876320.97,309485802.82,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,23221787.22,4.9295,2.7702,1.3398,0.42,0.0982,0.5641,0.1407,0.0,0.0,0.0294,0.0032,0.1622,0.0423
ast,Asturias,2015,21388142000.0,real,,,2899901773.0,13.5585,1483333763.0,722331717.0,144724327.0,387003615.0,29149040.0,104743563.0,17946722.0,0.0,0.0,0.0,0.0,8464428.0,2204598.0,6.9353,3.3773,0.6767,1.8094,0.1363,0.4897,0.0839,0.0,0.0,0.0,0.0,0.0396,0.0103
ast,Asturias,2016,21675441000.0,real,,,3098048934.0,14.2929,1639849636.0,740875925.0,147056925.0,415634835.0,30152620.0,96170390.0,17829782.0,0.0,0.0,0.0,0.0,8225653.0,2253168.0,7.5655,3.418,0.6784,1.9175,0.1391,0.4437,0.0823,0.0,0.0,0.0,0.0,0.0379,0.0104
ast,Asturias,2017,22538267000.0,real,,,3206936135.0,14.2288,1668954671.0,749559459.0,181323431.0,446755919.0,29118540.0,100967817.0,17846760.0,0.0,0.0,0.0,0.0,10164720.0,2244818.0,7.405,3.3257,0.8045,1.9822,0.1292,0.448,0.0792,0.0,0.0,0.0,0.0,0.0451,0.01
ast,Asturias,2018,23185680000.0,real,,,3339254053.0,14.4022,1699483931.0,773957382.0,204193205.0,480651754.0,33338517.0,115091779.0,18294788.0,0.0,0.0,0.0,0.0,11722048.0,2520649.0,7.3299,3.3381,0.8807,2.0731,0.1438,0.4964,0.0789,0.0,0.0,0.0,0.0,0.0506,0.0109
ast,Asturias,2019,23666618000.0,real,,,3431612528.0,14.4998,1751509971.0,803249554.0,201089264.0,490853037.0,33433490.0,118335912.0,19042320.0,0.0,0.0,0.0,0.0,10006430.0,4092550.0,7.4008,3.394,0.8497,2.074,0.1413,0.5,0.0805,0.0,0.0,0.0,0.0,0.0423,0.0173
