ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
and,Andalucía,2015,146406094000.0,real,sanidad,5.7295,8388296442.0
and,Andalucía,2016,149901897000.0,real,sanidad,5.7756,8657784983.0
and,Andalucía,2017,156789484000.0,real,sanidad,5.8231,9129970917.0
and,Andalucía,2018,161894301000.0,real,sanidad,5.9468,9627553896.0
and,Andalucía,2019,166478730000.0,real,sanidad,5.7745,9613264022.0
and,Andalucía,2020,150452909000.0,real,sanidad,7.1557,10765885257.0
and,Andalucía,2021,166296356000.0,real,sanidad,6.8875,11453591430.0
and,Andalucía,2022,184364390000.0,real,sanidad,6.6252,12214500940.0
and,Andalucía,2023,199406067000.0,real,sanidad,6.8428,13644937026.0
and,Andalucía,2024,212359142000.0,real,sanidad,6.6188,14055560408.0
and,Andalucía,2025,222116470593.1817,proyeccion,sanidad,6.7719,15041542563.0
and,Andalucía,2026,235169103530.3166,proyeccion,sanidad,6.7827,15950811279.0
ara,Aragón,2015,33265930000.0,real,sanidad,4.6166,1535750491.04
ara,Aragón,2016,34542128000.0,real,sanidad,5.0806,1754952441.55
ara,Aragón,2017,35983544000.0,real,sanidad,5.1297,1845830789.42
ara,Aragón,2018,37213896000.0,real,sanidad,5.2219,1943284163.95
ara,Aragón,2019,38465053000.0,real,sanidad,5.0521,1943284163.95
ara,Aragón,2020,35955571000.0,real,sanidad,5.5941,2011375281.29
ara,Aragón,2021,38782157000.0,real,sanidad,5.9194,2295688201.41
ara,Aragón,2022,43668835000.0,real,sanidad,5.0057,2185911149.5
ara,Aragón,2023,46778120000.0,real,sanidad,5.3048,2481490321.17
ara,Aragón,2024,49634925000.0,real,sanidad,5.4488,2704508197.54
ara,Aragón,2025,51706151620.8324,proyeccion,sanidad,5.2305,2704508197.54
ara,Aragón,2026,54863918381.8983,proyeccion,sanidad,4.9295,2704508197.54
ast,Asturias,2015,21388142000.0,real,sanidad,6.9353,1483333763.0
ast,Asturias,2016,21675441000.0,real,sanidad,7.5655,1639849636.0
ast,Asturias,2017,22538267000.0,real,sanidad,7.405,1668954671.0
ast,Asturias,2018,23185680000.0,real,sanidad,7.3299,1699483931.0
ast,Asturias,2019,23666618000.0,real,sanidad,7.4008,1751509971.0
ast,Asturias,2020,21376392000.0,real,sanidad,8.426,1801183712.0
ast,Asturias,2021,23617641000.0,real,sanidad,8.2228,1942029769.0
ast,Asturias,2022,26690102000.0,real,sanidad,7.4461,1987383547.0
ast,Asturias,2023,28350371000.0,real,sanidad,7.4619,2115483423.0
ast,Asturias,2024,30012308000.0,real,sanidad,7.7397,2322856371.0
ast,Asturias,2025,31206996480.0363,proyeccion,sanidad,7.84,2446640883.0
ast,Asturias,2026,32540503695.6435,proyeccion,sanidad,7.8343,2549313952.0
bal,Baleares,2015,28653742000.0,real,sanidad,4.5136,1293305893.0
bal,Baleares,2016,30233284000.0,real,sanidad,4.5317,1370092639.0
bal,Baleares,2017,31746251000.0,real,sanidad,4.6407,1473247771.0
bal,Baleares,2018,33185968000.0,real,sanidad,4.6837,1554338007.0
bal,Baleares,2019,34350576000.0,real,sanidad,4.9689,1706834266.0
