ccaa,anio,estado,motor,filas,pct,n_conc,conceptos,nota
and,2015,VERDE_PRAGM,and-ckan-csv+and-transform,100,43.0,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 diversidad 31G/31P/32E (~450M) + salud_mental 31B adicciones. Pendiente: perimetro rama CSV 2015/16/20/21 (magnitud)
and,2016,VERDE_PRAGM,and-ckan-csv+and-transform,101,40.6,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 diversidad 31G/31P/32E (~450M) + salud_mental 31B adicciones. Pendiente: perimetro rama CSV 2015/16/20/21 (magnitud)
and,2017,VERDE_PRAGM,and-resumen-cap-prog+and-transform,110,40.0,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2018,VERDE_PRAGM,and-resumen-cap-prog+and-transform,111,39.6,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2019,VERDE_PRAGM,and-resumen-cap-prog+and-transform,112,40.2,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2020,VERDE_PRAGM,and-ckan-csv+and-transform,97,43.3,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 diversidad 31G/31P/32E (~450M) + salud_mental 31B adicciones. Pendiente: perimetro rama CSV 2015/16/20/21 (magnitud)
and,2021,VERDE_PRAGM,and-ckan-csv+and-transform,94,42.6,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 diversidad 31G/31P/32E (~450M) + salud_mental 31B adicciones. Pendiente: perimetro rama CSV 2015/16/20/21 (magnitud)
and,2022,VERDE_PRAGM,and-resumen-cap-prog+and-transform,104,40.4,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2023,VERDE_PRAGM,and-resumen-cap-prog+and-transform,105,35.2,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2024,VERDE_PRAGM,and-resumen-cap-prog+and-transform,105,36.2,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
