ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
and,2017,direccion,78573184.0,11A,D.S.G. DE LA PRESIDENCIA Y ADMINISTRACIÓN 56.450.650 14.143.344 2.508.505 73.102.499 5.278.436 192.249 5.470.685
and,2017,direccion,4079253.0,12D,COBERTURA INFORMATIVA 2.932.073 1.117.180 30.000 4.079.253
and,2017,,3068013.0,12E,B.O.J.A. 2.138.063 564.000 2.702.063 365.950 365.950
and,2017,direccion,148417532.0,52C,COMUNICACION SOCIAL 1.629.145 1.849.387 140.679.000 144.157.532 4.260.000 4.260.000
and,2017,direccion,82951415.0,81A,COOP. ECONOMICA Y COORDINACION CON LAS 5.179.051 170.620 836.000 6.185.671 488.479 76.277.265 76.765.744
and,2017,direccion,5920106.0,82A,ACCION EXTERIOR 1.637.333 169.347 4.113.426 5.920.106
and,2017,direccion,40191255.0,11B,ACTIVIDAD LEGISLATIVA 18.017.847 7.985.479 11.025.422 37.028.748 3.012.507 3.012.507 150.000 150.000
and,2017,direccion,5268493.0,11C,CONTROL EXTERNO DEL SECTOR PUBLICO 4.522.850 650.701 43.542 5.217.093 51.400 51.400
and,2017,direccion,4162050097.0,01A,ADMON. G. FINANC. Y AMORTIZACION DEUDA 486.353 479.563.744 480.050.097 3.682.000.000 3.682.000.000
and,2017,direccion,10408549.0,11C,CONTROL EXTERNO DEL SECTOR PUBLICO 8.132.441 1.765.300 73.383 9.971.124 410.361 410.361 27.064 27.064
and,2017,direccion,3762607.0,11D,ALTO ASESORAMIENTO DE LA COMUNIDAD 3.251.607 486.000 3.737.607 25.000 25.000
and,2017,direccion,4524158.0,11H,AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL DE LA 2.826.194 1.078.898 4.066 3.909.158 615.000 615.000
and,2017,direccion,1313509.0,11I,AUT. MAT. TRANSPARENCIA Y PROTECCION DE 696.060 320.449 1.016.509 297.000 297.000
and,2017,educacion,1196495841.0,42J,UNIVERSIDADES 3.527.567 228.420 127.587 719.596.370 723.479.944 1.626.562 466.319.217 467.945.779 5.070.118 5.070.118
and,2017,idi,339071879.0,54A,INVESTIGACION CIENTIFICA E INNOVACION 1.207.448 266.966 9.609.175 11.083.589 758.623 305.096.477 305.855.100 22.133.190 22.133.190
and,2017,direccion,52380226.0,61J,D.S.G. DE ECONOMIA Y CONOCIMIENTO 44.620.895 6.171.081 4.334 50.796.310 1.583.916 1.583.916
and,2017,direccion,19745541.0,61K,COORDINACION DE FONDOS EUROPEOS 2.588.101 15.447 2.603.548 17.141.993 17.141.993
and,2017,empleo,148386500.0,72C,EMPRENDEDORES E INTERNAC. DE LA ECONOMIA 7.756.365 17.848 75.318.843 83.093.056 2.748.109 62.545.335 65.293.444
and,2017,direccion,13580724.0,12A,MODERNIZACION Y GESTION DE LA FUNCION 13.133.122 447.602 13.580.724
and,2017,direccion,388839.0,12C,ACCION SOCIAL DEL PERSONAL 388.839 388.839
and,2017,direccion,41447063.0,61A,D.S.G. DE HACIENDA Y ADMINISTRACION PUBLICA 26.845.966 3.801.759 10.352.107 40.999.832 82.200 365.031 447.231
