ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ara,2015,direccion,17773523.86,1111,Cortes de Aragón (Actividad Legislativa)
ara,2015,direccion,986513.61,1113,Aljafería
ara,2015,direccion,2020391.14,1112,Actuaciones del Justicia de Aragón
ara,2015,direccion,2930990.89,1114,Actuaciones de la Cámara de Cuentas de Aragón
ara,2015,direccion,3005653.19,1121,Presidencia y Órganos de la Presidencia
ara,2015,direccion,323404.28,1125,Consejo Consultivo de Aragón
ara,2015,,500734.99,3229,Consejo Económico y Social de Aragón
ara,2015,direccion,11250229.86,1211,Servicios Generales de Presidencia y Justicia
ara,2015,,44000000.0,1266,Televisión y Radio Autonómicas
ara,2015,direccion,2497467.01,1263,Servicios Jurídicos
ara,2015,direccion,797038.32,1267,Actuaciones Relativas al Desarrollo Estatutario
ara,2015,direccion,365910.79,1217,Relaciones Institucionales
ara,2015,direccion,3382115.62,4631,Elecciones Institucionales
ara,2015,direccion,763663.91,1268,Información y Participación Ciudadana
ara,2015,direccion,1064500.22,1311,Actuaciones de Relaciones Exteriores
ara,2015,,2844471.97,1341,Cooperación al Desarrollo
ara,2015,,70267758.61,1421,Servicios de Administración de Justicia
ara,2015,,2050624.98,1269,Serv. Generales de Política Territorial e Interior
ara,2015,direccion,10554837.91,1251,Apoyo a la Administración Local
ara,2015,direccion,23947720.72,1252,Política Territorial
ara,2015,,2133150.5,1253,Estrategias Territoriales
ara,2015,direccion,5506312.92,1213,Servicios de Seguridad y Protección Civil
ara,2015,direccion,889663.97,1215,Servicios de Interior
ara,2015,direccion,1705100.36,1219,Unidad Policía Nacional adscrita a la C.Autónoma
ara,2015,direccion,365000.0,1259,Cooperación con la Policía Local
ara,2015,direccion,1495622.53,1261,Servicios de Coordinación Administrativa en Huesca
ara,2015,direccion,1827684.89,1262,Servicios de Coordinación Administrativa en Teruel
ara,2015,direccion,2536141.74,6111,Serv. Gen. de Hacienda y Administración Pública
ara,2015,direccion,775068.96,6121,Planificación y Dirección Presupuestaria
ara,2015,,912120.6,6152,Actuaciones relativas a Programas Europeos
ara,2015,direccion,992923.28,6314,Gestión de Tesorería
ara,2015,direccion,10180093.52,1212,"Servicios Centrales, Edificios e Instalaciones"
ara,2015,direccion,1902531.16,1264,Información Ciudadana y Documentación Admva.
ara,2015,direccion,1302986.61,6313,Gestión del Patrimonio
ara,2015,direccion,300650.62,6411,Jta Consultiva Contratación Admtva y Registros
ara,2015,direccion,9016289.92,6312,Control Interno y Contabilidad
ara,2015,,10777263.06,6311,Gestión e Inspección de Tributos
ara,2015,,6404080.05,1214,Ordenación Administrativa
ara,2015,,5159631.71,1221,Dirección y Administración de la Función Pública
ara,2015,,1026271.51,1231,"Selección, Formación y Perfeccionamiento Personal"
ara,2015,,3000000.0,3135,Acción Social en Favor del Personal
ara,2015,vivienda,3746146.18,5111,"Serv.G. O.Públicas, Urbanismo, Vivienda y Ttes"
ara,2015,,82204386.25,5131,Carreteras
ara,2015,,3975479.16,4321,Urbanismo
ara,2015,,17352139.4,5132,Transportes
ara,2015,vivienda,2797675.21,4311,Promoción y Administración de Viviendas
ara,2015,vivienda,9986421.59,4312,Gestión social de la vivienda
ara,2015,,11369270.79,4323,Arquitectura y Rehabilitación
ara,2015,,2181626.0,4423,Gestión Ambiental
ara,2015,,23608227.89,5121,Gestión e Infraestructura de Recursos Hidráulicos
ara,2015,soberania,452112.77,7111,"Serv.Gen. Agricultura, Ganadería y Medio Ambiente"
