ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ara,2016,direccion,17573803.57,1111,CORTES DE ARAGÓN (ACTIVIDAD LEGISLATIVA)
ara,2016,direccion,986106.01,1113,ALJAFERÍA
ara,2016,direccion,1873222.31,1112,ACTUACIONES DEL JUSTICIA DE ARAGÓN
ara,2016,direccion,2872835.68,1114,ACTUACIONES DE LA CÁMARA DE CUENTAS DE ARAGÓN
ara,2016,direccion,2384364.71,1121,PRESIDENCIA Y ÓRGANOS DE LA PRESIDENCIA
ara,2016,direccion,323110.96,1125,CONSEJO CONSULTIVO DE ARAGÓN
ara,2016,direccion,37620.95,1124,TRIBUNAL ADMTVO. DE CONTRATOS PÚBLICOS DE ARAGÓN
ara,2016,,474508.4,3229,CONSEJO ECONÓMICO Y SOCIAL DE ARAGÓN
ara,2016,direccion,8722080.49,1211,SERVICIOS GENERALES DE PRESIDENCIA Y JUSTICIA
ara,2016,,44000000.0,1266,TELEVISIÓN Y RADIO AUTONÓMICAS
ara,2016,direccion,2702993.88,1263,SERVICIOS JURÍDICOS
ara,2016,direccion,18455068.53,1251,APOYO A LA ADMINISTRACIÓN LOCAL
ara,2016,direccion,4107472.95,1252,POLÍTICA TERRITORIAL
ara,2016,direccion,370301.22,1217,RELACIONES INSTITUCIONALES
ara,2016,direccion,577015.01,1267,ACTUACIONES RELATIVAS AL DESARROLLO ESTATUTARIO
ara,2016,direccion,224600.0,4631,ELECCIONES INSTITUCIONALES
ara,2016,direccion,3927816.1,1213,SERVICIOS DE SEGURIDAD Y PROTECCIÓN CIVIL
ara,2016,direccion,904264.63,1215,SERVICIOS DE INTERIOR
ara,2016,direccion,1629992.29,1219,UNIDAD POLICÍA NACIONAL ADSCRITA A LA C.AUTÓNOMA
ara,2016,direccion,155000.0,1259,COOPERACIÓN CON LA POLICÍA LOCAL
ara,2016,,69705211.02,1421,SERVICIOS DE ADMINISTRACIÓN DE JUSTICIA
ara,2016,direccion,1653488.65,1261,SERVICIOS DE COORDINACIÓN ADMINISTRATIVA EN HUESCA
