ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ast,2021,direccion,1941565.0,112A,SECRETARÍA GENERAL TÉCNICA Y GABINETE TÉCNICO
ast,2021,direccion,391200.0,112F,INFORMACIÓN Y COMUNICACIÓN
ast,2021,igualdad,6907500.0,323B,PROMOCIÓN DE LA MUJER. IGUALDAD DE OPORTUNIDADES
ast,2021,direccion,15326000.0,111B,ACTIVIDAD LEGISLATIVA
ast,2021,,625133500.0,011C,AMORTIZACIÓN Y GASTOS FINANCIEROS DE LA DEUDA DEL PRINCIPADO DE ASTURIAS
ast,2021,direccion,1638450.0,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA
ast,2021,direccion,3325135.0,111C,CONTROL EXTERNO DEL SECTOR PÚBLICO DEL PRINCIPADO DE ASTURIAS
ast,2021,direccion,1082070.0,112H,APOYO A LA VICEPRESIDENCIA
ast,2021,direccion,6141570.0,121B,DIRECCIÓN DE LA FUNCIÓN PÚBLICA
ast,2021,direccion,1641760.0,121J,SERVICIO JURÍDICO DEL PRINCIPADO DE ASTURIAS
ast,2021,,37794133.0,441A,INFRAESTRUCTURAS HIDRÁULICAS Y GESTIÓN DEL AGUA
ast,2021,,7380211.0,443D,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE
ast,2021,direccion,3560150.0,511A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2021,direccion,24178222.0,121A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2021,direccion,4317713.0,121C,"SELECCIÓN, FORMACIÓN Y PERFECCIONAMIENTO DE PERSONAL"
ast,2021,direccion,45053730.0,121D,SISTEMAS DE INFORMACIÓN Y COMUNICACIONES
ast,2021,direccion,393882.0,121I,ESCUELA DE SEGURIDAD PÚBLICA
ast,2021,direccion,9575270.0,125A,COLABORACIÓN CON LAS ENTIDADES LOCALES
ast,2021,direccion,7437936.0,126C,POLICÍA Y PROTECCIÓN DE EDIFICIOS
ast,2021,direccion,4337420.0,126F,"PUBLICACIONES,SERVICIOS CIUDADANÍA, GOBIERNO ABIERTO Y AGENDA 2030"
ast,2021,direccion,61540990.0,141B,RELACIONES ADMINISTRACIÓN DE JUSTICIA
ast,2021,direccion,7547066.0,142M,GESTIÓN DE SERVICIOS DE JUSTICIA DEL MENOR
ast,2021,,30948460.0,223A,PROTECCIÓN CIVIL Y SEGURIDAD PÚBLICA
ast,2021,,1349020.0,313B,PROGRAMA DE EMIGRACIÓN ASTURIANA
