ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
can,2019,direccion,150120043.0,112A,Tribunales de Justicia
can,2019,direccion,6238824.0,112B,Relaciones con la Administración de Justicia
can,2019,direccion,3682822.0,112C,Ministerio Fiscal
can,2019,,24173749.0,132A,Seguridad y Emergencia
can,2019,,6012966.0,132B,Seguridad ciudadana
can,2019,direccion,2453901.0,142A,Acción de la Comunidad Autónoma en el Exterior
can,2019,direccion,6016328.0,143A,Cooperación economica y al desarrollo
can,2019,,30473527.0,231B,Coordinac y Planific de Polít Soc y atenc pers may
can,2019,discapacidad,14116178.0,231C,Planificación y Apoyo a los Servicios Sociales
can,2019,,2512370.0,231G,Prestaciones y otras Ayudas Sociales
can,2019,,47951377.0,231H,Prevenc. e Interv. en área del Menor y la Familia
can,2019,diversidad,62536502.0,231I,Fomento de la Inclusión Social
can,2019,,27102525.0,231K,Ejecución Medidas Judiciales Menores Infractores
can,2019,dependencia,209575354.0,231M,Atención a Personas en situación de Dependencia
can,2019,discapacidad,47909060.0,231N,Atención a Personas con Discapacidad
can,2019,diversidad,1941250.0,231P,Acciones a favor de los canarios en el exterior
can,2019,igualdad,3967564.0,232A,Promoción y Fomento Calidad de Vida de los Jóvenes
can,2019,igualdad,9768621.0,232B,Promoción Igualdad de Oportunidades para Mujeres
can,2019,direccion,11107877.0,239A,Dirección Administrativa y Servicios Generales
can,2019,empleo,84268994.0,241C,Fomento del Empleo
can,2019,vivienda,59964381.0,261A,"Dirección, Promoción y Gestión en mat. de Vivienda"
can,2019,vivienda,11132255.0,261E,Ordenación del territorio
can,2019,sanidad,3175410.0,311A,Dirección Administrativa y Servicios Generales
can,2019,sanidad,203984.0,311B,Formación Sanitaria y Social
can,2019,sanidad,2826245730.0,312A,Asistencia Sanitaria
can,2019,sanidad,2862697.0,312B,Hemodonación y Hemoterapia
can,2019,sanidad,300000.0,313A,Salud Pública 0
can,2019,educacion,160394845.0,321A,Dirección Administrativa y Servicios Generales
can,2019,educacion,1789814.0,321B,Form. Permanente del Profesorado e Innov. Educat
can,2019,turismo,3826768.0,322A,Formación Profesional Turística
can,2019,educacion,608285787.0,322B,"Educación Infantil, Primaria y 1ª Ciclo de E.S.O"
can,2019,educacion,577150952.0,322C,Enseñanza Secundaria y Formación Profesional
can,2019,educacion,5621593.0,322D,Formación Profesional Específica
can,2019,educacion,234370739.0,322F,Financiación de las Universidades Canarias
can,2019,educacion,5056713.0,322H,Mejora de la Capacitación Agraria y Form. Profes
can,2019,educacion,5317929.0,322J,Formación Profesional Marítimo Pesquera
can,2019,educacion,42564556.0,322K,Enseñanzas Régimen Especial y Educación de Adultos
can,2019,educacion,16066502.0,323A,Apoyo a los Estudios Universitarios
can,2019,educacion,67954202.0,324C,Servicios Complem. a la Enseñanza no Universitaria
can,2019,direccion,4480093.0,331A,Dirección Administrativa y Servicios Generales
can,2019,,4935087.0,332A,Servicios bibliotecarios y archivisticos
can,2019,,12812045.0,334A,Promoción Cultural
can,2019,,300000.0,334B,Infraestructura Cultural
can,2019,,165663.0,334D,Promoción del libro y publicaciones culturales
can,2019,,10494982.0,336A,Deportes
can,2019,,9064104.0,337A,Patrimonio Cultural
