ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
cnt,2026,direccion,9327289.0,911M,ACTIVIDAD LEGISLATIVA
cnt,2026,direccion,7555911.0,912M,PRESIDENCIA DEL GOBIERNO DE CANTABRIA
cnt,2026,,25831860.0,134M,SEGURIDAD Y PROTECCIÓN CIUDADANA
cnt,2026,idi,1185226.0,462A,INNOVACIÓN Y CALIDAD DE LOS SERVICIOS
cnt,2026,direccion,7718165.0,921O,MANTENIMIENTO
cnt,2026,direccion,1213310.0,921P,PUBLICACIONES OFICIALES
cnt,2026,direccion,9299087.0,921N,DIRECCIÓN Y ORGANIZACIÓN DE LA FUNCIÓN PÚBLICA
cnt,2026,direccion,2395666.0,921Q,ASESORAMIENTO Y DEFENSA JURÍDICA
cnt,2026,,152000.0,112A,VÍCTIMAS DEL TERRORISMO
cnt,2026,,47739988.0,112M,ADMINISTRACIÓN DE JUSTICIA
cnt,2026,,35301498.0,491M,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES
cnt,2026,,116599866.0,140A,MECANISMO DE RECUPERACIÓN Y RESILIENCIA (MRR)
cnt,2026,,45657796.0,496M,ACTUACIONES EN EL ÁMBITO LOCAL Y ACCIÓN EXTERIOR
cnt,2026,,54825043.0,456B,CALIDAD AMBIENTAL
cnt,2026,idi,1094778.0,461F,"INVESTIGACIÓN, DESARROLLO Y MEDIO AMBIENTE"
cnt,2026,,16195996.0,453C,ORDENACIÓN Y PROMOCIÓN DEL TRANSPORTE Y LAS TELECOMUNICACIONES
cnt,2026,,5090000.0,455A,FOMENTO DEL TRANSPORTE DE INTERÉS PÚBLICO SUPRARREGIONAL
cnt,2026,vivienda,3307788.0,261M,ORDENACIÓN DEL TERRITORIO
cnt,2026,vivienda,1619327.0,261N,PLANEAMIENTO URBANÍSTICO
cnt,2026,,50314125.0,452A,GESTIÓN E INFRAESTRUCTURA HIDRÁULICA Y DE SANEAMIENTO
cnt,2026,,8169603.0,454A,GESTIÓN E INFRAESTRUCTURA PORTUARIA
cnt,2026,,3547000.0,456A,CONTROL Y MEJORA DE LA CALIDAD DE LAS AGUAS Y DEFENSA FRENTE A AVENIDAS
cnt,2026,,8502400.0,458A,ACTUACIONES EN MATERIA DE INFRAESTRUCTURA HIDRÁULICA MUNICIPAL
cnt,2026,vivienda,36435161.0,261A,ACTUACIONES EN MATERIA DE VIVIENDA Y ARQUITECTURA
cnt,2026,,14405785.0,453A,ACTUACIONES EN MATERIA DE INFRAESTRUCTURA MUNICIPAL
cnt,2026,,70207287.0,453B,ACTUACIONES EN MATERIA DE INFRAESTRUCTURA DE CARRETERAS AUTONÓMICAS
