ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
gal,2017,direccion,3474031.0,111A,PRESIDENCIA DA XUNTA DE GALICIA
gal,2017,direccion,18705488.0,111B,ACTIVIDADE LEXISLATIVA
gal,2017,direccion,6937054.0,111C,CONTROL EXTERNO DO SECTOR PÚBLICO
gal,2017,direccion,4568103.0,111D,ALTO ASESORAMENTO DA COMUNIDADE AUTÓNOMA DE GALICIA.
gal,2017,direccion,2581801.0,111E,RELACIÓNS EXTERIORES
gal,2017,direccion,55345096.0,121A,DIRECCIÓN E SERVIZOS XERAIS DE ADMINISTRACIÓN XERAL
gal,2017,direccion,2519049.0,121B,ASESORAMENTO E DEFENSA DOS INTERESES DA COMUNIDADE AUTÓNOMA
gal,2017,direccion,781088.0,121C,RELACIÓNS INSTITUCIONAIS
gal,2017,direccion,1149435.0,122A,AVALIACIÓN E CALIDADE DA ADMINISTRACIÓN PÚBLICA
gal,2017,direccion,3158124.0,122B,FORMACIÓN E PERFECCIONAMENTO DO PERSOAL DA ADMINISTRACIÓN DA C.A.
gal,2017,direccion,64400.0,123A,ACCIÓN SOCIAL EN FAVOR DO PERSOAL DA ADMINISTRACIÓN
gal,2017,direccion,5395702.0,124A,"DIRECCIÓN, MODERNIZACIÓN E XESTIÓN DA FUNCIÓN PUBLICA"
gal,2017,direccion,134575697.0,131A,ADMINISTRACIÓN DE XUSTIZA
gal,2017,direccion,13265541.0,141A,ADMINISTRACIÓN LOCAL
gal,2017,diversidad,6819086.0,151A,FOMENTO DA LINGUA GALEGA
gal,2017,direccion,5945410.0,161A,ELECCIÓNS E PARTIDOS POLÍTICOS
gal,2017,direccion,25472751.0,212A,PROTECCIÓN CIVIL E SEGURIDADE DA COMUNIDADE AUTÓNOMA
gal,2017,,42131902.0,311A,DIRECCIÓN E SERVIZOS XERAIS DE PROMOCIÓN SOCIAL
gal,2017,,72907146.0,312A,PROTECCIÓN E INSERCIÓN SOCIAL
gal,2017,,122773813.0,312B,PROGRAMAS DE PRESTACIÓNS ÁS FAMILIAS E Á INFANCIA
gal,2017,diversidad,9874953.0,312C,SERVIZOS SOCIAIS RELATIVOS ÁS MIGRACIÓNS
gal,2017,dependencia,338238420.0,312D,PROGRAMA DE ATENCIÓN Á DEPENDENCIA
gal,2017,dependencia,27893734.0,312E,PROMOCIÓN DA AUTONOMÍA PERSOAL E PREVENCION DA DEPENDENCIA PARA PERSOA
gal,2017,,1161370.0,312F,PROGRAMAS DE SOLIDARIEDADE
gal,2017,,1202203.0,312G,APOIO Á CONCILIACIÓN DA VIDA LABORAL E PERSOAL E OUTROS SERVIZOS DE PR
gal,2017,diversidad,14245060.0,313A,SERVIZOS Á XUVENTUDE
gal,2017,igualdad,6983875.0,313B,"ACCIÓNS PARA A IGUALDADE, PROTECCIÓN E PROMOCIÓN DA MULLER"
gal,2017,,25264423.0,313C,SERVIZOS SOCIAIS COMUNITARIOS
gal,2017,igualdad,5204667.0,313D,PROTECCIÓN E APOIO ÁS MULLERES QUE SOFREN VIOLENCIA DE XÉNERO
gal,2017,empleo,6273377.0,321A,DIRECCIÓN E SERVIZOS XERAIS DE EMPREGO
gal,2017,empleo,43402945.0,322A,MELLORA E FOMENTO DA EMPREGABILIDADE
