ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
mur,2016,direccion,834009043.0,011A,AMORTIZAC.Y GTOS.FINANC.DEUDA PBCA.Y OTRAS OPERACI
mur,2016,direccion,10332394.0,111A,ASAMBLEA REGIONAL
mur,2016,direccion,6476159.0,112A,DIRECCIÓN Y SERVICIOS GENERALES
mur,2016,direccion,1088902.0,112B,COMUNICACIÓN Y ASISTENCIA INFORMATIVA DE LA C.A.
mur,2016,direccion,949023.0,112C,ASISTENCIA CONSULTIVA DE LA C.A.R.M.
mur,2016,direccion,12258140.0,112D,COMUNICACIÓN AUDIOVISUAL
mur,2016,direccion,158842.0,112F,COORDINAC.CON LA ASAMBLEA REGIONAL Y RELAC.INSTIT.
mur,2016,direccion,9260834.0,121B,FUNCIÓN PÚBLICA E INSPECCIÓN Y CALIDAD SERVICIOS
mur,2016,direccion,1598598.0,121C,ESCUELA DE FORMAC. E INNOV. DE LA ADMÓN. REGIONAL
mur,2016,direccion,3329312.0,121D,ATENCIÓN AL CIUDADANO
mur,2016,direccion,188925.0,121F,EDIFICIOS FORO
mur,2016,direccion,646684.0,121H,EDIFICIO ADMINISTRATIVO INFANTE
mur,2016,direccion,1162804.0,124A,ASESORAMIENTO Y ASISTENCIA TÉCNICA A MUNICIPIOS
mur,2016,direccion,261250.0,124B,COORDINACIÓN DE POLICIAS LOCALES
mur,2016,direccion,1719084.0,126A,ASISTENCIA JURÍDICA DE LA COMUNIDAD
mur,2016,direccion,3106083.0,126D,PARQUE MÓVIL REGIONAL
mur,2016,direccion,1581768.0,126E,ACCIÓN EXTERIOR Y RELACIONES CON LA UNIÓN EUROPEA
mur,2016,direccion,2859623.0,126F,"VIGILANCIA, SEGURIDAD Y CONTROL ACCESOS"
mur,2016,direccion,32303646.0,126J,CENTRO REGIONAL DE INFORMÁTICA
mur,2016,direccion,454828.0,126K,TRANSPARENCIA Y PARTICIPACION CIUDADANA
mur,2016,,18854000.0,222A,SEGURIDAD CIUDADANA
mur,2016,direccion,7210524.0,223A,SERVICIO DE PROTECCIÓN CIVIL
mur,2016,direccion,16617865.0,223B,CONSORCIO REGIONAL EXTINC. INCENDIOS Y SALVAMENTO
mur,2016,direccion,3337160.0,223C,TELÉFONO ÚNICO DE EMERGENCIAS
mur,2016,sanidad,243427694.0,311A,DIRECCIÓN Y SERVICIOS GENERALES
mur,2016,sanidad,6227294.0,311B,DIRECCIÓN Y SERVICIOS GENERALES DEL IMAS
mur,2016,sanidad,19221793.0,312A,PRESTACIONES A LOS DESEMPLEADOS
mur,2016,salud_mental,11855935.0,313A,PLANIFICACIÓN Y EVALUACIÓN DE SERVICIOS SOCIALES
