ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
and,2015,direccion,2642963767.0,01A,ADMON. G. FINANC. Y AMORTIZACION DEUDA PUBLICA
and,2015,direccion,61804398.0,11A,D.Y S. GRALES. DE LA PRESIDENCIA
and,2015,direccion,38463769.0,11B,ACTIVIDAD LEGISLATIVA
and,2015,direccion,15145972.0,11C,CONTROL EXTERNO DEL SECTOR PUBLICO
and,2015,direccion,3458934.0,11D,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTONOMA
and,2015,direccion,1661051.0,11F,ASESORAMIENTO EN MATERIA ECONOMICA Y SOCIAL
and,2015,direccion,4433644.0,11H,AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL DE LA CAA
and,2015,direccion,60000.0,11I,AUT. MAT. TRANSPARENCIA Y PROTECCION DE DATOS AND.
and,2015,direccion,13692243.0,12A,MODERNIZACION Y GESTION DE LA FUNCION PUBLICA
and,2015,direccion,5091881.0,12C,ACCION SOCIAL DEL PERSONAL
and,2015,direccion,5242221.0,12D,COBERTURA INFORMATIVA
and,2015,,3777977.0,12E,B.O.J.A.
and,2015,direccion,9922379.0,14A,D.Y S. GRALES. DE JUSTICIA E INTERIOR
and,2015,direccion,383523054.0,14B,ADMINISTRACION DE JUSTICIA
and,2015,,7513017.0,22A,D.Y S. GRALES. DE ADMON. LOCAL Y RELAC. INSTITUC.
and,2015,,40219522.0,22B,"INTERIOR, EMERGENCIAS Y PROTECCION CIVIL"
and,2015,salud_mental,32430242.0,31B,PLAN SOBRE DROGODEPENDENCIAS
and,2015,empleo,124984997.0,31C,"SEGURIDAD, SALUD Y RELACIONES LABORALES"
and,2015,discapacidad,132779065.0,31E,ATENCION A LA INFANCIA
and,2015,,24702410.0,31F,PENSIONES ASISTENCIALES
and,2015,diversidad,49546688.0,31G,BIENESTAR SOCIAL
and,2015,,2804992.0,31H,VOLUNTARIADO
and,2015,,1032871.0,31I,MEMORIA DEMOCRATICA
and,2015,diversidad,2588349.0,31J,COORDINACION DE POLITICAS MIGRATORIAS
