ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
and,2022,direccion,258494663.0,11A,"D.S.G. PRESIDENCIA, ADMON. PÚBLICA E 69.722.040 19.798.519 100.099.573 189.620.132 6.565.255 62.309.276 68.874.531"
and,2022,direccion,26109098.0,12A,PLANIFICACIÓN Y GESTIÓN DE LOS RECURSOS 22.069.109 2.576.800 1.463.189 26.109.098
and,2022,direccion,481870.0,12C,ACCIÓN SOCIAL DEL PERSONAL 481.870 481.870
and,2022,,50193611.0,22B,"INTERIOR, EMERGENCIAS Y PROTECCIÓN CIVIL 18.022.595 23.960.905 1.815.665 43.799.165 5.894.446 500.000 6.394.446"
and,2022,diversidad,3741220.0,31J,COORDINACIÓN DE POLÍTICAS MIGRATORIAS 1.214.220 192.000 1.215.000 2.621.220 120.000 1.000.000 1.120.000
and,2022,direccion,164709107.0,52C,COMUNICACIÓN SOCIAL 2.048.422 2.017.457 141.080.787 145.146.666 16.072.441 3.490.000 19.562.441
and,2022,direccion,31889680.0,82A,ACCIÓN EXTERIOR 2.156.837 586.541 28.749.638 31.493.016 396.664 396.664
and,2022,direccion,42562910.0,11B,ACTIVIDAD LEGISLATIVA 21.527.300 8.349.450 1.900 11.343.790 41.222.440 1.190.470 1.190.470 150.000 150.000
and,2022,direccion,6257380.0,11C,CONTROL EXTERNO DEL SECTOR PÚBLICO 5.385.020 745.160 700 50.100 6.180.980 76.400 76.400
and,2022,direccion,12646429.0,11C,CONTROL EXTERNO DEL SECTOR PÚBLICO 9.380.265 2.695.200 107.660 12.183.125 435.563 435.563 27.741 27.741
and,2022,direccion,3651258.0,11D,ALTO ASESORAMIENTO DE LA COMUNIDAD 3.262.058 359.200 3.621.258 30.000 30.000
and,2022,direccion,4248354.0,11H,AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL 2.741.974 891.380 3.633.354 615.000 615.000
and,2022,direccion,3887887.0,11I,AUT. MAT. TRANSPARENCIA Y PROTECCIÓN DE 3.067.627 345.300 3.412.927 474.960 474.960
and,2022,direccion,3085034.0,61N,DEFENSA DE LA COMPETENCIA 2.618.296 410.738 20.000 3.049.034 36.000 36.000
and,2022,direccion,40121554.0,11E,"D.S.G. TURISMO, REGENERACIÓN, JUSTICIA Y 23.297.195 11.888.508 35.185.703 4.935.851 4.935.851"
and,2022,,1470438.0,12F,TRANSPARENCIA Y RACIONALIZACIÓN 1.378.438 92.000 1.470.438
and,2022,direccion,545223372.0,14B,ADMINISTRACIÓN DE JUSTICIA 374.284.775 94.945.771 49.544.400 518.774.946 26.448.426 26.448.426
and,2022,direccion,92792119.0,14C,JUSTICIA JUVENIL Y ASISTENCIA A VÍCTIMAS 7.838.230 84.383.889 450.000 92.672.119 120.000 120.000
and,2022,turismo,95845245.0,75B,"PLANIFICACIÓN, ORDENACIÓN Y PROMOCIÓN 7.879.840 40.181 31.178.856 39.098.877 4.373.206 52.373.162 56.746.368"
and,2022,turismo,22454037.0,75D,"CALIDAD, INNOVACIÓN Y FOMENTO DEL 2.620.922 149.001 3.695.418 6.465.341 564.365 15.424.331 15.988.696"
and,2022,direccion,60113325.0,81A,COOPERACIÓN ECONÓMICA Y COORDINACIÓN 5.619.360 70.000 4.165.000 9.854.360 288.654 49.970.311 50.258.965
and,2022,direccion,1867715.0,11F,ASESORAMIENTO EN MATERIA ECONÓMICA Y 932.307 814.415 10.993 1.757.715 110.000 110.000
and,2022,empleo,554114244.0,12J,"D.S.G. EMPLEO, FORMACIÓN Y TRABAJO 42.101.964 9.716.081 45.500 467.287.323 519.150.868 5.519.866 29.443.510 34.963.376"
