ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ara,2017,direccion,17675838.59,1111,CORTES DE ARAGÓN (ACTIVIDAD LEGISLATIVA)
ara,2017,direccion,1023591.27,1113,ALJAFERÍA
ara,2017,direccion,1873129.44,1112,ACTUACIONES DEL JUSTICIA DE ARAGÓN
ara,2017,direccion,2852884.98,1114,ACTUACIONES DE LA CÁMARA DE CUENTAS DE ARAGÓN
ara,2017,direccion,2170971.69,1121,PRESIDENCIA Y ÓRGANOS DE LA PRESIDENCIA
ara,2017,direccion,323110.76,1125,CONSEJO CONSULTIVO DE ARAGÓN
ara,2017,direccion,46276.18,1124,TRIBUNAL ADMTVO. DE CONTRATOS PÚBLICOS DE ARAGÓN
ara,2017,,474507.61,3229,CONSEJO ECONÓMICO Y SOCIAL DE ARAGÓN
ara,2017,direccion,9671615.36,1211,SERVICIOS GENERALES DE PRESIDENCIA
ara,2017,,44000000.0,1266,TELEVISIÓN Y RADIO AUTONÓMICAS
ara,2017,direccion,2528563.41,1263,SERVICIOS JURÍDICOS
ara,2017,direccion,18923974.96,1251,APOYO A LA ADMINISTRACIÓN LOCAL
ara,2017,direccion,10420745.6,1252,POLÍTICA TERRITORIAL
ara,2017,direccion,328634.91,1217,RELACIONES INSTITUCIONALES
ara,2017,direccion,425232.26,1267,ACTUACIONES RELATIVAS AL DESARROLLO ESTATUTARIO
ara,2017,direccion,991489.19,1311,ACTUACIONES DE RELACIONES EXTERIORES
ara,2017,direccion,12000.0,4631,ELECCIONES INSTITUCIONALES
ara,2017,direccion,4734844.68,1213,SERVICIOS DE SEGURIDAD Y PROTECCIÓN CIVIL
ara,2017,direccion,913593.13,1215,SERVICIOS DE INTERIOR
ara,2017,direccion,1669011.32,1219,UNIDAD POLICÍA NACIONAL ADSCRITA A LA C.AUTÓNOMA
ara,2017,direccion,560000.0,1259,COOPERACIÓN CON LA POLICÍA LOCAL
ara,2017,,72500805.89,1421,SERVICIOS DE ADMINISTRACIÓN DE JUSTICIA
ara,2017,,1825575.0,1422,MINISTERIO FISCAL
ara,2017,direccion,1465445.8,1261,SERVICIOS DE COORDINACIÓN ADMINISTRATIVA EN HUESCA
