ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ast,2024,direccion,2166100.0,112A,SECRETARÍA GENERAL TÉCNICA Y GABINETE TÉCNICO
ast,2024,direccion,1357497.0,112F,INFORMACIÓN Y COMUNICACIÓN
ast,2024,,17131979.0,455E,INSTITUCIONES CULTURALES
ast,2024,,14358276.0,455G,ACCIÓN CULTURAL Y POLÍTICA LLINGÜÍSTICA
ast,2024,,5335307.0,457A,FOMENTO Y APOYO ACTIVIDADES DEPORTIVAS Y FESTIVAS
ast,2024,,4063228.0,457C,ESTACIÓN INVERNAL Y DE MONTAÑA DE PAJARES
ast,2024,,10591518.0,457D,INSTALACIONES DEPORTIVAS DEL PRINCIPADO DE ASTURIAS
ast,2024,,8692931.0,458D,PROTECCIÓN DEL PATRIMONIO HISTÓRICO ARTÍSTICO
ast,2024,direccion,19195000.0,111B,ACTIVIDAD LEGISLATIVA
ast,2024,,652641000.0,011C,AMORTIZACIÓN Y GASTOS FINANCIEROS DE LA DEUDA DEL PRINCIPADO DE ASTURIAS
ast,2024,direccion,1846230.0,112B,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTÓNOMA
ast,2024,direccion,3557045.0,111C,CONTROL EXTERNO DEL SECTOR PÚBLICO DEL PRINCIPADO DE ASTURIAS
ast,2024,direccion,1106350.0,112H,APOYO A LA VICEPRESIDENCIA
ast,2024,direccion,28613722.0,121A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2024,direccion,6705150.0,121B,DIRECCIÓN EMPLEO PÚBLICO
ast,2024,direccion,5408696.0,121C,"SELECCIÓN, FORMACIÓN Y PERFECCIONAMIENTO PERSONAL"
ast,2024,direccion,96588852.0,121D,SISTEMAS DE INFORMACIÓN Y COMUNICACIONES
ast,2024,direccion,620030.0,121I,ESCUELA DE SEGURIDAD PÚBLICA
ast,2024,direccion,1918440.0,121J,SERVICIO JURÍDICO DEL PRINCIPADO DE ASTURIAS
ast,2024,direccion,2895018.0,126D,RETO DEMOGRÁFICO
ast,2024,direccion,2188360.0,126F,"PUBLICACIONES, ARCHIVOS Y DOCUMENTACIÓN"
ast,2024,,2815490.0,313B,PROGRAMA DE EMIGRACIÓN ASTURIANA
ast,2024,,99890.0,313H,CONSEJO DE COMUNIDADES ASTURIANAS
ast,2024,igualdad,14837739.0,323B,POLÍTICAS DE IGUALDAD ENTRE MUJERES Y HOMBRES
ast,2024,turismo,40587909.0,751A,COORDINACIÓN Y PROMOCIÓN DEL TURISMO
ast,2024,direccion,7691050.0,126B,PROTECCIÓN EDIFICIOS
ast,2024,direccion,2544070.0,126E,PARQUE MÓVIL DEL PRINCIPADO
ast,2024,direccion,480735.0,126H,ORDENACIÓN DEL JUEGO
ast,2024,direccion,79428765.0,141B,RELACIONES ADMINISTRACIÓN DE JUSTICIA
ast,2024,direccion,8859920.0,142M,GESTIÓN DE SERVICIOS DE JUSTICIA DEL MENOR
ast,2024,direccion,1921080.0,611A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2024,direccion,1476070.0,612A,ECONOMÍA
ast,2024,direccion,1735220.0,612B,PROGRAMACIÓN Y PRESUPUESTACIÓN
ast,2024,direccion,8234800.0,612C,CONTROL INTERNO Y CONTABILIDAD PÚBLICA
ast,2024,direccion,945960.0,612D,GESTIÓN DE LA TESORERÍA
ast,2024,direccion,26559372.0,612F,GESTIÓN DEL PATRIMONIO
ast,2024,direccion,2534481.0,612H,COORDINACIÓN DE ASUNTOS Y FONDOS EUROPEOS
ast,2024,direccion,394800.0,613A,POLÍTICA TRIBUTARIA
ast,2024,direccion,10141405.0,632D,POLÍTICA FINANCIERA
ast,2024,direccion,2000000.0,632E,PRÉSTAMOS A ENTIDADES LOCALES
ast,2024,direccion,573600.0,126A,AGENDA 2030
ast,2024,,586000.0,313N,MEMORIA DEMOCRÁTICA
ast,2024,,3052044.0,323A,ACTIVIDADES Y SERVICIOS DE LA JUVENTUD
ast,2024,diversidad,2947640.0,323D,DIVERSIDAD SEXUAL Y DERECHOS LGTBI
ast,2024,vivienda,98362253.0,431A,PROMOCIÓN Y ADMINISTRACIÓN DE LA VIVIENDA
ast,2024,,3164242.0,433B,FOMENTO DE LAS ACTIVIDADES URBANÍSTICAS
ast,2024,,2783942.0,433C,ORDENACIÓN DEL TERRITORIO
ast,2024,direccion,1245480.0,434A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2024,,1940830.0,443H,DEFENSA CONSUMIDOR
ast,2024,empleo,159891640.0,322D,TRABAJO Y ORDENACIÓN DE LAS RELACIONES LABORALES
ast,2024,empleo,12374210.0,322L,FOMENTO DEL AUTOEMPLEO Y ECONOMÍA SOCIAL
ast,2024,educacion,181971460.0,422D,UNIVERSIDADES
ast,2024,educacion,6614257.0,422H,PLANIFICACIÓN FORMACIÓN PROFESIONAL
ast,2024,,9706763.0,521A,TELECOMUNICACIONES Y SOCIEDAD DE LA INFORMACIÓN
ast,2024,idi,53475165.0,541A,INVESTIGACIÓN Y DESARROLLO TECNOLÓGICO
ast,2024,idi,1190810.0,541B,DIRECCIÓN Y SERVICIOS GENERALES
ast,2024,,6511500.0,722A,EMPRESAS Y PYMES
ast,2024,sanidad,2756450.0,411A,DIRECCIÓN Y SERVICIOS GENERALES
ast,2024,sanidad,54934640.0,411C,INFRAESTRUCTURAS SANITARIAS Y SISTEMAS INFORMACIÓN
ast,2024,sanidad,9385043.0,412P,SALUD PÚBLICA
ast,2024,sanidad,3039025.0,413C,CALIDAD Y SISTEMAS DE INFORMACIÓN
ast,2024,sanidad,2235598332.0,413D,PRESTACIONES SANITARIAS Y PLANIFICACIÓN
ast,2024,sanidad,7560131.0,413E,"CUIDADOS, HUMANIZACIÓN Y ATENCIÓN SOCIOSANITARIA"
ast,2024,sanidad,9582750.0,443C,PROTECCIÓN DE LA SALUD
ast,2024,educacion,17044600.0,421A,DIRECCIÓN Y ADMINISTRACIÓN EDUCATIVA
