ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
bal,2021,direccion,14715088.0,111A,Activitat legislativa
bal,2021,,14788889.0,571J,Direcció i serveis general de la Conselleria de Medi Ambient i Territori
bal,2021,,7893771.0,561A,Domini públic hidràulic: Protecció i control. Directiva marc de l’aigua
bal,2021,,20731926.0,562A,Abastament d’aigua
bal,2021,,63211247.0,562B,Sanejament i depuració d’aigües
bal,2021,,2325673.0,571C,Gestió d’espais naturals
bal,2021,,21924156.0,571D,Conservació i millora del medi natural
bal,2021,,6290687.0,571E,Planificació forestal
bal,2021,,1965386.0,571F,Espècies silvestres
bal,2021,,1804374.0,571G,Sanitat forestal
bal,2021,,1193826.0,531A,Ordenació del territori i urbanisme
bal,2021,,844000.0,591B,Cartografia
bal,2021,,3177232.0,571A,Gestió de residus
bal,2021,educacion,1060454.0,571B,Educació ambiental
bal,2021,,135000.0,571K,Fons de prevenció i gestió de residus
bal,2021,,1109315.0,572B,Qualitat ambiental i sostenibilitat
bal,2021,direccion,13246849.0,121H,Gestió de recursos humans
bal,2021,direccion,1181596.0,121I,Salut i prevenció de riscs laborals a l’Administració
bal,2021,direccion,1232473.0,222A,Seguretat als edificis administratius de la Comunitat Autònoma
bal,2021,,280634.0,222B,Activitats classificades i espectacles
bal,2021,,3289533.0,222C,Actuació de policies
bal,2021,direccion,8138901.0,223A,Emergències
bal,2021,,229889253.0,413G,Accions públiques relatives a la COVID-19
bal,2021,direccion,3257021.0,151E,"Immersió digital, atenció a la ciutadania i modernització"
bal,2021,idi,12821321.0,542A,Innovació
bal,2021,,7778089.0,551A,"Ordenació, regulació i desenvolupament de les telecomunicacions"
bal,2021,,433470.0,551B,Gestió dels sistemes i tecnologies de la informació
bal,2021,,32900000.0,551C,Mitjans de comunicació social
bal,2021,direccion,1365278.0,131D,Polítiques de memòria
bal,2021,direccion,626038.0,151D,Participació i voluntariat
bal,2021,direccion,677596.0,151C,"Transparència, bon govern, qualitat i avaluació de polítiques públiques"
bal,2021,direccion,12088779.0,313K,Direcció i serveis generals de la Conselleria d’Afers Socials i Esports
